variable,missing_n,missing_pct,count,mean,std,min,5%,25%,50%,75%,95%,max
"媒体态度均值(1,1)",3096,0.6,2064.0,0.244433915247358,0.2442099606936841,-0.218742822,-0.143404026,0.11214810418810142,0.23709937520646324,0.4126345176870624,0.6055607323845228,0.7046844363212585
媒体态度标准差,3268,0.6333333333333333,1892.0,0.321697849024912,0.11916349421783091,0.0738519989300187,0.0819750057989944,0.2433840830916933,0.32815895901204883,0.3650344207461996,0.5105481402136196,0.5125924306421009
windows-2,1462,0.2833333333333333,3698.0,0.1847396528438634,0.19014174150972796,-0.252013819,-0.088027906,0.0278347561902859,0.214046872453764,0.3325845069037034,0.4285900791486104,0.5877939313650131
windows-2.1,1634,0.31666666666666665,3526.0,0.34265460897905986,0.10138968544073429,0.0988058864583362,0.2124847137953461,0.2513964020554507,0.3532887756352771,0.4070762933790532,0.5125924306421009,0.5334763556024719
windows-3,1375,0.26647286821705424,3785.0,0.17868346732092008,0.17703194673626096,-0.22242301,-0.076723135,0.0572222964838147,0.1820001054022993,0.3251041834683795,0.4285900791486104,0.8182751536369324
windows-3.1,1548,0.3,3612.0,0.34267527371796247,0.11319404953998898,0.0703646829933682,0.1907664944970011,0.2513964020554507,0.35046914243258764,0.4341050981376971,0.4839646147610681,0.6369424553331219
windows-5,1204,0.23333333333333334,3956.0,0.17495746060019612,0.15939483241289598,-0.203250147,-0.028898428,0.0410430026455567,0.16129080565550763,0.2530295699834823,0.460681602358818,0.8182751536369324
windows-5.1,1291,0.2501937984496124,3869.0,0.33839757174442014,0.11146415066179442,0.0703646829933682,0.1838414187102997,0.2656125234807641,0.3480178403136311,0.4093209942876144,0.4918032180246772,0.6369424553331219
windows-10,1117,0.21647286821705428,4043.0,0.15565425216319528,0.14014267373020536,-0.236660564,-0.007303726,0.0631014079683356,0.1549363779377634,0.2185814000720925,0.3873541727662086,0.5774247646331787
windows-10.1,1204,0.23333333333333334,3956.0,0.3498760246488931,0.10715421890650126,0.0703646829933682,0.2116850442249043,0.2721597889495079,0.36286078009700806,0.421185371395915,0.5201104573162515,0.6201226010101716
windows-15,859,0.16647286821705426,4301.0,0.15537893062960684,0.13433771570835198,-0.168077499,-0.089911754,0.0831696991201328,0.1356162244734247,0.2240007549956225,0.3796008435181445,0.5493617273867131
windows-15.1,945,0.18313953488372092,4215.0,0.3407577280211919,0.11105424822413415,0.0350594618897035,0.1378676754883778,0.281211378022514,0.3508083599446868,0.4245121777260712,0.5050373656666642,0.6201226010101716
windows-20,687,0.13313953488372093,4473.0,0.15290915228854762,0.13534877706302847,-0.108070424,-0.080506575,0.0655736080112142,0.1383134424686432,0.2171898817436562,0.3701593240965967,0.5542896640571681
windows-20.1,945,0.18313953488372092,4215.0,0.34605301055149335,0.10001755945150789,0.0612030469384445,0.1519127795023019,0.2833496767529294,0.3497104229938222,0.3981794858679144,0.5032393161738573,0.6201226010101716
