section,variable,variable_label,term,y_var,estimate_pp,se_pp,p.value,n,n_events
baseline,downstream_deployer,Downstream deployer,downstream_deployer,car_20,-1.6485296483151741,0.4582342774710936,6.57975032701886e-4,4805,60
baseline,upstream_hardware,Upstream hardware,upstream_hardware,car_20,1.6733909413332038,0.6779543924818462,0.01649338026919725,4805,60
bundle,downstream_any,Any downstream,downstream_any,car_20,-1.8019364866339136,0.7077240094898983,0.01352468641740376,4805,60
bundle,upstream_any,Any upstream,upstream_any,car_20,1.61794196772863,0.6317127175292794,0.013008066760801797,4805,60
open_closed,upstream_hardware,Upstream hardware,Closed/proprietary,car_20,2.1201250345238662,0.8039927032905786,0.008364397372060586,4805,60
open_closed,upstream_hardware,Upstream hardware,Open-weight,car_20,0.06272997204343836,1.033951802515981,0.9516219346917456,4805,60
open_closed,upstream_hardware,Upstream hardware,Open minus closed,car_20,-2.057395062480428,1.310021901863078,0.11629782904456196,4805,60
open_closed,downstream_deployer,Downstream deployer,Closed/proprietary,car_20,-1.995722974499848,0.49266052590648457,5.101904049664019e-5,4805,60
open_closed,downstream_deployer,Downstream deployer,Open-weight,car_20,-0.38283081990901047,0.9345001273556901,0.682052630423591,4805,60
open_closed,downstream_deployer,Downstream deployer,Open minus closed,car_20,1.6128921545908375,1.0259984039467245,0.1159454284602733,4805,60
aa_control,downstream_deployer,Downstream deployer,downstream_deployer,car_20,-1.5601458026945718,0.4881577235528655,0.0025195291805290023,3762,47
aa_control,upstream_hardware,Upstream hardware,upstream_hardware,car_20,2.201315511175339,0.7859199641379364,0.007427776259212812,3762,47
reasoning,upstream_hardware,Upstream hardware,Baseline (mod=0),car_20,1.1050369955058923,0.7689354349615305,0.1506896248639339,4805,60
reasoning,upstream_hardware,Upstream hardware,Mod=1,car_20,3.106476154039697,1.2681068777752362,0.014297693086585756,4805,60
reasoning,upstream_hardware,Upstream hardware,Interaction (mod=1 minus mod=0),car_20,2.0014391585338043,1.4673597648437142,0.17257605110197802,4805,60
reasoning,downstream_deployer,Downstream deployer,Baseline (mod=0),car_20,-1.3787778285598775,0.523662222523568,0.008464615088095742,4805,60
reasoning,downstream_deployer,Downstream deployer,Mod=1,car_20,-2.313434700937504,0.8764033857254655,0.008298148930455568,4805,60
reasoning,downstream_deployer,Downstream deployer,Interaction (mod=1 minus mod=0),car_20,-0.934656872377627,1.0162260392571811,0.3577121753744595,4805,60
code,upstream_hardware,Upstream hardware,Baseline (mod=0),car_20,1.901508275811119,0.7956213458606837,0.016849914707368897,4805,60
code,upstream_hardware,Upstream hardware,Mod=1,car_20,1.0399280504053985,1.357900560462147,0.44377436541838444,4805,60
code,upstream_hardware,Upstream hardware,Interaction (mod=1 minus mod=0),car_20,-0.8615802254057207,1.5940373731217359,0.5888509525235448,4805,60
code,downstream_deployer,Downstream deployer,Baseline (mod=0),car_20,-1.7013487952884851,0.5690522792263434,0.002791661220441158,4805,60
code,downstream_deployer,Downstream deployer,Mod=1,car_20,-1.5031757144442752,0.5713174604513819,0.008511672874546825,4805,60
code,downstream_deployer,Downstream deployer,Interaction (mod=1 minus mod=0),car_20,0.19817308084420995,0.768205773718156,0.7964310273776565,4805,60
chinese_origin,upstream_hardware,Upstream hardware,Baseline (mod=0),car_20,2.170009245457646,0.8169234568279985,0.007899886176220793,4805,60
chinese_origin,upstream_hardware,Upstream hardware,Mod=1,car_20,-0.1487215158647751,1.0486839626551325,0.8872243280060622,4805,60
chinese_origin,upstream_hardware,Upstream hardware,Interaction (mod=1 minus mod=0),car_20,-2.318730761322421,1.3516017683379007,0.0862457446541216,4805,60
chinese_origin,upstream_any,Any upstream,Baseline (mod=0),car_20,1.9681694921242776,0.7704282760829804,0.010629664234548041,4805,60
chinese_origin,upstream_any,Any upstream,Mod=1,car_20,0.33306855621751463,1.0423926508270416,0.7493298592528571,4805,60
chinese_origin,upstream_any,Any upstream,Interaction (mod=1 minus mod=0),car_20,-1.635100935906763,1.3494041276145146,0.22561930636479646,4805,60
media,upstream_hardware,Upstream hardware,Position main effect (at mean sentiment),car_20,1.9895844330542218,0.7410577089746891,0.007257535961192867,4174,54
media,upstream_hardware,Upstream hardware,Sentiment main effect,car_20,-1.2506517600097002,0.43489065973399876,0.004030249358325667,4174,54
media,upstream_hardware,Upstream hardware,Interaction (position x sentiment),car_20,0.5521383377379154,0.5944942205155456,0.35301706599492694,4174,54
media,upstream_hardware,Upstream hardware,Position effect at -1 SD sentiment,car_20,1.4374460953163064,0.8933097284225768,0.10758923722526777,4174,54
media,upstream_hardware,Upstream hardware,Position effect at +1 SD sentiment,car_20,2.5417227707921373,1.0035823541792592,0.01132039485254734,4174,54
media,downstream_deployer,Downstream deployer,Position main effect (at mean sentiment),car_20,-1.5596389138779874,0.5000671614323234,0.001815528851062587,4174,54
media,downstream_deployer,Downstream deployer,Sentiment main effect,car_20,-1.2636977270806276,0.39492966944088914,0.0013752084230338863,4174,54
media,downstream_deployer,Downstream deployer,Interaction (position x sentiment),car_20,0.7878889937996214,0.3048928605666669,0.009761922778579473,4174,54
media,downstream_deployer,Downstream deployer,Position effect at -1 SD sentiment,car_20,-2.3475279076776085,0.5834060572416693,5.725879247436798e-5,4174,54
media,downstream_deployer,Downstream deployer,Position effect at +1 SD sentiment,car_20,-0.771749920078366,0.5879549447948738,0.18931762079471903,4174,54
