term,estimate,std.error,p.value,conf.low,conf.high,estimate_pp,se_pp,conf.low_pp,conf.high_pp,variable,variable_label,y_var,n,n_events,moderator,table_family
Baseline (mod=0),0.02170009245457646,0.008169234568279985,0.007899886176220793,0.0056883927007476895,0.03771179220840523,2.170009245457646,0.8169234568279985,0.568839270074769,3.7711792208405233,upstream_hardware,Upstream hardware,car_20,4805,60,is_chinese_model,is_chinese_model_interaction_car_pre
Mod=1,-0.0014872151586477513,0.010486839626551326,0.8872243280060622,-0.02204142082668835,0.019066990509392846,-0.1487215158647751,1.0486839626551325,-2.204142082668835,1.9066990509392847,upstream_hardware,Upstream hardware,car_20,4805,60,is_chinese_model,is_chinese_model_interaction_car_pre
Interaction (mod=1 minus mod=0),-0.023187307613224212,0.013516017683379006,0.0862457446541216,-0.04967870227264706,0.0033040870461986394,-2.318730761322421,1.3516017683379007,-4.967870227264706,0.33040870461986394,upstream_hardware,Upstream hardware,car_20,4805,60,is_chinese_model,is_chinese_model_interaction_car_pre
Baseline (mod=0),0.019681694921242776,0.0077042827608298035,0.010629664234548041,0.004581300710016362,0.03478208913246919,1.9681694921242776,0.7704282760829804,0.45813007100163616,3.478208913246919,upstream_any,Any upstream,car_20,4805,60,is_chinese_model,is_chinese_model_interaction_car_pre
Mod=1,0.0033306855621751466,0.010423926508270415,0.7493298592528571,-0.01710021039403487,0.02376158151838516,0.33306855621751463,1.0423926508270416,-1.710021039403487,2.376158151838516,upstream_any,Any upstream,car_20,4805,60,is_chinese_model,is_chinese_model_interaction_car_pre
Interaction (mod=1 minus mod=0),-0.01635100935906763,0.013494041276145145,0.22561930636479646,-0.042799330260312116,0.010097311542176853,-1.635100935906763,1.3494041276145146,-4.279933026031212,1.0097311542176852,upstream_any,Any upstream,car_20,4805,60,is_chinese_model,is_chinese_model_interaction_car_pre
Baseline (mod=0),-0.019584370633510647,0.008036245546635115,0.014809474307238273,-0.03533541190491547,-0.003833329362105821,-1.9584370633510646,0.8036245546635115,-3.5335411904915475,-0.38333293621058206,downstream_any,Any downstream,car_20,4805,60,is_chinese_model,is_chinese_model_interaction_car_pre
Mod=1,-0.012272111918072664,0.016218387929403624,0.44924225968591885,-0.044060152259703764,0.01951592842355844,-1.2272111918072663,1.6218387929403624,-4.406015225970377,1.951592842355844,downstream_any,Any downstream,car_20,4805,60,is_chinese_model,is_chinese_model_interaction_car_pre
Interaction (mod=1 minus mod=0),0.0073122587154379835,0.018421886224372477,0.6914167023366695,-0.028794638284332076,0.04341915571520804,0.7312258715437984,1.8421886224372477,-2.8794638284332077,4.341915571520804,downstream_any,Any downstream,car_20,4805,60,is_chinese_model,is_chinese_model_interaction_car_pre
Baseline (mod=0),-0.01556298431760621,0.0054543495481763115,0.004326553807103722,-0.02625350943203178,-0.00487245920318064,-1.556298431760621,0.5454349548176312,-2.625350943203178,-0.48724592031806396,downstream_deployer,Downstream deployer,car_20,4805,60,is_chinese_model,is_chinese_model_interaction_car_pre
Mod=1,-0.01976010568145674,0.006666357641712877,0.003035170894740434,-0.03282616665921398,-0.006694044703699499,-1.9760105681456739,0.6666357641712877,-3.282616665921398,-0.66940447036995,downstream_deployer,Downstream deployer,car_20,4805,60,is_chinese_model,is_chinese_model_interaction_car_pre
Interaction (mod=1 minus mod=0),-0.004197121363850526,0.008497223948088549,0.6213483407707225,-0.020851680302104082,0.012457437574403029,-0.4197121363850526,0.8497223948088548,-2.0851680302104083,1.245743757440303,downstream_deployer,Downstream deployer,car_20,4805,60,is_chinese_model,is_chinese_model_interaction_car_pre
