term,estimate,std.error,statistic,p.value,conf.low,conf.high,df,outcome,y_var,n,n_events,r_squared,estimate_pp,se_pp,conf.low_pp,conf.high_pp,variable,variable_label,outcome_label,table_family
upstream_hardware,-0.014816876222867611,0.010665391764344905,-1.3892481917449473,0.1699784955975313,-0.03615827584882243,0.006524523403087212,59,car_10,car_10,4805,60,0.40661101749794093,-1.4816876222867612,1.0665391764344905,-3.6158275848822434,0.6524523403087212,upstream_hardware,Upstream hardware,"CAR[0,+10]",joint_positions_car_pre
upstream_cloud,0.001153894347482137,0.004597406209719014,0.2509881213112689,0.8026953592969928,-0.008045494229359906,0.010353282924324182,59,car_10,car_10,4805,60,0.40661101749794093,0.1153894347482137,0.4597406209719014,-0.8045494229359906,1.035328292432418,upstream_cloud,Upstream cloud,"CAR[0,+10]",joint_positions_car_pre
downstream_integrator,-0.014729514165690797,0.010784466069505744,-1.3658083831651255,0.1771832888674435,-0.03630918092592153,0.006850152594539936,59,car_10,car_10,4805,60,0.40661101749794093,-1.4729514165690798,1.0784466069505745,-3.630918092592153,0.6850152594539937,downstream_integrator,Downstream integrator,"CAR[0,+10]",joint_positions_car_pre
downstream_deployer,-0.02273797273534465,0.011080046123770707,-2.0521550615717628,0.044599956821186296,-0.04490909381801465,-5.668516526746471e-4,59,car_10,car_10,4805,60,0.40661101749794093,-2.273797273534465,1.1080046123770706,-4.490909381801465,-0.05668516526746471,downstream_deployer,Downstream deployer,"CAR[0,+10]",joint_positions_car_pre
downstream_enabler,-0.019762910737350935,0.008808630149163912,-2.24358502998639,0.028626325926697244,-0.03738893895311689,-0.0021368825215849867,59,car_10,car_10,4805,60,0.40661101749794093,-1.9762910737350936,0.8808630149163912,-3.738893895311689,-0.21368825215849868,downstream_enabler,Downstream enabler,"CAR[0,+10]",joint_positions_car_pre
competitor,-0.013163360965309439,0.0063717179109955245,-2.065904540845058,0.04323762604459142,-0.025913139055693712,-4.135828749251662e-4,59,car_10,car_10,4805,60,0.40661101749794093,-1.3163360965309439,0.6371717910995525,-2.591313905569371,-0.04135828749251662,competitor,Direct competitor,"CAR[0,+10]",joint_positions_car_pre
upstream_hardware,-0.009846757934509592,0.012470371361968912,-0.7896122455935358,0.4329162193487951,-0.03479991339285367,0.015106397523834487,59,car_15,car_15,4805,60,0.32044655327140226,-0.9846757934509592,1.2470371361968913,-3.479991339285367,1.5106397523834487,upstream_hardware,Upstream hardware,"CAR[0,+15]",joint_positions_car_pre
upstream_cloud,0.006968588063677967,0.00555791108422623,1.2538142402917067,0.21485488996368612,-0.004152766327684267,0.0180899424550402,59,car_15,car_15,4805,60,0.32044655327140226,0.6968588063677967,0.555791108422623,-0.41527663276842675,1.8089942455040202,upstream_cloud,Upstream cloud,"CAR[0,+15]",joint_positions_car_pre
downstream_integrator,-0.019962112762725883,0.012649568189275123,-1.5780864978182154,0.1198928249174922,-0.045273840244277774,0.005349614718826008,59,car_15,car_15,4805,60,0.32044655327140226,-1.9962112762725883,1.2649568189275122,-4.527384024427778,0.5349614718826008,downstream_integrator,Downstream integrator,"CAR[0,+15]",joint_positions_car_pre
downstream_deployer,-0.02877698896318705,0.012814702365408994,-2.245622890225325,0.028487761451273647,-0.054419149167947226,-0.0031348287584268726,59,car_15,car_15,4805,60,0.32044655327140226,-2.877698896318705,1.2814702365408994,-5.4419149167947225,-0.31348287584268725,downstream_deployer,Downstream deployer,"CAR[0,+15]",joint_positions_car_pre
