term,estimate,std.error,p.value,conf.low,conf.high,estimate_pp,se_pp,conf.low_pp,conf.high_pp,variable,variable_label,y_var,n,n_events,moderator,table_family
Position main effect (at mean sentiment),0.019895844330542218,0.007410577089746891,0.007257535961192867,0.005371113234638311,0.03442057542644612,1.9895844330542218,0.7410577089746891,0.5371113234638311,3.4420575426446125,upstream_hardware,Upstream hardware,car_20,4174,54,media_sentiment_z,media_sentiment_car_pre
Sentiment main effect,-0.012506517600097002,0.004348906597339988,0.004030249358325667,-0.021030374530883376,-0.003982660669310625,-1.2506517600097002,0.43489065973399876,-2.1030374530883376,-0.3982660669310625,upstream_hardware,Upstream hardware,car_20,4174,54,media_sentiment_z,media_sentiment_car_pre
Interaction (position x sentiment),0.005521383377379154,0.005944942205155456,0.35301706599492694,-0.006130703344725538,0.017173470099483848,0.5521383377379154,0.5944942205155456,-0.6130703344725539,1.7173470099483847,upstream_hardware,Upstream hardware,car_20,4174,54,media_sentiment_z,media_sentiment_car_pre
Position effect at -1 SD sentiment,0.014374460953163064,0.008933097284225769,0.10758923722526777,-0.003134409723919443,0.03188333163024557,1.4374460953163064,0.8933097284225768,-0.3134409723919443,3.188333163024557,upstream_hardware,Upstream hardware,car_20,4174,54,media_sentiment_z,media_sentiment_car_pre
Position effect at +1 SD sentiment,0.02541722770792137,0.010035823541792593,0.01132039485254734,0.005747013566007889,0.045087441849834854,2.5417227707921373,1.0035823541792592,0.5747013566007888,4.5087441849834855,upstream_hardware,Upstream hardware,car_20,4174,54,media_sentiment_z,media_sentiment_car_pre
Position main effect (at mean sentiment),0.01938554171163508,0.006903104559599771,0.004981381932353658,0.005855456774819528,0.03291562664845063,1.938554171163508,0.6903104559599771,0.5855456774819529,3.291562664845063,upstream_any,Any upstream,car_20,4174,54,media_sentiment_z,media_sentiment_car_pre
Sentiment main effect,-0.013790129067057814,0.004525503964212778,0.0023098169275152024,-0.022660116836914858,-0.004920141297200769,-1.3790129067057815,0.4525503964212778,-2.266011683691486,-0.49201412972007685,upstream_any,Any upstream,car_20,4174,54,media_sentiment_z,media_sentiment_car_pre
Interaction (position x sentiment),0.00898170021581072,0.005307518399472139,0.09059644220757168,-0.0014210358471546721,0.01938443627877611,0.8981700215810721,0.5307518399472139,-0.14210358471546722,1.9384436278776112,upstream_any,Any upstream,car_20,4174,54,media_sentiment_z,media_sentiment_car_pre
Position effect at -1 SD sentiment,0.01040384149582436,0.007552486398623466,0.16834579107568415,-0.0043990318454776335,0.025206714837126352,1.040384149582436,0.7552486398623466,-0.43990318454776334,2.5206714837126354,upstream_any,Any upstream,car_20,4174,54,media_sentiment_z,media_sentiment_car_pre
Position effect at +1 SD sentiment,0.028367241927445802,0.00972651825894613,0.003540000567562372,0.009303266139911389,0.04743121771498021,2.83672419274458,0.972651825894613,0.9303266139911389,4.743121771498021,upstream_any,Any upstream,car_20,4174,54,media_sentiment_z,media_sentiment_car_pre
Position main effect (at mean sentiment),-0.01965732090544684,0.007663838464293108,0.010319228675425346,-0.03467844429546133,-0.0046361975154323495,-1.9657320905446842,0.7663838464293108,-3.4678444295461333,-0.4636197515432349,downstream_any,Any downstream,car_20,4174,54,media_sentiment_z,media_sentiment_car_pre
Sentiment main effect,-0.006377483933118022,0.004854732269834298,0.18895951440893435,-0.015892759181993246,0.003137791315757201,-0.6377483933118022,0.48547322698342976,-1.5892759181993246,0.31377913157572007,downstream_any,Any downstream,car_20,4174,54,media_sentiment_z,media_sentiment_car_pre
Interaction (position x sentiment),-0.007217616648699613,0.007348566435491375,0.326011067045346,-0.021620806862262705,0.007185573564863481,-0.7217616648699613,0.7348566435491375,-2.1620806862262705,0.7185573564863481,downstream_any,Any downstream,car_20,4174,54,media_sentiment_z,media_sentiment_car_pre
Position effect at -1 SD sentiment,-0.012439704256747229,0.011062994745597523,0.26082524398183793,-0.034123173958118376,0.009243765444623917,-1.2439704256747228,1.1062994745597523,-3.412317395811838,0.9243765444623917,downstream_any,Any downstream,car_20,4174,54,media_sentiment_z,media_sentiment_car_pre
Position effect at +1 SD sentiment,-0.026874937554146452,0.010152922957754554,0.008120579368104883,-0.04677466655134538,-0.006975208556947526,-2.6874937554146454,1.0152922957754555,-4.677466655134538,-0.6975208556947526,downstream_any,Any downstream,car_20,4174,54,media_sentiment_z,media_sentiment_car_pre
Position main effect (at mean sentiment),-0.015596389138779873,0.005000671614323235,0.001815528851062587,-0.02539770550285341,-0.005795072774706334,-1.5596389138779874,0.5000671614323234,-2.539770550285341,-0.5795072774706334,downstream_deployer,Downstream deployer,car_20,4174,54,media_sentiment_z,media_sentiment_car_pre
Sentiment main effect,-0.012636977270806276,0.003949296694408891,0.0013752084230338863,-0.020377598791847702,-0.004896355749764849,-1.2636977270806276,0.39492966944088914,-2.03775987918477,-0.4896355749764849,downstream_deployer,Downstream deployer,car_20,4174,54,media_sentiment_z,media_sentiment_car_pre
Interaction (position x sentiment),0.007878889937996214,0.0030489286056666694,0.009761922778579473,0.0019029898708895418,0.013854790005102886,0.7878889937996214,0.3048928605666669,0.19029898708895418,1.3854790005102886,downstream_deployer,Downstream deployer,car_20,4174,54,media_sentiment_z,media_sentiment_car_pre
Position effect at -1 SD sentiment,-0.023475279076776087,0.0058340605724166925,5.725879247436798e-5,-0.0349100377987128,-0.01204052035483937,-2.3475279076776085,0.5834060572416693,-3.49100377987128,-1.204052035483937,downstream_deployer,Downstream deployer,car_20,4174,54,media_sentiment_z,media_sentiment_car_pre
Position effect at +1 SD sentiment,-0.00771749920078366,0.0058795494479487375,0.18931762079471903,-0.019241416118763184,0.0038064177171958664,-0.771749920078366,0.5879549447948738,-1.9241416118763184,0.38064177171958663,downstream_deployer,Downstream deployer,car_20,4174,54,media_sentiment_z,media_sentiment_car_pre
