term,estimate,std.error,p.value,conf.low,conf.high,estimate_pp,se_pp,conf.low_pp,conf.high_pp,variable,variable_label,y_var,outcome_label,n,n_events,table_family
Closed/proprietary,0.021201250345238662,0.008039927032905786,0.008364397372060586,0.005442993360743321,0.03695950732973401,2.1201250345238662,0.8039927032905786,0.5442993360743321,3.6959507329734005,upstream_hardware,Upstream hardware,car_20,"CAR[0,+20]",4805,60,open_interaction_car_pre
Open-weight,6.272997204343836e-4,0.01033951802515981,0.9516219346917456,-0.019638155608878844,0.02089275504974761,0.06272997204343836,1.033951802515981,-1.9638155608878844,2.0892755049747613,upstream_hardware,Upstream hardware,car_20,"CAR[0,+20]",4805,60,open_interaction_car_pre
Open minus closed,-0.02057395062480428,0.01310021901863078,0.11629782904456196,-0.04625037990132061,0.005102478651712053,-2.057395062480428,1.310021901863078,-4.625037990132061,0.5102478651712052,upstream_hardware,Upstream hardware,car_20,"CAR[0,+20]",4805,60,open_interaction_car_pre
Closed/proprietary,0.006400195775475328,0.005615450497194047,0.2543915035423963,-0.004606087199025004,0.01740647874997566,0.6400195775475328,0.5615450497194048,-0.4606087199025004,1.740647874997566,upstream_cloud,Upstream cloud,car_20,"CAR[0,+20]",4805,60,open_interaction_car_pre
Open-weight,0.011519637948993317,0.013581182053821677,0.3963233447433808,-0.01509947887649717,0.03813875477448381,1.1519637948993318,1.3581182053821677,-1.509947887649717,3.8138754774483807,upstream_cloud,Upstream cloud,car_20,"CAR[0,+20]",4805,60,open_interaction_car_pre
Open minus closed,0.005119442173517989,0.015589678140492221,0.7426193358768778,-0.025436326981846762,0.03567521132888274,0.511944217351799,1.558967814049222,-2.5436326981846764,3.567521132888274,upstream_cloud,Upstream cloud,car_20,"CAR[0,+20]",4805,60,open_interaction_car_pre
Closed/proprietary,-0.01995722974499848,0.004926605259064846,5.101904049664019e-5,-0.029613376052765577,-0.010301083437231382,-1.995722974499848,0.49266052590648457,-2.9613376052765576,-1.0301083437231382,downstream_deployer,Downstream deployer,car_20,"CAR[0,+20]",4805,60,open_interaction_car_pre
Open-weight,-0.0038283081990901045,0.009345001273556901,0.682052630423591,-0.022144510695261632,0.014487894297081423,-0.38283081990901047,0.9345001273556901,-2.214451069526163,1.4487894297081423,downstream_deployer,Downstream deployer,car_20,"CAR[0,+20]",4805,60,open_interaction_car_pre
Open minus closed,0.016128921545908375,0.010259984039467245,0.1159454284602733,-0.003980647171447426,0.03623849026326417,1.6128921545908375,1.0259984039467245,-0.3980647171447426,3.6238490263264174,downstream_deployer,Downstream deployer,car_20,"CAR[0,+20]",4805,60,open_interaction_car_pre
Closed/proprietary,-0.008928234698892965,0.007613232089086304,0.24090572871574342,-0.02385016959350212,0.005993700195716191,-0.8928234698892965,0.7613232089086304,-2.385016959350212,0.5993700195716191,downstream_enabler,Downstream enabler,car_20,"CAR[0,+20]",4805,60,open_interaction_car_pre
Open-weight,0.002859753398938061,0.014979044555691354,0.8485906655599627,-0.026499173930216995,0.03221868072809311,0.2859753398938061,1.4979044555691354,-2.6499173930216995,3.221868072809311,downstream_enabler,Downstream enabler,car_20,"CAR[0,+20]",4805,60,open_interaction_car_pre
Open minus closed,0.011787988097831026,0.017772503041837435,0.5071569258214081,-0.023046117864170344,0.0466220940598324,1.1787988097831026,1.7772503041837435,-2.3046117864170346,4.66220940598324,downstream_enabler,Downstream enabler,car_20,"CAR[0,+20]",4805,60,open_interaction_car_pre
Closed/proprietary,-0.011861070210694746,0.006466822025077267,0.06663291078154275,-0.02453604137984619,8.13900958456697e-4,-1.1861070210694746,0.6466822025077267,-2.453604137984619,0.0813900958456697,competitor,Direct competitor,car_20,"CAR[0,+20]",4805,60,open_interaction_car_pre
Open-weight,0.023737249287723527,0.011452405772550108,0.0382014450359559,0.0012905339735253159,0.04618396460192174,2.3737249287723525,1.1452405772550107,0.12905339735253157,4.618396460192174,competitor,Direct competitor,car_20,"CAR[0,+20]",4805,60,open_interaction_car_pre
Open minus closed,0.035598319498418275,0.01346296133761974,0.008189221595951313,0.009210915276683586,0.061985723720152965,3.5598319498418274,1.346296133761974,0.9210915276683586,6.198572372015296,competitor,Direct competitor,car_20,"CAR[0,+20]",4805,60,open_interaction_car_pre
