term,estimate,std.error,p.value,conf.low,conf.high,estimate_pp,se_pp,conf.low_pp,conf.high_pp,variable,variable_label,y_var,n,n_events,moderator,table_family
Baseline (mod=0),0.011050369955058923,0.007689354349615304,0.1506896248639339,-0.0040207645701870725,0.026121504480304918,1.1050369955058923,0.7689354349615305,-0.40207645701870726,2.6121504480304916,upstream_hardware,Upstream hardware,car_20,4805,60,is_reasoning_model,is_reasoning_model_interaction_car_pre
Mod=1,0.031064761540396967,0.012681068777752363,0.014297693086585756,0.006209866736002337,0.055919656344791596,3.106476154039697,1.2681068777752362,0.6209866736002336,5.59196563447916,upstream_hardware,Upstream hardware,car_20,4805,60,is_reasoning_model,is_reasoning_model_interaction_car_pre
Interaction (mod=1 minus mod=0),0.020014391585338045,0.014673597648437143,0.17257605110197802,-0.008745859805598753,0.048774642976274846,2.0014391585338043,1.4673597648437142,-0.8745859805598752,4.877464297627484,upstream_hardware,Upstream hardware,car_20,4805,60,is_reasoning_model,is_reasoning_model_interaction_car_pre
Baseline (mod=0),0.010947522739922638,0.00731410785770311,0.1344536301368303,-0.003388128661175457,0.025283174141020735,1.0947522739922637,0.731410785770311,-0.3388128661175457,2.5283174141020734,upstream_any,Any upstream,car_20,4805,60,is_reasoning_model,is_reasoning_model_interaction_car_pre
Mod=1,0.029218212479013288,0.012186302309228788,0.01650164081986137,0.005333059952924865,0.05310336500510171,2.921821247901329,1.2186302309228787,0.5333059952924866,5.3103365005101715,upstream_any,Any upstream,car_20,4805,60,is_reasoning_model,is_reasoning_model_interaction_car_pre
Interaction (mod=1 minus mod=0),0.01827068973909065,0.014371082581423531,0.2036038180085622,-0.00989663212049947,0.04643801159868077,1.8270689739090649,1.437108258142353,-0.989663212049947,4.643801159868078,upstream_any,Any upstream,car_20,4805,60,is_reasoning_model,is_reasoning_model_interaction_car_pre
Baseline (mod=0),-0.013679474638040022,0.008137779053487589,0.09276606409678048,-0.029629521582875698,0.0022705723067956516,-1.3679474638040023,0.8137779053487589,-2.9629521582875697,0.22705723067956515,downstream_any,Any downstream,car_20,4805,60,is_reasoning_model,is_reasoning_model_interaction_car_pre
Mod=1,-0.02898306326542458,0.013839292981139718,0.036236918479877395,-0.05610807750845843,-0.0018580490223907356,-2.8983063265424582,1.3839292981139717,-5.610807750845843,-0.18580490223907356,downstream_any,Any downstream,car_20,4805,60,is_reasoning_model,is_reasoning_model_interaction_car_pre
Interaction (mod=1 minus mod=0),-0.015303588627384561,0.016158717221915985,0.34359830779311756,-0.04697467438233989,0.016367497127570768,-1.5303588627384561,1.6158717221915986,-4.697467438233989,1.636749712757077,downstream_any,Any downstream,car_20,4805,60,is_reasoning_model,is_reasoning_model_interaction_car_pre
Baseline (mod=0),-0.013787778285598774,0.00523662222523568,0.008464615088095742,-0.024051557847060707,-0.003523998724136843,-1.3787778285598775,0.523662222523568,-2.405155784706071,-0.3523998724136843,downstream_deployer,Downstream deployer,car_20,4805,60,is_reasoning_model,is_reasoning_model_interaction_car_pre
Mod=1,-0.023134347009375042,0.008764033857254655,0.008298148930455568,-0.04031185336959417,-0.005956840649155918,-2.313434700937504,0.8764033857254655,-4.031185336959417,-0.5956840649155918,downstream_deployer,Downstream deployer,car_20,4805,60,is_reasoning_model,is_reasoning_model_interaction_car_pre
Interaction (mod=1 minus mod=0),-0.00934656872377627,0.010162260392571811,0.3577121753744595,-0.02926459909321702,0.01057146164566448,-0.934656872377627,1.0162260392571811,-2.926459909321702,1.057146164566448,downstream_deployer,Downstream deployer,car_20,4805,60,is_reasoning_model,is_reasoning_model_interaction_car_pre
