company_id,creator,upstream_hardware,upstream_cloud,downstream_integrator,downstream_deployer,downstream_enabler,competitor,is_investor,is_owner,confidence,justification
3690 HK,Alibaba,0,0,0,1,0,0,0,0,M,R4:AI for delivery optimization and recommendations in local services platform
3690 HK,Anthropic,0,0,0,1,0,0,0,0,M,R4:AI for delivery optimization and recommendations in local services platform
3690 HK,DeepSeek,0,0,0,1,0,0,0,0,M,R4:AI for delivery optimization and recommendations in local services platform
3690 HK,Google,0,0,0,1,0,0,0,0,M,R4:AI for delivery optimization and recommendations in local services platform
3690 HK,Kuaishou,0,0,0,1,0,0,0,0,M,R4:AI for delivery optimization and recommendations in local services platform
3690 HK,Meta,0,0,0,1,0,0,0,0,M,R4:AI for delivery optimization and recommendations in local services platform
3690 HK,Microsoft,0,0,0,1,0,0,0,0,M,R4:AI for delivery optimization and recommendations in local services platform
3690 HK,Mistral AI,0,0,0,1,0,0,0,0,M,R4:AI for delivery optimization and recommendations in local services platform
3690 HK,OpenAI,0,0,0,1,0,0,0,0,M,R4:AI for delivery optimization and recommendations in local services platform
3690 HK,Runway,0,0,0,1,0,0,0,0,M,R4:AI for delivery optimization and recommendations in local services platform
3690 HK,ShengShu Technology,0,0,0,1,0,0,0,0,M,R4:AI for delivery optimization and recommendations in local services platform
3690 HK,Stability AI,0,0,0,1,0,0,0,0,M,R4:AI for delivery optimization and recommendations in local services platform
3690 HK,Zhipu AI,0,0,0,1,0,0,0,0,M,R4:AI for delivery optimization and recommendations in local services platform
3690 HK,xAI,0,0,0,1,0,0,0,0,M,R4:AI for delivery optimization and recommendations in local services platform
4755 JP,Alibaba,0,0,0,1,0,0,0,0,M,R4:AI deployed in e-commerce fintech and internet services
4755 JP,Anthropic,0,0,0,1,0,0,0,0,M,R4:AI deployed in e-commerce fintech and internet services
4755 JP,DeepSeek,0,0,0,1,0,0,0,0,M,R4:AI deployed in e-commerce fintech and internet services
4755 JP,Google,0,0,0,1,0,0,0,0,M,R4:AI deployed in e-commerce fintech and internet services
4755 JP,Kuaishou,0,0,0,1,0,0,0,0,M,R4:AI deployed in e-commerce fintech and internet services
4755 JP,Meta,0,0,0,1,0,0,0,0,M,R4:AI deployed in e-commerce fintech and internet services
4755 JP,Microsoft,0,0,0,1,0,0,0,0,M,R4:AI deployed in e-commerce fintech and internet services
4755 JP,Mistral AI,0,0,0,1,0,0,0,0,M,R4:AI deployed in e-commerce fintech and internet services
4755 JP,OpenAI,0,0,0,1,0,0,0,0,M,R4:AI deployed in e-commerce fintech and internet services
4755 JP,Runway,0,0,0,1,0,0,0,0,M,R4:AI deployed in e-commerce fintech and internet services
4755 JP,ShengShu Technology,0,0,0,1,0,0,0,0,M,R4:AI deployed in e-commerce fintech and internet services
4755 JP,Stability AI,0,0,0,1,0,0,0,0,M,R4:AI deployed in e-commerce fintech and internet services
4755 JP,Zhipu AI,0,0,0,1,0,0,0,0,M,R4:AI deployed in e-commerce fintech and internet services
4755 JP,xAI,0,0,0,1,0,0,0,0,M,R4:AI deployed in e-commerce fintech and internet services
6588 JP,Alibaba,0,0,0,1,0,0,0,0,L,R4:AI deployed in infrastructure and industrial electronics
6588 JP,Anthropic,0,0,0,1,0,0,0,0,L,R4:AI deployed in infrastructure and industrial electronics
6588 JP,DeepSeek,0,0,0,1,0,0,0,0,L,R4:AI deployed in infrastructure and industrial electronics
6588 JP,Google,0,0,0,1,0,0,0,0,L,R4:AI deployed in infrastructure and industrial electronics
6588 JP,Kuaishou,0,0,0,1,0,0,0,0,L,R4:AI deployed in infrastructure and industrial electronics
6588 JP,Meta,0,0,0,1,0,0,0,0,L,R4:AI deployed in infrastructure and industrial electronics
6588 JP,Microsoft,0,0,0,1,0,0,0,0,L,R4:AI deployed in infrastructure and industrial electronics
6588 JP,Mistral AI,0,0,0,1,0,0,0,0,L,R4:AI deployed in infrastructure and industrial electronics
6588 JP,OpenAI,0,0,0,1,0,0,0,0,L,R4:AI deployed in infrastructure and industrial electronics
6588 JP,Runway,0,0,0,1,0,0,0,0,L,R4:AI deployed in infrastructure and industrial electronics
6588 JP,ShengShu Technology,0,0,0,1,0,0,0,0,L,R4:AI deployed in infrastructure and industrial electronics
6588 JP,Stability AI,0,0,0,1,0,0,0,0,L,R4:AI deployed in infrastructure and industrial electronics
6588 JP,Zhipu AI,0,0,0,1,0,0,0,0,L,R4:AI deployed in infrastructure and industrial electronics
6588 JP,xAI,0,0,0,1,0,0,0,0,L,R4:AI deployed in infrastructure and industrial electronics
6758 JP,Alibaba,0,0,0,1,0,0,0,0,M,R4:AI deployed in gaming imaging and entertainment products
6758 JP,Anthropic,0,0,0,1,0,0,0,0,M,R4:AI deployed in gaming imaging and entertainment products
6758 JP,DeepSeek,0,0,0,1,0,0,0,0,M,R4:AI deployed in gaming imaging and entertainment products
6758 JP,Google,0,0,0,1,0,0,0,0,M,R4:AI deployed in gaming imaging and entertainment products
6758 JP,Kuaishou,0,0,0,1,0,0,0,0,M,R4:AI deployed in gaming imaging and entertainment products
