spec,cluster,n,events,firms,r2,note,term,beta,se,t,p,stars,left_out_creator
closed_leave_out_Google,event,1927,24,85,0.15502355357470865,,intel_c,0.0020391949082557074,7.736649747474429e-4,2.6357596308678537,0.014775266446008848,*,Google
all_leave_out_Google,event,2725,34,85,0.17014873077721585,,intel_c,0.0016393750368275408,6.483435316093134e-4,2.528559254317378,0.01641739095271821,*,Google
closed_leave_out_OpenAI,event,2010,25,85,0.21277517131674029,,intel_c,0.004262224175818737,6.91480350108542e-4,6.163912214063196,2.280163789877758e-6,***,OpenAI
all_leave_out_OpenAI,event,2808,35,85,0.20668625505288402,,intel_c,0.0023758746083738596,0.0012830842677788743,1.8516902342561619,0.07277110513352224,+,OpenAI
closed_leave_out_Anthropic,event,2272,28,85,0.19832954608379136,,intel_c,0.00197971563068938,6.245345074044749e-4,3.169905917475962,0.0037731705849978303,**,Anthropic
all_leave_out_Anthropic,event,3153,39,85,0.17936176565719145,,intel_c,0.0012616149381203074,6.545032051822724e-4,1.9275916880635606,0.06140517430795197,+,Anthropic
closed_leave_out_Alibaba,event,2820,35,85,0.2019883284351118,,intel_c,0.0021483862749506577,6.13422701014339e-4,3.5022933963776444,0.0013126106859638234,**,Alibaba
all_leave_out_Alibaba,event,3385,42,85,0.16802514689828377,,intel_c,0.0014868424712070091,6.722897335202195e-4,2.21160966332426,0.032626054058357785,*,Alibaba
closed_leave_out_Meta,event,2816,35,85,0.17383924850051619,,intel_c,0.0023481474438088986,6.143495409078151e-4,3.8221684683593584,5.374169127835857e-4,***,Meta
all_leave_out_Meta,event,3614,45,85,0.16875963976566669,,intel_c,0.0015489967584324594,6.83276855783889e-4,2.2670118932323176,0.02835609036473176,*,Meta
closed_leave_out_xAI,event,2733,34,85,0.17157415851937102,,intel_c,0.00225198901579116,6.647217184814191e-4,3.3878673634072176,0.001837247773996442,**,xAI
all_leave_out_xAI,event,3614,45,85,0.16866194531544584,,intel_c,0.0015721333337243833,6.683052663413377e-4,2.3524179935481975,0.02318966097781624,*,xAI
closed_leave_out_Mistral_AI,event,2899,36,85,0.17252172820630957,,intel_c,0.0022599551977217033,6.316106151553905e-4,3.57808298894043,0.0010371848713699892,**,Mistral AI
all_leave_out_Mistral_AI,event,3622,45,85,0.17476097597721552,,intel_c,0.0016022303026598673,6.895880346445882e-4,2.3234601271549797,0.024838155846773607,*,Mistral AI
closed_leave_out_Microsoft,event,2816,35,85,0.1547931784312048,,intel_c,0.002066631927054056,7.034281432352575e-4,2.937943195660403,0.005896107083017759,**,Microsoft
all_leave_out_Microsoft,event,3697,46,85,0.15645055441078687,,intel_c,0.0013255348042878934,6.70354379244168e-4,1.977364279744765,0.05414549370496409,+,Microsoft
closed_leave_out_DeepSeek,event,2899,36,85,0.17252172820630957,,intel_c,0.0022599551977217033,6.316106151553905e-4,3.57808298894043,0.0010371848713699892,**,DeepSeek
all_leave_out_DeepSeek,event,3701,46,85,0.15222740350077807,,intel_c,0.001576613807105529,6.882029504294877e-4,2.290914048133054,0.026704914215518457,*,DeepSeek
closed_leave_out_Zhipu_AI,event,2899,36,85,0.17252172820630957,,intel_c,0.0022599551977217033,6.316106151553905e-4,3.57808298894043,0.0010371848713699892,**,Zhipu AI
all_leave_out_Zhipu_AI,event,3701,46,85,0.1673696079256518,,intel_c,0.0015065275137546856,6.590964149325523e-4,2.2857467885162963,0.027030931407564667,*,Zhipu AI
