"dropped_firm","variable","beta","se","p","n"
"000660 KS","upstream_hardware",0.0237496200921523,0.00848973781441014,0.00694503633880443,4769
"000660 KS","downstream_deployer",-0.019117839330305,0.00510504190171254,0.000411839162356019,4769
"005930 KS","upstream_hardware",0.0234795994195397,0.00865270540232782,0.00871218070786179,4774
"005930 KS","downstream_deployer",-0.0190262518327158,0.00507810943693808,0.000409429869135505,4774
"2353 TT","upstream_hardware",0.0247565597528092,0.00844636287912456,0.00479983677342158,4769
"2353 TT","downstream_deployer",-0.0195381770188018,0.00510960664025988,0.000319165954796392,4769
"2395 TT","upstream_hardware",0.0248677957737227,0.00858202424177804,0.005268985788729,4769
"2395 TT","downstream_deployer",-0.0195454197722463,0.00506600644685708,0.000285419329228684,4769
"3443 TT","upstream_hardware",0.0230949817517131,0.008356772107869,0.00761356000186973,4804
"3443 TT","downstream_deployer",-0.0190419011315669,0.00512621744545512,0.000453835309326797,4804
"3690 HK","upstream_hardware",0.0222384661055997,0.00841452473691556,0.0105114424287039,4769
"3690 HK","downstream_deployer",-0.0178201369419499,0.00487970909930366,0.000554221722860313,4769
"4755 JP","upstream_hardware",0.0225401779529664,0.00848457182470772,0.0101371484109648,4774
"4755 JP","downstream_deployer",-0.019022114373148,0.00539769689229303,0.00082803966761053,4774
"5803 JP","upstream_hardware",0.0216429842798521,0.00822967620919854,0.0108769953855255,4769
"5803 JP","downstream_deployer",-0.0168064142451045,0.00505687269428497,0.00153123008440508,4769
"6588 JP","upstream_hardware",0.0220630633754765,0.00850025554441574,0.0118979306716153,4769
"6588 JP","downstream_deployer",-0.0179611367633455,0.00493504416282804,0.000576389802371925,4769
"6701 JP","upstream_hardware",0.0236093959800216,0.00850300356672163,0.00735051905495421,4769
"6701 JP","downstream_deployer",-0.0185984337117739,0.00505553375440305,0.000508746232887299,4769
"6702 JP","upstream_hardware",0.0227515237833026,0.00845582313258858,0.00926209986114502,4769
"6702 JP","downstream_deployer",-0.0191676468076826,0.00510181659026044,0.000396083634999903,4769
"6758 JP","upstream_hardware",0.0228880533734229,0.00848299107694212,0.00907931400903519,4803
"6758 JP","downstream_deployer",-0.0194819990793301,0.00517505302680286,0.000386539285906068,4803
"6954 JP","upstream_hardware",0.022437419774515,0.00848186564732098,0.0104431471234137,4769
"6954 JP","downstream_deployer",-0.018447499056724,0.00526031056337216,0.000873502902972803,4769
"700 HK","upstream_hardware",0.0229361982683811,0.00848272443638893,0.00894075748824459,4769
"700 HK","downstream_deployer",-0.0189441590516295,0.00507777153547469,0.000430896575828106,4769
"AAPL","upstream_hardware",0.0227528489178335,0.00847187352575439,0.00938472772226477,4769
"AAPL","downstream_deployer",-0.0191350224245732,0.00509384932872217,0.000396757661881361,4769
"ACN","upstream_hardware",0.0226954556148704,0.00840474928312316,0.00902611855348688,4774
"ACN","downstream_deployer",-0.0192290374339108,0.00506524901250887,0.000348972254478261,4774
"ADBE","upstream_hardware",0.0226197129639191,0.00844049121279146,0.00953025839815039,4769
"ADBE","downstream_deployer",-0.0193396591525389,0.00512770327988635,0.000377911182644958,4769
"AI","upstream_hardware",0.0221140623392634,0.00840933950139092,0.0108817972571566,4774
"AI","downstream_deployer",-0.0197024659251995,0.005126561902855,0.000299656762635315,4774
"AMBA","upstream_hardware",0.0249497489977413,0.00871070283675927,0.00578072638692286,4769
"AMBA","downstream_deployer",-0.0194374763647324,0.0051791255260843,0.000401190641719345,4769
"AMD","upstream_hardware",0.0232840508384953,0.00860012851099264,0.00885667616208068,4769
"AMD","downstream_deployer",-0.0188867865932564,0.00510950204860975,0.000481023368309682,4769
"AMP IM","upstream_hardware",0.0220567073708462,0.00837876198030855,0.0108034149229453,4769
"AMP IM","downstream_deployer",-0.0171874549550558,0.00483261285406443,0.00074833072331789,4769
"AMZN","upstream_hardware",0.0228119662645004,0.00841669947741214,0.00878790590119753,4769
"AMZN","downstream_deployer",-0.0190552852247607,0.00503948826769384,0.000366393645107933,4769
"APP","upstream_hardware",0.0242433164251276,0.00835003316408895,0.00518568383557476,4769
"APP","downstream_deployer",-0.0177725047816888,0.00510155230122236,0.000938550514779688,4769
"AVGO","upstream_hardware",0.0216873873749635,0.00820875303532346,0.0105359314107339,4769
"AVGO","downstream_deployer",-0.0184870471347321,0.00503111069215521,0.000515725875999187,4769
"BABA","upstream_hardware",0.0230764304281679,0.00866051141443021,0.00992619716573655,4769
"BABA","downstream_deployer",-0.0189933221554875,0.00510567313502,0.000446012056498394,4769
"BIDU","upstream_hardware",0.0222009676917285,0.00848016723010505,0.01122136664006,4769
"BIDU","downstream_deployer",-0.0196349671444402,0.0051907300062467,0.000364618352089676,4769
"CCC","upstream_hardware",0.0227986127233922,0.00835116298833119,0.00833644885159753,4769
"CCC","downstream_deployer",-0.0191377981633413,0.00508508908656576,0.000387894044721223,4769
"CDNS","upstream_hardware",0.0228201933463635,0.00838424669408434,0.00852196121154655,4769
"CDNS","downstream_deployer",-0.0190684243840772,0.00511562844896798,0.00043550433226569,4769
"CRM","upstream_hardware",0.0226075146837206,0.00833937043689972,0.00877344052580653,4769
"CRM","downstream_deployer",-0.0193363823008411,0.00507360151259341,0.000332524219467165,4769
"CRWV","upstream_hardware",0.0227637564746788,0.00842259450072066,0.00896875247845804,4829
"CRWV","downstream_deployer",-0.0190156167630144,0.00506948462013039,0.000403839450563957,4829
"CSCO","upstream_hardware",0.0227800074303306,0.00847709889183522,0.00934614437171798,4769
"CSCO","downstream_deployer",-0.0198507772210139,0.00528876373996666,0.000400745806453408,4769
"CYBR","upstream_hardware",0.022762398460157,0.00845889593756187,0.00925450024323786,4769
"CYBR","downstream_deployer",-0.019135639040314,0.00507132914172306,0.000375849806032795,4769
"DDOG","upstream_hardware",0.0225287307704443,0.00839552272462175,0.00944157700423893,4769
"DDOG","downstream_deployer",-0.019381657991195,0.00508541637957768,0.000332471831599578,4769
"DXC","upstream_hardware",0.0218811301601157,0.00830988901179528,0.0107838610410394,4769
"DXC","downstream_deployer",-0.0198100719732693,0.00514511680866584,0.000292850718951835,4769
"ERIC","upstream_hardware",0.022852505875633,0.00855173622193256,0.00972551163728872,4769
"ERIC","downstream_deployer",-0.0199999211860623,0.00507521200875723,0.000217736292678994,4769
"EXPN LN","upstream_hardware",0.0226289989436909,0.00840835127925881,0.00924684211520722,4769
"EXPN LN","downstream_deployer",-0.0192927075370731,0.00510582814480082,0.000369516166935464,4769
"FTNT","upstream_hardware",0.0225020978398469,0.00841829692767087,0.00970660067845791,4769
"FTNT","downstream_deployer",-0.0194049911955083,0.00505864857028572,0.000306769088927385,4769
"G","upstream_hardware",0.0222767054373652,0.00843024537088772,0.010522314477352,4769
"G","downstream_deployer",-0.0196023050380785,0.00510323822253659,0.000301674721844429,4769
"GEHC","upstream_hardware",0.0223093154610359,0.00850908473093049,0.011109130329414,4769
"GEHC","downstream_deployer",-0.0177635772609393,0.00522960792545196,0.00122618803611437,4769
"GOOGL","upstream_hardware",0.0228875120328132,0.00845110074552506,0.00883725108595153,4769
"GOOGL","downstream_deployer",-0.018981060199334,0.00508667603662128,0.000429897915914229,4769
"HPE","upstream_hardware",0.0227422390652719,0.00897508489411095,0.0139545696742903,4769
"HPE","downstream_deployer",-0.0187999616596303,0.00512272874551875,0.000523384579081416,4769
"HUT","upstream_hardware",0.0226834967572137,0.00859206858070592,0.0105896834841516,4803
"HUT","downstream_deployer",-0.0191393882699597,0.00448329093141677,7.22576620056436e-05,4803
"IBM","upstream_hardware",0.0227179486321671,0.00848631118506415,0.00960379060951795,4769
"IBM","downstream_deployer",-0.019181689581589,0.00504811044781045,0.000345031723916266,4769
"IFX GR","upstream_hardware",0.0238074825447634,0.00857828594013508,0.00737601230677025,4769
"IFX GR","downstream_deployer",-0.0191174632211694,0.00515439028602421,0.000462101886971358,4769
"INTC","upstream_hardware",0.0222720584402242,0.00819052898216487,0.00858039927460594,4769
"INTC","downstream_deployer",-0.0186860329620746,0.0051727828950268,0.000627989900905083,4769
"META","upstream_hardware",0.0230059947515355,0.00844499063298883,0.00846672577427063,4769
"META","downstream_deployer",-0.0187952326354631,0.00505368716366212,0.000447342058799803,4769
"MRVL","upstream_hardware",0.0226167625962835,0.00901245358264017,0.0148549907623354,4769
"MRVL","downstream_deployer",-0.0186936569201495,0.00502747331093163,0.00044850684396152,4769
"MSFT","upstream_hardware",0.0229064430609982,0.00842521123184086,0.00859070785303187,4769
"MSFT","downstream_deployer",-0.018850199181134,0.005041646135628,0.000419847162527234,4769
"MU","upstream_hardware",0.0207711375192156,0.00822227724925317,0.0142339129438917,4769
"MU","downstream_deployer",-0.0182028145437374,0.00516675291581408,0.000830750696894216,4769
"NFLX","upstream_hardware",0.0228961613376315,0.00842914696130808,0.0086482002734141,4769
"NFLX","downstream_deployer",-0.0207542568506084,0.00570023840587514,0.000573773842836921,4769
"NICE","upstream_hardware",0.022780312567933,0.00838424865692583,0.00863133558108039,4769
"NICE","downstream_deployer",-0.0191941179444177,0.00511575299805779,0.000402585082471897,4769
