"variable","outcome","beta","se","p","n","n_events"
"competitor","ff3_car_10",0.00148312143567916,0.0047268820476755,0.754807601522,4831,60
"competitor","ff3_car_15",0.00379629087744258,0.00512622886424454,0.461896103335501,4831,60
"competitor","ff3_car_20",-0.00183358305993329,0.00601736381475438,0.761655258213246,4831,60
"downstream_deployer","ff3_car_10",-0.00319672601733875,0.00388659467893806,0.414103969009376,4831,60
"downstream_deployer","ff3_car_15",-0.00531200298895966,0.00447032439979481,0.23948388318498,4831,60
"downstream_deployer","ff3_car_20",-0.00763040608787804,0.00501463851166992,0.133444576833248,4831,60
"downstream_enabler","ff3_car_10",-0.00717951573425619,0.00570892669395396,0.21349340714332,4831,60
"downstream_enabler","ff3_car_15",-0.0106289629954361,0.00663877409858197,0.114708779015696,4831,60
"downstream_enabler","ff3_car_20",-0.00680899495129485,0.00750314257272758,0.367841705051682,4831,60
"downstream_integrator","ff3_car_10",0.00471450983699705,0.00626461840216454,0.454705724570713,4831,60
"downstream_integrator","ff3_car_15",0.0019877634617354,0.00773616392344432,0.798115692112417,4831,60
"downstream_integrator","ff3_car_20",0.00136885227726911,0.00959424405568882,0.88703352586478,4831,60
"upstream_cloud","ff3_car_10",0.00728614253758015,0.00518426935061165,0.165136657928219,4831,60
"upstream_cloud","ff3_car_15",0.0126354664294107,0.00535149982087007,0.0215428246336744,4831,60
"upstream_cloud","ff3_car_20",0.00770412246281247,0.00572065580546598,0.183221004319653,4831,60
"upstream_hardware","ff3_car_10",-0.0066839062283704,0.00584227925980889,0.257220029295003,4831,60
"upstream_hardware","ff3_car_15",-0.00178986880363848,0.00790348356051218,0.82162192912608,4831,60
"upstream_hardware","ff3_car_20",0.00145047400379857,0.00952142574232162,0.879440196235757,4831,60
