term,estimate,std.error,p.value,conf.low,conf.high,variable,variable_label,y_var,n,n_events,moderator
Baseline (mod=0),0.03378215118367456,0.009743364998622002,5.259192511814386e-4,0.014685155786375435,0.05287914658097368,upstream_hardware,Upstream hardware,car_20,4829,60,is_chinese_model
Mod=1,-0.01798030814030408,0.011306073500210404,0.1117620285076879,-0.04014021220071647,0.00417959592010831,upstream_hardware,Upstream hardware,car_20,4829,60,is_chinese_model
Interaction (mod=1 minus mod=0),-0.05176245932397864,0.014950556563474058,5.35693317507148e-4,-0.08106555018838779,-0.022459368459569487,upstream_hardware,Upstream hardware,car_20,4829,60,is_chinese_model
Baseline (mod=0),0.0311019296832975,0.009215726505492234,7.3849089250588e-4,0.01303910573253272,0.04916475363406228,upstream_any,Any upstream,car_20,4829,60,is_chinese_model
Mod=1,-0.010758013482541292,0.012579846710049369,0.3924523789152596,-0.03541451303423805,0.013898486069155471,upstream_any,Any upstream,car_20,4829,60,is_chinese_model
Interaction (mod=1 minus mod=0),-0.04185994316583879,0.01616317952640939,0.00960223733669328,-0.0735397750376012,-0.010180111294076387,upstream_any,Any upstream,car_20,4829,60,is_chinese_model
Baseline (mod=0),-0.03192033759209095,0.009145564457418471,4.8256271363421554e-4,-0.04984564392863115,-0.013995031255550749,downstream_any,Any downstream,car_20,4829,60,is_chinese_model
Mod=1,8.549875824400074e-4,0.01708646441745243,0.9600914034969698,-0.032634482675766754,0.03434445784064677,downstream_any,Any downstream,car_20,4829,60,is_chinese_model
Interaction (mod=1 minus mod=0),0.03277532517453096,0.019521631626657578,0.09316696312705994,-0.005487072813717894,0.07103772316277981,downstream_any,Any downstream,car_20,4829,60,is_chinese_model
Baseline (mod=0),-0.018363790067510648,0.006153069643478643,0.0028404918529087897,-0.03042380656872879,-0.006303773566292506,downstream_deployer,Downstream deployer,car_20,4829,60,is_chinese_model
Mod=1,-0.02125069220248951,0.007229461471846198,0.0032878773166312492,-0.03542043668730806,-0.0070809477176709615,downstream_deployer,Downstream deployer,car_20,4829,60,is_chinese_model
Interaction (mod=1 minus mod=0),-0.002886902134978863,0.00961460863622485,0.7639772752777316,-0.02173153506197957,0.015957730792021847,downstream_deployer,Downstream deployer,car_20,4829,60,is_chinese_model
