term,estimate,std.error,statistic,p.value,conf.low,conf.high,df,outcome,variable,variable_label,y_var,n,n_events
upstream_hardware,0.0353317793447077,0.009903960857381775,3.5674393157939095,7.232636041130207e-4,0.015513999444319658,0.05514955924509574,59,car_20,upstream_hardware,Upstream hardware,car_20,4829,60
is_open_weight,-0.011852379564557846,0.014784513409057733,-0.8016753231321422,0.4259578573051379,-0.04143612256336638,0.017731363434250684,59,car_20,upstream_hardware,Upstream hardware,car_20,4829,60
is_chinese_model,0.025162634455036408,0.015429430168701968,1.6308207224708717,0.10825551932286671,-0.005711583999071901,0.056036852909144716,59,car_20,upstream_hardware,Upstream hardware,car_20,4829,60
upstream_hardware:is_open_weight,-0.014185926962252494,0.019844176746390572,-0.7148659852988233,0.4775110560062926,-0.05389403291374669,0.025522178989241702,59,car_20,upstream_hardware,Upstream hardware,car_20,4829,60
upstream_hardware:is_chinese_model,-0.04451733791069069,0.01881403133556896,-2.3661775148916764,0.021275920005725823,-0.082164127656372,-0.006870548165009371,59,car_20,upstream_hardware,Upstream hardware,car_20,4829,60
upstream_any,0.03263762782758885,0.009367641438259954,3.484081670151042,9.37572104144769e-4,0.013893020606042552,0.05138223504913514,59,car_20,upstream_any,Any upstream,car_20,4829,60
is_open_weight,-0.01113477502060212,0.01604920995316492,-0.6937896041671716,0.4905367940100781,-0.043249169958853334,0.020979619917649097,59,car_20,upstream_any,Any upstream,car_20,4829,60
is_chinese_model,0.024845744295169378,0.016428189237142107,1.5123848366073247,0.13577434925423465,-0.008026986438711393,0.05771847502905015,59,car_20,upstream_any,Any upstream,car_20,4829,60
upstream_any:is_open_weight,-0.014016907072133893,0.020413204910972354,-0.6866588139033293,0.49498776930969246,-0.05486363575095828,0.0268298216066905,59,car_20,upstream_any,Any upstream,car_20,4829,60
upstream_any:is_chinese_model,-0.03483217865981302,0.019102112303795736,-1.8234726142245328,0.07329849813203804,-0.0730554170914313,0.0033910597718052604,59,car_20,upstream_any,Any upstream,car_20,4829,60
