"label","outcome","sample","term","coef","se","p_value","ci_lo","ci_hi","n","n_events","r_squared"
"technical bundle","mkt_car_20","joint model","z_intelligence",-0.01092896389976,0.0605534173350109,0.858424340827782,-0.136509065280392,0.114651137480872,1859,23,0.0843335418773882
"technical bundle","mkt_car_20","joint model","z_coding",-0.0062277546870752,0.0472926863965857,0.896430051691316,-0.104306783313785,0.091851273939635,1859,23,0.0843335418773882
"technical bundle","mkt_car_20","joint model","z_math",-0.00616511988428708,0.0127160221597132,0.632588770021666,-0.0325365357721871,0.020206296003613,1859,23,0.0843335418773882
"technical bundle","mkt_car_20","joint model","z_low_price",0.00192864456212021,0.0162784683394437,0.906763863521601,-0.0318308325137804,0.0356881216380208,1859,23,0.0843335418773882
"technical bundle","mkt_car_20","joint model","z_speed",-0.00889201185048229,0.0116037715384006,0.451640377621141,-0.0329567611300826,0.015172737429118,1859,23,0.0843335418773882
"technical bundle","mkt_car_20","joint model","z_low_ttft",-0.0456642693475666,0.00963910503670759,9.96904755734689e-05,-0.0656545496818925,-0.0256739890132407,1859,23,0.0843335418773882
"technical plus sentiment","mkt_car_20","joint model","z_intelligence",0.0219766232592538,0.0637202024997869,0.733963686424474,-0.111391293324569,0.155344539843076,1539,20,0.0787470350705778
"technical plus sentiment","mkt_car_20","joint model","z_coding",-0.00105932211175866,0.0485780774872189,0.982829625231646,-0.102734406809419,0.100615762585901,1539,20,0.0787470350705778
"technical plus sentiment","mkt_car_20","joint model","z_math",0.00240562016549058,0.0132767279098624,0.858136737306901,-0.0253828907136855,0.0301941310446667,1539,20,0.0787470350705778
"technical plus sentiment","mkt_car_20","joint model","z_low_price",0.0150432266635375,0.0201641456945444,0.464775258650972,-0.0271608153117377,0.0572472686388128,1539,20,0.0787470350705778
"technical plus sentiment","mkt_car_20","joint model","z_speed",-0.0165296230033865,0.0114213675426609,0.164124530136795,-0.0404348200044142,0.00737557399764115,1539,20,0.0787470350705778
"technical plus sentiment","mkt_car_20","joint model","z_sent_w5",-0.0235180908254666,0.0071044243795771,0.00367860380146076,-0.0383878219446463,-0.00864835970628687,1539,20,0.0787470350705778
"event type bundle","mkt_car_20","joint model","z_intelligence",0.0251663240465155,0.00867410432368642,0.0056842433361599,0.00770625762879915,0.0426263904642319,3780,47,0.108149387092596
"event type bundle","mkt_car_20","joint model","is_open_weight_or_open_source",0.00786591467406669,0.0179278034790795,0.662892958663663,-0.0282208820472648,0.0439527113953982,3780,47,0.108149387092596
"event type bundle","mkt_car_20","joint model","is_reasoning_model",-0.0136379987200517,0.0105579706868155,0.202904947887459,-0.0348900914490631,0.00761409400895961,3780,47,0.108149387092596
"event type bundle","mkt_car_20","joint model","is_coding_model",0.0019875947717548,0.0135614006094913,0.884117681130173,-0.0253100888302735,0.0292852783737831,3780,47,0.108149387092596
"event type bundle","mkt_car_20","joint model","is_model_family",-0.00779725217947511,0.0156539255967108,0.62078530407312,-0.0393069701189064,0.0237124657599562,3780,47,0.108149387092596
"event type bundle","mkt_car_20","joint model","is_chinese_model",0.00320688543781108,0.0222782448329583,0.88617114399687,-0.0416368955381001,0.0480506664137223,3780,47,0.108149387092596
"relationship bundle","mkt_car_20","joint model","z_intelligence",0.0203409026599518,0.00882094902357594,0.0256703316503413,0.0025852531921032,0.0380965521278005,3780,47,0.108668507702146
"relationship bundle","mkt_car_20","joint model","owner",0.037745460840778,0.0258382280056293,0.150857260507805,-0.0142641945956299,0.0897551162771858,3780,47,0.108668507702146
"relationship bundle","mkt_car_20","joint model","investor",-0.0230541068697071,0.0460573244773291,0.619072718495599,-0.115762692608127,0.0696544788687128,3780,47,0.108668507702146
"relationship bundle","mkt_car_20","joint model","cloud",0.0260971758191241,0.038673618423483,0.503176987252215,-0.0517487804997941,0.103943132138042,3780,47,0.108668507702146
"relationship bundle","mkt_car_20","joint model","real_upstream",0.0472759824588018,0.0148071924241134,0.00254254950691889,0.0174706499959509,0.0770813149216527,3780,47,0.108668507702146
"relationship bundle","mkt_car_20","joint model","real_downstream",-0.0128527040009829,0.0201380826969478,0.526489542732027,-0.0533885620323447,0.0276831540303788,3780,47,0.108668507702146
"relationship bundle","mkt_car_20","joint model","competitor",0.00279223836306465,0.00862389401648018,0.747572674748259,-0.0145667599482559,0.0201512366743852,3780,47,0.108668507702146
