"label","outcome","sample","term","coef","se","p_value","ci_lo","ci_hi","n","n_events","r_squared"
"AA intelligence x owner","mkt_car_20","relationship interaction","z_intelligence:owner",0.0424696073804221,0.0369964726912313,0.25692973861743,-0.0320004296753002,0.116939644436144,3780,47,0.106793650362792
"AA coding x owner","mkt_car_20","relationship interaction","z_coding:owner",0.00352126818564984,0.0299613382500349,0.90713394873048,-0.0573674969647946,0.0644100333360942,2813,35,0.0847649567735084
"AA math x owner","mkt_car_20","relationship interaction","z_math:owner",0.00656072428560042,0.0214679612730483,0.762778064371039,-0.037961102421381,0.0510825509925818,1859,23,0.0601350579801151
"Lower blended price x owner","mkt_car_20","relationship interaction","z_low_price:owner",-0.124057572274504,0.0521311586216849,0.0215282882346739,-0.228992152030664,-0.0191229925183438,3780,47,0.10270530021014
"Output speed x owner","mkt_car_20","relationship interaction","z_speed:owner",0.0224118844488559,0.0221499038820759,0.316913311020098,-0.0221735595918631,0.0669973284895748,3780,47,0.102302808701288
"AA intelligence x investor","mkt_car_20","relationship interaction","z_intelligence:investor",-0.0358956133807624,0.012958062512937,0.00805502058818953,-0.0619788403835762,-0.00981238637794857,3780,47,0.106741512836668
"AA coding x investor","mkt_car_20","relationship interaction","z_coding:investor",-0.0302965037597043,0.0136472930347675,0.0331927475769572,-0.0580311400966605,-0.00256186742274809,2813,35,0.084846050437831
"AA math x investor","mkt_car_20","relationship interaction","z_math:investor",0.0942934184862921,0.0484606262454337,0.0645684611861169,-0.00620776913787573,0.19479460611046,1859,23,0.0600495202999713
"Lower blended price x investor","mkt_car_20","relationship interaction","z_low_price:investor",0.0220088873772106,0.0168362124079365,0.19762970569674,-0.0118806504811974,0.0558984252356186,3780,47,0.102001822298686
"Output speed x investor","mkt_car_20","relationship interaction","z_speed:investor",0.0200850774853331,0.0218078730885904,0.361854948308024,-0.0238118942764839,0.0639820492471501,3780,47,0.102184781191628
"AA intelligence x cloud","mkt_car_20","relationship interaction","z_intelligence:cloud",-0.0280919256109029,0.0137080219503142,0.046160062804049,-0.0556847426645812,-0.000499108557224646,3780,47,0.106582178010413
"AA coding x cloud","mkt_car_20","relationship interaction","z_coding:cloud",-0.0264958396087035,0.0138404776537546,0.0640188990179092,-0.0546230743268809,0.00163139510947393,2813,35,0.0846761114882933
"AA math x cloud","mkt_car_20","relationship interaction","z_math:cloud",0.0469641314916989,0.0566191579229643,0.415746026578571,-0.0704568152521416,0.164385078235539,1859,23,0.0595693221688964
"Lower blended price x cloud","mkt_car_20","relationship interaction","z_low_price:cloud",0.0117377507603162,0.0133091703350883,0.382400270897899,-0.015052219632452,0.0385277211530845,3780,47,0.101914473800486
"Output speed x cloud","mkt_car_20","relationship interaction","z_speed:cloud",0.010895276392109,0.0178293465344966,0.544150254136618,-0.0249933367787885,0.0467838895630065,3780,47,0.102128943846894
"AA intelligence x real_upstream","mkt_car_20","relationship interaction","z_intelligence:real_upstream",-0.00307374252737438,0.0133544404699539,0.818983041543144,-0.0299548369753761,0.0238073519206274,3780,47,0.108267042605133
"AA coding x real_upstream","mkt_car_20","relationship interaction","z_coding:real_upstream",0.00529361555935977,0.0143867750358545,0.715191291015088,-0.0239438290140448,0.0345310601327643,2813,35,0.0853148775402156
"AA math x real_upstream","mkt_car_20","relationship interaction","z_math:real_upstream",0.00393554029479452,0.0215959495256553,0.857066991538119,-0.0408517178022767,0.0487227983918658,1859,23,0.0604602167456258
"Lower blended price x real_upstream","mkt_car_20","relationship interaction","z_low_price:real_upstream",-0.0136051567219582,0.0115987609999115,0.246840761054199,-0.0369522516915983,0.00974193824768191,3780,47,0.103948043017443
"Output speed x real_upstream","mkt_car_20","relationship interaction","z_speed:real_upstream",-0.0136442227803863,0.013330639861407,0.311413089392779,-0.0404774090881925,0.0131889635274198,3780,47,0.104088098502309
"AA intelligence x real_downstream","mkt_car_20","relationship interaction","z_intelligence:real_downstream",0.0159632295311996,0.00970258389084935,0.106734363693018,-0.00356705888083761,0.0354935179432368,3780,47,0.106699974106958
"AA coding x real_downstream","mkt_car_20","relationship interaction","z_coding:real_downstream",0.0106079549942584,0.0142606610310227,0.462070398034915,-0.0183731950852786,0.0395891050737955,2813,35,0.0845793669089663
"AA math x real_downstream","mkt_car_20","relationship interaction","z_math:real_downstream",0.111390786759496,0.0414225746682392,0.0134012573241314,0.0254856247517914,0.197295948767201,1859,23,0.0601159840629274
