"label","outcome","sample","term","coef","se","p_value","ci_lo","ci_hi","n","n_events","r_squared"
"AA intelligence x is_owner","mkt_car_20","relationship interaction","z_intelligence:is_owner",0.0424696073804221,0.0369964726912313,0.25692973861743,-0.0320004296753002,0.116939644436144,3780,47,0.106793650362792
"AA coding x is_owner","mkt_car_20","relationship interaction","z_coding:is_owner",0.00352126818564984,0.0299613382500349,0.90713394873048,-0.0573674969647946,0.0644100333360942,2813,35,0.0847649567735084
"AA math x is_owner","mkt_car_20","relationship interaction","z_math:is_owner",0.00656072428560042,0.0214679612730483,0.762778064371039,-0.037961102421381,0.0510825509925818,1859,23,0.0601350579801151
"Lower blended price x is_owner","mkt_car_20","relationship interaction","z_low_price:is_owner",-0.124057572274504,0.0521311586216849,0.0215282882346739,-0.228992152030664,-0.0191229925183438,3780,47,0.10270530021014
"Output speed x is_owner","mkt_car_20","relationship interaction","z_speed:is_owner",0.0224118844488559,0.0221499038820759,0.316913311020098,-0.0221735595918631,0.0669973284895748,3780,47,0.102302808701288
"AA intelligence x is_investor","mkt_car_20","relationship interaction","z_intelligence:is_investor",-0.034600941687621,0.0117796393090067,0.00515736122697908,-0.0583121258095788,-0.0108897575656631,3780,47,0.1067433295388
"AA coding x is_investor","mkt_car_20","relationship interaction","z_coding:is_investor",-0.0294404223383364,0.0127905853412433,0.0276044452287502,-0.0554340191690378,-0.00344682550763494,2813,35,0.0848409019797398
"AA math x is_investor","mkt_car_20","relationship interaction","z_math:is_investor",0.0484084711607759,0.0336921289734375,0.164848130260648,-0.0214647277175851,0.118281670039137,1859,23,0.0597165335266975
"Lower blended price x is_investor","mkt_car_20","relationship interaction","z_low_price:is_investor",0.0209527685820906,0.014621546623237,0.158617830854323,-0.00847887826521848,0.0503844154293997,3780,47,0.1020034308485
"Output speed x is_investor","mkt_car_20","relationship interaction","z_speed:is_investor",0.0200641525605821,0.0217270696225796,0.360584622109429,-0.0236701702601244,0.0637984753812886,3780,47,0.102184843395458
"AA intelligence x upstream_cloud","mkt_car_20","relationship interaction","z_intelligence:upstream_cloud",-0.00978674833854649,0.00663243447740055,0.146866883147753,-0.0231371465082275,0.00356364983113457,3780,47,0.106794813235924
"AA coding x upstream_cloud","mkt_car_20","relationship interaction","z_coding:upstream_cloud",-0.0167546447414639,0.0067542020052594,0.0182241955900624,-0.0304808346814751,-0.00302845480145282,2813,35,0.0851743044900457
"AA math x upstream_cloud","mkt_car_20","relationship interaction","z_math:upstream_cloud",0.00279262984965555,0.0102743475720439,0.788305587031695,-0.0185150628702915,0.0241003225696026,1859,23,0.0595378662704545
"Lower blended price x upstream_cloud","mkt_car_20","relationship interaction","z_low_price:upstream_cloud",0.00231074848486924,0.00603359043238289,0.703498225270274,-0.00983423914215666,0.0144557361118951,3780,47,0.102061333773291
"Output speed x upstream_cloud","mkt_car_20","relationship interaction","z_speed:upstream_cloud",0.00281388453091846,0.00841239098397415,0.739528079657658,-0.0141193802571126,0.0197471493189495,3780,47,0.102276500987095
"AA intelligence x upstream_hardware","mkt_car_20","relationship interaction","z_intelligence:upstream_hardware",0.00244126855564781,0.00968067527396024,0.802025653331531,-0.0170449200978749,0.0219274572091705,3780,47,0.111436220812709
"AA coding x upstream_hardware","mkt_car_20","relationship interaction","z_coding:upstream_hardware",0.00444287670432048,0.00892855827908734,0.621967049531356,-0.013702136834478,0.022587890243119,2813,35,0.0893458301941015
"AA math x upstream_hardware","mkt_car_20","relationship interaction","z_math:upstream_hardware",-0.00242670267368808,0.0103163805712416,0.816207445988793,-0.0238215664986343,0.0189681611512581,1859,23,0.0621788025414229
"Lower blended price x upstream_hardware","mkt_car_20","relationship interaction","z_low_price:upstream_hardware",-0.0118244356214815,0.0080645110860853,0.149388584904675,-0.0280574544940996,0.00440858325113652,3780,47,0.107570587308959
"Output speed x upstream_hardware","mkt_car_20","relationship interaction","z_speed:upstream_hardware",-0.0050754690595031,0.00873000943052108,0.563821292399925,-0.0226480666207241,0.0124971285017179,3780,47,0.107135414754059
"AA intelligence x competitor","mkt_car_20","relationship interaction","z_intelligence:competitor",-0.0121633028076107,0.00747046316080348,0.110316339890625,-0.0272005652258818,0.00287395961066033,3780,47,0.106901028499784
"AA coding x competitor","mkt_car_20","relationship interaction","z_coding:competitor",-0.0191133448461952,0.00943111278404483,0.0506015886552303,-0.0382796720183265,5.29823259360386e-05,2813,35,0.0856702835385158
"AA math x competitor","mkt_car_20","relationship interaction","z_math:competitor",0.000805122366123259,0.00919981346349481,0.931053811203788,-0.0182741230055595,0.019884367737806,1859,23,0.0593633415094601
"Lower blended price x competitor","mkt_car_20","relationship interaction","z_low_price:competitor",0.00416610628370493,0.00785880727006355,0.598578906173928,-0.011652852282962,0.0199850648503719,3780,47,0.10194369859841
"Output speed x competitor","mkt_car_20","relationship interaction","z_speed:competitor",0.00482519191302549,0.0099837105704307,0.631170725252062,-0.0152709751550799,0.0249213589811308,3780,47,0.10217334178335
"AA intelligence x broad_upstream","mkt_car_20","relationship interaction","z_intelligence:broad_upstream",-0.000722230416387439,0.00903483308093796,0.936632988149223,-0.0189084061619791,0.0174639453292042,3780,47,0.11153733718684
"AA coding x broad_upstream","mkt_car_20","relationship interaction","z_coding:broad_upstream",-0.000968500421767247,0.00802552538339461,0.904656820349465,-0.0172783303165609,0.0153413294730264,2813,35,0.089319531971211
"AA math x broad_upstream","mkt_car_20","relationship interaction","z_math:broad_upstream",-0.00137025840947383,0.0107118590990315,0.899374595556388,-0.0235852945021379,0.0208447776831902,1859,23,0.0625439191934958
"Lower blended price x broad_upstream","mkt_car_20","relationship interaction","z_low_price:broad_upstream",-0.00955161028823391,0.00773735752634799,0.223293519243437,-0.0251261032002859,0.00602288262381808,3780,47,0.107524707315232
"Output speed x broad_upstream","mkt_car_20","relationship interaction","z_speed:broad_upstream",-0.0036724012210432,0.0092270523379673,0.692468631742508,-0.0222454942631368,0.0149006918210504,3780,47,0.107222491809148
"AA intelligence x broad_downstream","mkt_car_20","relationship interaction","z_intelligence:broad_downstream",0.00164538117515068,0.00820497953054206,0.841946610651839,-0.0148703860111014,0.0181611483614028,3780,47,0.113811374890183
"AA coding x broad_downstream","mkt_car_20","relationship interaction","z_coding:broad_downstream",0.00656788970028908,0.00900548611810887,0.470800076983429,-0.0117334600169746,0.0248692394175528,2813,35,0.0911259340934709
"AA math x broad_downstream","mkt_car_20","relationship interaction","z_math:broad_downstream",0.0115510221378454,0.012319810595195,0.358631260089189,-0.013998701257208,0.0371007455328989,1859,23,0.0654069772766652
"Lower blended price x broad_downstream","mkt_car_20","relationship interaction","z_low_price:broad_downstream",0.0136900661010048,0.00754164793845781,0.0760061608790485,-0.00149048384291672,0.0288706160449263,3780,47,0.110492998292267
"Output speed x broad_downstream","mkt_car_20","relationship interaction","z_speed:broad_downstream",-0.000208728231151266,0.00682980179636546,0.975751550529517,-0.0139564062085473,0.0135389497462448,3780,47,0.109397454745967
"AA intelligence x pos_exposure","mkt_car_20","relationship interaction","z_intelligence:pos_exposure",0.000191104650483626,0.0167760380626863,0.99096033768989,-0.0335773085332025,0.0339595178341698,3780,47,0.107667733921556
"AA coding x pos_exposure","mkt_car_20","relationship interaction","z_coding:pos_exposure",0.0160247160784238,0.0158810841535402,0.320080925749724,-0.0162495299946209,0.0482989621514685,2813,35,0.0858443532448147
"AA math x pos_exposure","mkt_car_20","relationship interaction","z_math:pos_exposure",0.0421400909137495,0.0301751814793052,0.176490875647874,-0.0204394052752978,0.104719587102797,1859,23,0.0640405608380679
"Lower blended price x pos_exposure","mkt_car_20","relationship interaction","z_low_price:pos_exposure",0.019393297614192,0.0171439183791298,0.263831706953839,-0.0151156202393922,0.0539022154677763,3780,47,0.103810607834973
"Output speed x pos_exposure","mkt_car_20","relationship interaction","z_speed:pos_exposure",-0.0176396530119615,0.0271294707403323,0.518795642158785,-0.0722484452661898,0.0369691392422669,3780,47,0.103905664428627
