"label","outcome","sample","term","coef","se","p_value","ci_lo","ci_hi","n","events","r_squared"
"AA intelligence","mkt_car_1","all event-firm panel","z_intelligence",0.00456383459259995,0.00232640488589636,0.0558588940825032,-0.000118975563525495,0.0092466447487254,3745,47,0.0187014487771675
"AA coding","mkt_car_1","all event-firm panel","z_coding",0.00182142599735874,0.00192406456523481,0.350494297869694,-0.00208874365091249,0.00573159564562997,2787,35,0.0142677437626683
"AA math","mkt_car_1","all event-firm panel","z_math",-0.00023032997107583,0.00192378339038879,0.905785569728742,-0.00422001253288425,0.00375935259073259,1848,23,0.0099203376007293
"MMLU-Pro","mkt_car_1","all event-firm panel","z_mmlu",0.00473390798448882,0.00179270769465414,0.0119409753100836,0.00110476098983089,0.00836305497914674,3124,39,0.018769654408651
"GPQA","mkt_car_1","all event-firm panel","z_gpqa",0.00515936276635817,0.00210958469447812,0.0186263933305802,0.00090497976939373,0.00941374576332261,3506,44,0.0202072033515595
"HLE","mkt_car_1","all event-firm panel","z_hle",0.0022756820428717,0.00228915827112761,0.325729326577097,-0.0023408455853092,0.0068922096710526,3506,44,0.0151717375392805
"LiveCodeBench","mkt_car_1","all event-firm panel","z_livecode",0.0040754574924536,0.00201896268448472,0.0504438488531746,-8.2799973466852e-06,0.00815919498225388,3203,40,0.0186447028545906
"Lower blended price","mkt_car_1","all event-firm panel","z_low_price",-0.00384994890939767,0.00137765059597166,0.00755356035101699,-0.00662301573087776,-0.00107688208791757,3745,47,0.0197150674101455
"Output speed","mkt_car_1","all event-firm panel","z_speed",0.00175454655918892,0.0016208605278057,0.284681881166712,-0.0015080764636934,0.00501716958207124,3745,47,0.0165646805867831
"Lower TTFT","mkt_car_1","all event-firm panel","z_low_ttft",-0.0038421043690216,0.00187429049197714,0.0460997604934503,-0.00761485545141892,-6.93532866242728e-05,3745,47,0.0181697944150936
"Price efficiency","mkt_car_1","all event-firm panel","z_price_efficiency",-0.0012014415916847,0.000967145337596379,0.223458176129785,-0.0031739475123321,0.000771064328962712,2540,32,0.0196086886237246
"Speed-adjusted capability","mkt_car_1","all event-firm panel","z_speed_adjusted_capability",0.00213413009429184,0.00176339890941052,0.232370362770553,-0.00141540780959991,0.00568366799818359,3745,47,0.016820717294146
"Intelligence x lower price","mkt_car_1","all event-firm panel","z_intelligence",0.00191715384616951,0.00243066663525672,0.434312739442416,-0.00297552432637904,0.00680983201871805,3745,47,0.0210662681876098
"Intelligence x lower price","mkt_car_1","all event-firm panel","z_low_price",-0.0025747921124339,0.00151068340218346,0.0950551046187836,-0.00561564008404962,0.000466055859181829,3745,47,0.0210662681876098
"Intelligence x lower price","mkt_car_1","all event-firm panel","z_intelligence:z_low_price",0.0036680295799896,0.00200895457519343,0.0743696601454895,-0.000375786242846298,0.0077118454028255,3745,47,0.0210662681876098
"Intelligence x speed","mkt_car_1","all event-firm panel","z_intelligence",0.00392471688224975,0.00209811018942527,0.0677710170569072,-0.000298559884092385,0.00814799364859188,3745,47,0.0194629012219653
"Intelligence x speed","mkt_car_1","all event-firm panel","z_speed",0.000698347964312418,0.00147612288445607,0.638381968813543,-0.00227293329327345,0.00366962922189828,3745,47,0.0194629012219653
"Intelligence x speed","mkt_car_1","all event-firm panel","z_intelligence:z_speed",-0.0036669830626517,0.00294813608726749,0.21986316311137,-0.00960127321772797,0.00226730709242459,3745,47,0.0194629012219653
"Intelligence x open weight","mkt_car_1","all event-firm panel","z_intelligence",0.00484716610966059,0.00305059707354472,0.118928070378646,-0.00129336731375406,0.0109876995330752,3745,47,0.0187339947470041
"Intelligence x open weight","mkt_car_1","all event-firm panel","is_open_weight_or_open_source",0.000479295519536532,0.00435833646197885,0.912909865899228,-0.00829358076339076,0.00925217180246383,3745,47,0.0187339947470041
"Intelligence x open weight","mkt_car_1","all event-firm panel","z_intelligence:is_open_weight_or_open_source",-0.000656548494381336,0.00513182429645794,0.89875677642779,-0.0109863750351493,0.00967327804638664,3745,47,0.0187339947470041
"Intelligence x upstream x open weight","mkt_car_1","all event-firm panel","z_intelligence",0.00490190442773324,0.00301703564521635,0.111050795949694,-0.00117107334430579,0.0109748821997723,3745,47,0.0197169574077911
"Intelligence x upstream x open weight","mkt_car_1","all event-firm panel","broad_upstream",0.00789169784017625,0.00406828145877935,0.0585484514500005,-0.000297328003366206,0.0160807236837187,3745,47,0.0197169574077911
"Intelligence x upstream x open weight","mkt_car_1","all event-firm panel","is_open_weight_or_open_source",0.00124069416848246,0.00422762134341544,0.770480381167309,-0.00726906622757632,0.00975045456454123,3745,47,0.0197169574077911
"Intelligence x upstream x open weight","mkt_car_1","all event-firm panel","z_intelligence:broad_upstream",-0.000971699106496252,0.00370274620406689,0.794164288144937,-0.00842494064457812,0.00648154243158561,3745,47,0.0197169574077911
"Intelligence x upstream x open weight","mkt_car_1","all event-firm panel","z_intelligence:is_open_weight_or_open_source",-0.000739998468204643,0.00495890950370865,0.882027592608863,-0.0107217655836595,0.00924176864725023,3745,47,0.0197169574077911
"Intelligence x upstream x open weight","mkt_car_1","all event-firm panel","broad_upstream:is_open_weight_or_open_source",-0.0257803662143368,0.00901181747158089,0.00633752722725616,-0.0439202139411472,-0.00764051848752644,3745,47,0.0197169574077911
"Intelligence x upstream x open weight","mkt_car_1","all event-firm panel","z_intelligence:broad_upstream:is_open_weight_or_open_source",0.00040903618536003,0.0164415061763608,0.980259674501671,-0.0326859992366431,0.0335040716073632,3745,47,0.0197169574077911
"Intelligence x downstream x open weight","mkt_car_1","all event-firm panel","z_intelligence",0.00536595354138618,0.00324611848405063,0.105133360745709,-0.00116814406873034,0.0119000511515027,3745,47,0.0208496340812094
"Intelligence x downstream x open weight","mkt_car_1","all event-firm panel","broad_downstream",-0.00568166186182709,0.00192625090172445,0.00498895718265519,-0.00955900382432281,-0.00180431989933137,3745,47,0.0208496340812094
"Intelligence x downstream x open weight","mkt_car_1","all event-firm panel","is_open_weight_or_open_source",-0.0018994332677906,0.00439361837959349,0.667531440353515,-0.0107433283674059,0.00694446183182465,3745,47,0.0208496340812094
"Intelligence x downstream x open weight","mkt_car_1","all event-firm panel","z_intelligence:broad_downstream",-0.00173706942894651,0.00200224977170922,0.390139308724761,-0.00576738918235742,0.0022932503244644,3745,47,0.0208496340812094
"Intelligence x downstream x open weight","mkt_car_1","all event-firm panel","z_intelligence:is_open_weight_or_open_source",0.000185927388708778,0.00586939934119966,0.974866356200033,-0.0116285607134926,0.0120004154909102,3745,47,0.0208496340812094
"Intelligence x downstream x open weight","mkt_car_1","all event-firm panel","broad_downstream:is_open_weight_or_open_source",0.00832402416327011,0.0047973940608527,0.0894168056842546,-0.00133262922810248,0.0179806775546427,3745,47,0.0208496340812094
"Intelligence x downstream x open weight","mkt_car_1","all event-firm panel","z_intelligence:broad_downstream:is_open_weight_or_open_source",-0.00307967472462519,0.00903895683003829,0.734872152940784,-0.021274151146632,0.0151148016973816,3745,47,0.0208496340812094
"AA intelligence","mkt_car_5","all event-firm panel","z_intelligence",0.00380537496838445,0.00350866445795187,0.283766035879106,-0.00325720027711189,0.0108679502138808,3760,47,0.163641462775712
"AA coding","mkt_car_5","all event-firm panel","z_coding",0.00112648094642327,0.00260049322312236,0.667620033204919,-0.00415835712778509,0.00641131902063163,2799,35,0.207574710422066
"AA math","mkt_car_5","all event-firm panel","z_math",-0.00165023274544324,0.00362854658892714,0.653715090852757,-0.00917537779185426,0.00587491230096779,1849,23,0.310785557861927
"MMLU-Pro","mkt_car_5","all event-firm panel","z_mmlu",0.00588650752224315,0.0022408773348431,0.0123560336148683,0.00135008852354418,0.0104229265209421,3135,39,0.194558787590285
"GPQA","mkt_car_5","all event-firm panel","z_gpqa",0.0059670405269819,0.00291604732637905,0.0468745445329617,8.62706312941101e-05,0.0118478104226697,3520,44,0.19023641537617
