"label","outcome","sample","term","coef","se","p_value","ci_lo","ci_hi","n","events","r_squared","dropped_event"
"full sample","mkt_car_20","all events","z_intelligence",0.0180030614620341,0.00671293677416942,0.0101341468277982,0.00449062057348405,0.0315155023505841,3762,47,0.295930134069636,NA
"full sample","mkt_car_20","drop event FMR-0001","z_intelligence",0.0174433974791278,0.00682335133013091,0.0140204804029559,0.00370046244158648,0.0311863325166691,3680,46,0.295819810428023,"FMR-0001"
"full sample","mkt_car_20","drop event FMR-0002","z_intelligence",0.0180030614620341,0.00671293677416942,0.0101341468277982,0.00449062057348405,0.0315155023505841,3762,47,0.295930134069636,"FMR-0002"
"full sample","mkt_car_20","drop event FMR-0003","z_intelligence",0.0175107619122797,0.00677866901740789,0.0131090734418627,0.00385782167221691,0.0311637021523426,3680,46,0.296293206009164,"FMR-0003"
"full sample","mkt_car_20","drop event FMR-0004","z_intelligence",0.0180030614620341,0.00671293677416942,0.0101341468277982,0.00449062057348405,0.0315155023505841,3762,47,0.295930134069636,"FMR-0004"
"full sample","mkt_car_20","drop event FMR-0005","z_intelligence",0.0179817946029661,0.00673249120102617,0.0104916942415083,0.00442186125936877,0.0315417279465634,3683,46,0.296587369035572,"FMR-0005"
"full sample","mkt_car_20","drop event FMR-0006","z_intelligence",0.017314206484905,0.00673199412948733,0.0134862736940345,0.00375527429477861,0.0308731386750314,3680,46,0.296713922128422,"FMR-0006"
"full sample","mkt_car_20","drop event FMR-0007","z_intelligence",0.0180030614620341,0.00671293677416942,0.0101341468277982,0.00449062057348405,0.0315155023505841,3762,47,0.295930134069636,"FMR-0007"
"full sample","mkt_car_20","drop event FMR-0008","z_intelligence",0.0182508718376847,0.00682386966564532,0.0103935240896172,0.0045068928188273,0.0319948508565422,3680,46,0.297101229377429,"FMR-0008"
"full sample","mkt_car_20","drop event FMR-0009","z_intelligence",0.0180669977780992,0.00674580703929573,0.0102954906172483,0.00448024495951745,0.031653750596681,3680,46,0.297035905142048,"FMR-0009"
"full sample","mkt_car_20","drop event FMR-0010","z_intelligence",0.0180871504741435,0.00670017071051024,0.00974767000463784,0.00459231394002462,0.0315819870082624,3683,46,0.296089567666604,"FMR-0010"
"full sample","mkt_car_20","drop event FMR-0011","z_intelligence",0.0181155283751149,0.00670010327768485,0.00964106570561409,0.00462082765767814,0.0316102290925516,3683,46,0.296561414404478,"FMR-0011"
"full sample","mkt_car_20","drop event FMR-0012","z_intelligence",0.0184813124202971,0.00677036833736295,0.00901453128550484,0.00484509060804276,0.0321175342325514,3683,46,0.296706401157725,"FMR-0012"
"full sample","mkt_car_20","drop event FMR-0013","z_intelligence",0.0179503577207343,0.00663414561367613,0.00959180929762491,0.0045885025579002,0.0313122128835684,3683,46,0.298023506270493,"FMR-0013"
"full sample","mkt_car_20","drop event FMR-0014","z_intelligence",0.0190547106049082,0.00664171493784165,0.0062507555935894,0.00567761004062078,0.0324318111691956,3683,46,0.301098060906726,"FMR-0014"
"full sample","mkt_car_20","drop event FMR-0015","z_intelligence",0.0185831017333938,0.0066646395767502,0.00773667875615058,0.00515982857619185,0.0320063748905958,3680,46,0.31300039648028,"FMR-0015"
"full sample","mkt_car_20","drop event FMR-0016","z_intelligence",0.0180030614620341,0.00671293677416942,0.0101341468277982,0.00449062057348405,0.0315155023505841,3762,47,0.295930134069636,"FMR-0016"
"full sample","mkt_car_20","drop event FMR-0017","z_intelligence",0.0180462869314393,0.00675822805864237,0.0105086135230649,0.00443451689569807,0.0316580569671805,3683,46,0.296214480803383,"FMR-0017"
"full sample","mkt_car_20","drop event FMR-0018","z_intelligence",0.0182640682151484,0.00705526684159432,0.0129288283392883,0.0040540313600346,0.0324741050702622,3683,46,0.302333795656203,"FMR-0018"
"full sample","mkt_car_20","drop event FMR-0019","z_intelligence",0.0180114282662718,0.0068163695766326,0.0112850422794737,0.00428255520211178,0.0317403013304318,3683,46,0.302334831138027,"FMR-0019"
"full sample","mkt_car_20","drop event FMR-0020","z_intelligence",0.0223744276819209,0.006431916865908,0.00113017354900432,0.00941988212529569,0.035328973238546,3680,46,0.31395836173914,"FMR-0020"
"full sample","mkt_car_20","drop event FMR-0021","z_intelligence",0.0186322379933781,0.00697098887344145,0.010439954367128,0.004591945679529,0.0326725303072272,3683,46,0.292674220626573,"FMR-0021"
"full sample","mkt_car_20","drop event FMR-0022","z_intelligence",0.0178326858024767,0.00695377230810481,0.013741204972305,0.00382706943121699,0.0318383021737364,3683,46,0.291394336735439,"FMR-0022"
"full sample","mkt_car_20","drop event FMR-0023","z_intelligence",0.0179783587271701,0.00671536518656357,0.0103235043151379,0.00445291894733997,0.0315037985070003,3680,46,0.289584384780796,"FMR-0023"
"full sample","mkt_car_20","drop event FMR-0024","z_intelligence",0.0173863877845603,0.00683086819879643,0.0144169077784816,0.00362831299636597,0.0311444625727546,3680,46,0.279927722748533,"FMR-0024"
"full sample","mkt_car_20","drop event FMR-0025","z_intelligence",0.0187816136039212,0.0066962032839797,0.00740822403163976,0.00529476787702266,0.0322684593308198,3680,46,0.277460210924292,"FMR-0025"
"full sample","mkt_car_20","drop event FMR-0026","z_intelligence",0.0197565556272711,0.00660930994645384,0.00452069332783897,0.00644472206595458,0.0330683891885877,3683,46,0.278613407763616,"FMR-0026"
"full sample","mkt_car_20","drop event FMR-0027","z_intelligence",0.0170173951999077,0.00690237593346458,0.0175638652349431,0.00311529644098705,0.0309194939588283,3683,46,0.285472477923707,"FMR-0027"
"full sample","mkt_car_20","drop event FMR-0028","z_intelligence",0.0172032241657147,0.00731372944989307,0.0230985613853376,0.00247261689532746,0.031933831436102,3680,46,0.284400244336711,"FMR-0028"
"full sample","mkt_car_20","drop event FMR-0029","z_intelligence",0.0165135396104427,0.0065887268516154,0.0158813782954194,0.00324316253019388,0.0297839166906915,3680,46,0.288656777084843,"FMR-0029"
