"label","outcome","sample","term","coef","se","p_value","ci_lo","ci_hi","n","events","r_squared"
"sentiment w5 x owner","mkt_car_20","relationship sentiment interaction","z_sent_w5",-0.0096173382960436,0.00347938783598936,0.00818379044229225,-0.0166209827580404,-0.00261369383404682,3690,47,0.290446349096976
"sentiment w5 x owner","mkt_car_20","relationship sentiment interaction","owner",0.00252410371624752,0.0192359681004427,0.896175140909651,-0.0361958918140881,0.0412440992465832,3690,47,0.290446349096976
"sentiment w5 x owner","mkt_car_20","relationship sentiment interaction","z_sent_w5:owner",0.0218361743313955,0.0291337807669322,0.457363650259121,-0.0368070847542458,0.0804794334170369,3690,47,0.290446349096976
"sentiment w5 x broad_upstream","mkt_car_20","relationship sentiment interaction","z_sent_w5",-0.00947759911031059,0.0035093977294322,0.0096542124755411,-0.0165416503547425,-0.00241354786587867,3690,47,0.290815082460536
"sentiment w5 x broad_upstream","mkt_car_20","relationship sentiment interaction","broad_upstream",0.0212135988567071,0.0108393231297296,0.0564207622259763,-0.000604826966391147,0.0430320246798054,3690,47,0.290815082460536
"sentiment w5 x broad_upstream","mkt_car_20","relationship sentiment interaction","z_sent_w5:broad_upstream",0.000422577472605698,0.0101538254681481,0.96698369091082,-0.0200160131244256,0.020861168069637,3690,47,0.290815082460536
"sentiment w5 x broad_downstream","mkt_car_20","relationship sentiment interaction","z_sent_w5",-0.00687274792273725,0.0031929975144963,0.0366427878500082,-0.0132999185670275,-0.000445577278446982,3690,47,0.290920531239938
"sentiment w5 x broad_downstream","mkt_car_20","relationship sentiment interaction","broad_downstream",-0.00178072938893982,0.00652311513299826,0.786084615653495,-0.0149110791313967,0.0113496203535171,3690,47,0.290920531239938
"sentiment w5 x broad_downstream","mkt_car_20","relationship sentiment interaction","z_sent_w5:broad_downstream",-0.0090564649858077,0.00649868356491596,0.170140061925486,-0.0221376365323971,0.00402470656078165,3690,47,0.290920531239938
"sentiment w5 x competitor","mkt_car_20","relationship sentiment interaction","z_sent_w5",-0.0115355979481916,0.00377145533899063,0.00369999485904478,-0.019127143801567,-0.00394405209481614,3690,47,0.291662408845566
"sentiment w5 x competitor","mkt_car_20","relationship sentiment interaction","competitor",-0.00198067530863412,0.00707658135282477,0.780815504782558,-0.0162250947691304,0.0122637441518622,3690,47,0.291662408845566
"sentiment w5 x competitor","mkt_car_20","relationship sentiment interaction","z_sent_w5:competitor",0.0214105464287481,0.0053590697580978,0.000231333156080879,0.0106232984983709,0.0321977943591254,3690,47,0.291662408845566
"sentiment w5 x cloud","mkt_car_20","relationship sentiment interaction","z_sent_w5",-0.00947577014555979,0.00341997749762217,0.00804290029300266,-0.0163598277989269,-0.00259171249219265,3690,47,0.290386541037285
"sentiment w5 x cloud","mkt_car_20","relationship sentiment interaction","cloud",-0.0173573679968616,0.019276848153898,0.372583806334648,-0.056159650806881,0.0214449148131577,3690,47,0.290386541037285
"sentiment w5 x cloud","mkt_car_20","relationship sentiment interaction","z_sent_w5:cloud",-0.0115238854038453,0.015175998327994,0.451517497723316,-0.0420715856474731,0.0190238148397826,3690,47,0.290386541037285
"sentiment w5 x investor","mkt_car_20","relationship sentiment interaction","z_sent_w5",-0.00956690047310705,0.00341723864649121,0.00745411936788139,-0.0164454451050866,-0.0026883558411275,3690,47,0.290425372994021
"sentiment w5 x investor","mkt_car_20","relationship sentiment interaction","investor",-0.0177648397033859,0.0163658286385051,0.283363518600157,-0.0507075441425024,0.0151778647357307,3690,47,0.290425372994021
"sentiment w5 x investor","mkt_car_20","relationship sentiment interaction","z_sent_w5:investor",0.000280441854652147,0.011744485524552,0.981052731135796,-0.0233599813692916,0.0239208650785959,3690,47,0.290425372994021
