"label","outcome","sample","term","coef","se","p_value","ci_lo","ci_hi","n","events","r_squared"
"sentiment w5 x is_owner","mkt_car_20","relationship sentiment interaction","z_sent_w5",-0.0096173382960436,0.00347938783598936,0.00818379044229225,-0.0166209827580404,-0.00261369383404682,3690,47,0.290446349096976
"sentiment w5 x is_owner","mkt_car_20","relationship sentiment interaction","is_owner",0.00252410371624752,0.0192359681004427,0.896175140909651,-0.0361958918140881,0.0412440992465832,3690,47,0.290446349096976
"sentiment w5 x is_owner","mkt_car_20","relationship sentiment interaction","z_sent_w5:is_owner",0.0218361743313955,0.0291337807669322,0.457363650259121,-0.0368070847542458,0.0804794334170369,3690,47,0.290446349096976
"sentiment w5 x broad_upstream","mkt_car_20","relationship sentiment interaction","z_sent_w5",-0.0118286784777807,0.00460843246982794,0.0135849476608097,-0.0211049719142148,-0.00255238504134665,3690,47,0.291779581105037
"sentiment w5 x broad_upstream","mkt_car_20","relationship sentiment interaction","broad_upstream",0.0124525080672582,0.00689794904683676,0.077583245732021,-0.00143234321068998,0.0263373593452064,3690,47,0.291779581105037
"sentiment w5 x broad_upstream","mkt_car_20","relationship sentiment interaction","z_sent_w5:broad_upstream",0.00752345705742483,0.0062112970241259,0.231984198024563,-0.00497923538601955,0.0200261495008692,3690,47,0.291779581105037
"sentiment w5 x broad_downstream","mkt_car_20","relationship sentiment interaction","z_sent_w5",-0.00724427241678352,0.00515586810248419,0.166722833556092,-0.017622496628883,0.00313395179531596,3690,47,0.292385304997349
"sentiment w5 x broad_downstream","mkt_car_20","relationship sentiment interaction","broad_downstream",-0.0165163935438431,0.00843221774306827,0.0562237762366593,-0.0334895675279955,0.000456780440309376,3690,47,0.292385304997349
"sentiment w5 x broad_downstream","mkt_car_20","relationship sentiment interaction","z_sent_w5:broad_downstream",-0.00344988774581412,0.00829794763489291,0.679524725202724,-0.0201527900201539,0.0132530145285257,3690,47,0.292385304997349
"sentiment w5 x competitor","mkt_car_20","relationship sentiment interaction","z_sent_w5",-0.0116048959957861,0.00379248625490396,0.00368659915332323,-0.0192387748872447,-0.00397101710432748,3690,47,0.291579059947481
"sentiment w5 x competitor","mkt_car_20","relationship sentiment interaction","competitor",-3.14082546290147e-05,0.00683683857982068,0.996354418032921,-0.0137932505424726,0.0137304340332146,3690,47,0.291579059947481
"sentiment w5 x competitor","mkt_car_20","relationship sentiment interaction","z_sent_w5:competitor",0.0198253733770276,0.00474329430040513,0.000129261030376845,0.0102776171553625,0.0293731295986927,3690,47,0.291579059947481
"sentiment w5 x upstream_cloud","mkt_car_20","relationship sentiment interaction","z_sent_w5",-0.010310593311874,0.00358555913383884,0.00609064789529878,-0.0175279495120436,-0.00309323711170444,3690,47,0.290805249581398
"sentiment w5 x upstream_cloud","mkt_car_20","relationship sentiment interaction","upstream_cloud",0.008109511636167,0.00544891752684939,0.143501174253247,-0.00285859047250308,0.0190776137448371,3690,47,0.290805249581398
"sentiment w5 x upstream_cloud","mkt_car_20","relationship sentiment interaction","z_sent_w5:upstream_cloud",0.0133742877417928,0.00490295862496539,0.00899721037959905,0.00350514390391591,0.0232434315796697,3690,47,0.290805249581398
"sentiment w5 x is_investor","mkt_car_20","relationship sentiment interaction","z_sent_w5",-0.00957971668396938,0.00341936720455442,0.00741476654622291,-0.0164625458811064,-0.00269688748683235,3690,47,0.290420234870499
"sentiment w5 x is_investor","mkt_car_20","relationship sentiment interaction","is_investor",-0.0143899937483882,0.0153857646173719,0.354528331843833,-0.0453599316327064,0.0165799441359301,3690,47,0.290420234870499
"sentiment w5 x is_investor","mkt_car_20","relationship sentiment interaction","z_sent_w5:is_investor",0.00338460963299091,0.0117402316673624,0.774418634452371,-0.0202472510205374,0.0270164702865192,3690,47,0.290420234870499
