family,spec_label,term,y_var,controls,estimate,std.error,p.value,stars,n,n_events
joint_relationship_model,downstream_three_way,downstream_deployer,car_20,firm_year_intel,-0.03801367751888377,0.007820590606830935,1.400644333140999e-5,***,3780,60
joint_relationship_model,downstream_three_way,downstream_deployer,car_15,firm_year_intel,-0.03117334433473588,0.006553671749237529,1.979658933943978e-5,***,3780,60
joint_relationship_model,downstream_three_way,downstream_enabler,car_15,firm_year_intel,-0.035630132540069664,0.0075054483130876995,2.0422005694281864e-5,***,3780,60
joint_relationship_model,downstream_three_way,downstream_deployer,car_10,firm_year_intel,-0.020233538771429707,0.004795113320305762,1.1380730382332955e-4,***,3780,60
joint_relationship_model,downstream_three_way,downstream_enabler,car_10,firm_year_intel,-0.02428024744286334,0.006777620147590432,8.181786066582937e-4,***,3780,60
joint_relationship_model,downstream_three_way,downstream_enabler,car_20,firm_year_intel,-0.03150354719943933,0.009422266837184851,0.0016519036643928213,***,3780,60
joint_relationship_model,joint_all_eight,downstream_enabler,car_15,firm_year_intel,-0.041966833231882814,0.01290976681758989,0.0021562813840303088,***,3780,60
joint_relationship_model,upstream_hardware_vs_cloud,upstream_hardware,car_20,firm_year_intel,0.03149025074751171,0.009929735373425907,0.002701367193141329,***,3780,60
joint_relationship_model,joint_bundles,downstream_any,car_20,firm_year_intel,-0.0387417776466269,0.012245046712551722,0.0027585302793300026,***,3780,60
joint_relationship_model,joint_all_eight,downstream_enabler,car_10,firm_year_intel,-0.0358777168261204,0.011638777887175676,0.003462399344538818,***,3780,60
joint_relationship_model,downstream_three_way,downstream_deployer,car_20,none,-0.022451966639740122,0.007383419113115919,0.003515673113442179,***,5053,60
joint_relationship_model,upstream_hardware_vs_cloud,upstream_cloud,car_15,firm_year_intel,0.019966724678777036,0.00684649238570788,0.00545870744508817,***,3780,60
joint_relationship_model,downstream_three_way,downstream_deployer,car_15,none,-0.018659250767302876,0.006544258041595328,0.0059924539620514845,***,5053,60
joint_relationship_model,upstream_hardware_vs_cloud,upstream_hardware,car_20,none,0.023034557035392984,0.008104405125461272,0.006143157196178815,***,5053,60
joint_relationship_model,downstream_three_way,downstream_integrator,car_20,firm_year_intel,-0.030621013594152254,0.010945735986667204,0.007494958616512992,***,3780,60
joint_relationship_model,joint_all_eight,downstream_enabler,car_20,firm_year_intel,-0.03972843626675689,0.014243254661798958,0.0076596920521527015,***,3780,60
joint_relationship_model,joint_bundles,downstream_any,car_15,firm_year_intel,-0.032083922851174944,0.011510604804515209,0.007699018658983852,***,3780,60
joint_relationship_model,upstream_hardware_vs_cloud,upstream_hardware,car_15,firm_year_intel,0.023751951233559256,0.008736170462505502,0.009210014803932465,***,3780,60
joint_relationship_model,joint_all_eight,downstream_deployer,car_20,firm_year_intel,-0.049911829312073004,0.018925248462271504,0.01136054336019989,**,3780,60
joint_relationship_model,joint_all_eight,downstream_integrator,car_20,firm_year_intel,-0.04159639546515392,0.015843682356590578,0.011710255985584705,**,3780,60
joint_relationship_model,joint_bundles,downstream_any,car_10,firm_year_intel,-0.027169684310206433,0.01037351452846087,0.011899076257353139,**,3780,60
joint_relationship_model,downstream_three_way,downstream_integrator,car_15,firm_year_intel,-0.024076888736106722,0.00919854285141166,0.011949777630388472,**,3780,60
joint_relationship_model,upstream_hardware_vs_cloud,upstream_hardware,car_15,none,0.01791971113969995,0.007013443659847696,0.013216207584296489,**,5053,60
joint_relationship_model,downstream_three_way,downstream_deployer,car_10,none,-0.012553001295677865,0.005472316707054105,0.02537336509375114,**,5053,60
joint_relationship_model,joint_bundles,competitor,car_20,firm_year_intel,-0.019284953295496617,0.00859722733579786,0.029745385643867535,**,3780,60
joint_relationship_model,upstream_hardware_vs_cloud,upstream_cloud,car_10,firm_year_intel,0.014256681285646278,0.006548807411745189,0.03464972471649214,**,3780,60
joint_relationship_model,joint_all_eight,downstream_deployer,car_15,firm_year_intel,-0.04023504746716836,0.0185785168868552,0.035556147361782135,**,3780,60
joint_relationship_model,joint_all_eight,downstream_deployer,car_10,firm_year_intel,-0.0357405188738209,0.016914495514022968,0.04005616489446095,**,3780,60
joint_relationship_model,upstream_hardware_vs_cloud,upstream_cloud,car_20,firm_year_intel,0.017070960215986253,0.008142429491024155,0.04156214991760296,**,3780,60
joint_relationship_model,downstream_three_way,downstream_enabler,car_15,none,-0.017422961900393746,0.008387939765900163,0.042150889154720615,**,5053,60
joint_relationship_model,joint_all_eight,downstream_integrator,car_10,firm_year_intel,-0.030556304255422825,0.014843419355181896,0.04522432788370029,**,3780,60
joint_relationship_model,downstream_three_way,downstream_integrator,car_10,firm_year_intel,-0.01588352519991785,0.007776678699404299,0.04686221269901477,**,3780,60
joint_relationship_model,joint_all_eight,downstream_integrator,car_15,firm_year_intel,-0.03241508046531321,0.016066355722984288,0.04949146305660352,**,3780,60
joint_relationship_model,joint_all_eight,competitor,car_20,firm_year_intel,-0.025809044312827777,0.012853388672269749,0.050541649853018546,*,3780,60
joint_relationship_model,upstream_hardware_vs_cloud,upstream_cloud,car_15,none,0.0143752176281058,0.007809367706712552,0.07068595219147554,*,5053,60
joint_relationship_model,upstream_hardware_vs_cloud,upstream_hardware,car_10,firm_year_intel,0.01235279111222342,0.006823752173537442,0.07678990280285057,*,3780,60
