variable,n_1,n_0,events_1,events_0,car20_nonmissing_1,intel_nonmissing_1,mean_car20_1,mean_car20_0
any_relationship,5040,120,60,60,4953,3948,8.077339474055874e-4,-0.04703582686000001
appropriable_any,3655,1505,60,60,3618,2864,0.005057774149806514,-0.0132417444728223
downstream_any,3417,1743,60,60,3330,2676,-0.004866762464864856,0.008997935324143941
downstream_integrator,1797,3363,60,60,1760,1407,-1.3947842102273705e-4,-1.388990050106432e-4
strategic_any,1503,3657,60,60,1503,1180,0.014371049774451094,-0.006282412466338032
upstream_any,1474,3686,60,60,1474,1157,0.014833073424694716,-0.006305344138725921
upstream_hardware,1200,3960,60,60,1200,940,0.016729212896666665,-0.0053926633585517705
downstream_deployer,1140,4020,60,60,1090,893,-0.013454031315596334,0.0035230930329296006
non_ai_deployer_only,1140,4020,60,60,1090,893,-0.013454031315596334,0.0035230930329296006
competitor,511,4649,60,60,511,402,-2.3324270547944931e-4,-1.2850933993835393e-4
downstream_enabler,480,4680,60,60,480,376,-0.002699880943749996,1.2968869636998415e-4
upstream_cloud,274,4886,60,60,274,217,0.006528812963503655,-5.214001248169063e-4
is_investor,39,5121,23,60,39,38,-0.001890549410256412,-1.254776660350797e-4
is_owner,29,5131,29,60,29,21,0.012760396482758622,-2.1356049810909808e-4
