term,estimate,std.error,statistic,p.value,conf.low,conf.high,df,outcome,y_var,n,n_events,r_squared,estimate_pp,se_pp,conf.low_pp,conf.high_pp,spec_type,outcome_family,x,x_label,moderator,control_set,sample,p_bh_all,p_bonf_all,sign,three_star,bh_1pct,bh_5pct
upstream_cloud:z_media_sentiment,0.025019396564304054,0.005045699946966608,4.958558144018315,7.682423194568216e-6,0.014899004102100197,0.03513978902650791,53,car_20,car_20,4198,60,0.10496048717338557,2.5019396564304053,0.5045699946966609,1.4899004102100197,3.5139789026507913,interaction,market,upstream_cloud,Upstream cloud,z_media_sentiment,firm_year,all,0.03409220432179783,0.05729551218508975,positive,TRUE,FALSE,TRUE
upstream_cloud:z_media_sentiment,0.02060661714928154,0.004332769595091869,4.7559919116457445,1.5575594395188908e-5,0.011916181885291,0.02929705241327208,53,car_15,car_15,4198,60,0.09086168611102241,2.060661714928154,0.43327695950918693,1.1916181885291,2.929705241327208,interaction,market,upstream_cloud,Upstream cloud,z_media_sentiment,firm_year,all,0.03409220432179783,0.11616278299931887,positive,TRUE,FALSE,TRUE
downstream_deployer,-0.012072294152990543,0.001749734803260697,-6.899499358699024,1.652206867671945e-5,-0.015884638790850215,-0.008259949515130873,12,car_3,car_3,1028,13,0.07044138713088588,-1.2072294152990544,0.1749734803260697,-1.5884638790850214,-0.8259949515130873,main_effect,market,downstream_deployer,Downstream deployer,NA,firm_year_pre,chinese_origin,0.03409220432179783,0.12322158819097366,negative,TRUE,FALSE,TRUE
upstream_any:is_open_weight,-0.04451718666661214,0.009577416518188974,-4.648141446293707,2.7341484972541758e-5,-0.06378446349311757,-0.02524990984010671,47,car_5,car_5,3861,48,0.040221983883604095,-4.451718666661214,0.9577416518188975,-6.378446349311758,-2.524990984010671,interaction,market,upstream_any,Any upstream,is_open_weight,firm_year,text_or_reason,0.03409220432179783,0.20391279492521644,negative,TRUE,FALSE,TRUE
upstream_hardware:is_chinese_model,-0.059302056160851796,0.013107809926813655,-4.524177302841573,2.985935425922613e-5,-0.08553072324126543,-0.033073389080438165,59,car_15,car_15,4829,60,0.0775080454258763,-5.930205616085179,1.3107809926813656,-8.553072324126543,-3.3073389080438167,interaction,market,upstream_hardware,Upstream hardware,is_chinese_model,firm_year,all,0.03409220432179783,0.22269106406530847,negative,TRUE,FALSE,TRUE
downstream_deployer,-0.012254260785133012,0.0018949471447536985,-6.466808754565973,3.083156714261436e-5,-0.01638299593566365,-0.008125525634602372,12,car_3,car_3,1029,13,0.0625780628837167,-1.225426078513301,0.18949471447536986,-1.6382995935663651,-0.8125525634602372,main_effect,market,downstream_deployer,Downstream deployer,NA,firm_year,chinese_origin,0.03409220432179783,0.2299418277496179,negative,TRUE,FALSE,TRUE
upstream_hardware:is_open_weight,-0.047767725490596644,0.010423793820096209,-4.58256622444934,3.396657511498811e-5,-0.06873769382525015,-0.026797757155943142,47,car_5,car_5,3861,48,0.03974307458128401,-4.776772549059665,1.0423793820096208,-6.873769382525015,-2.6797757155943143,interaction,market,upstream_hardware,Upstream hardware,is_open_weight,firm_year,text_or_reason,0.03409220432179783,0.2533227172075813,negative,TRUE,FALSE,TRUE
downstream_deployer,-0.01234780642794905,0.001944123025783433,-6.351350333383966,3.656980887293948e-5,-0.016583686618977467,-0.008111926236920634,12,car_3,car_3,1029,13,0.059610737675411696,-1.234780642794905,0.1944123025783433,-1.6583686618977467,-0.8111926236920635,main_effect,market,downstream_deployer,Downstream deployer,NA,firm,chinese_origin,0.03409220432179783,0.27273763457438266,negative,TRUE,FALSE,TRUE
upstream_cloud:z_media_sentiment,0.026181127039126662,0.005737416033951216,4.563226177812378,4.1719931950793336e-5,0.014610524879732602,0.037751729198520725,43,car_20,car_20,3468,48,0.11651332944631787,2.6181127039126664,0.5737416033951216,1.4610524879732603,3.7751729198520727,interaction,market,upstream_cloud,Upstream cloud,z_media_sentiment,firm_year,text_or_reason,0.034571916943224076,0.3111472524890167,positive,TRUE,FALSE,TRUE
z_intelligence,0.008306986485412983,0.0016151116943328792,5.143289169758738,4.948587276539559e-5,0.004937922527782959,0.011676050443043007,20,ff3_car_1,ff3_car_1,1694,21,0.04605451370119029,0.8306986485412983,0.16151116943328792,0.49379225277829586,1.1676050443043007,main_effect,ff3,z_intelligence,AA Intelligence Index (z),NA,firm_year_pre,listed_creator,0.03690656390843203,0.36906563908432033,positive,TRUE,FALSE,TRUE
