spec_type,x,x_label,moderator,n_specs,n_three_star,share_three_star,n_positive,n_negative,sign_stability,n_bh_5pct,median_est_pp,min_p
main_effect,downstream_deployer,Downstream deployer,NA,672,70,0.10416666666666667,46,626,0.9315476190476191,3,-0.5587723423831512,1.652206867671945e-5
main_effect,upstream_any,Any upstream,NA,672,42,0.0625,342,330,0.5089285714285714,0,0.013976280494780838,4.798787453504761e-4
main_effect,upstream_cloud,Upstream cloud,NA,672,41,0.06101190476190476,534,138,0.7946428571428571,0,0.49353387665843673,4.4266794982184487e-4
main_effect,strategic_any,Strategic/upstream,NA,672,40,0.05952380952380952,337,335,0.5014880952380952,0,3.4544602801724056e-4,5.671869539966541e-4
main_effect,z_intelligence,AA Intelligence Index (z),NA,560,38,0.06785714285714285,309,251,0.5517857142857143,3,0.055566356054688015,4.948587276539559e-5
main_effect,downstream_any,Any downstream,NA,672,35,0.052083333333333336,215,457,0.6800595238095238,0,-0.2482400693245181,1.1181489631833589e-4
main_effect,upstream_hardware,Upstream hardware,NA,672,35,0.052083333333333336,312,360,0.5357142857142857,0,-0.07401982792260808,5.746592883619255e-4
interaction,upstream_hardware,Upstream hardware,is_open_weight,30,22,0.7333333333333333,0,30,1,1,-3.4341283978713424,3.396657511498811e-5
interaction,upstream_any,Any upstream,is_open_weight,30,15,0.5,0,30,1,1,-3.312250393451789,2.7341484972541758e-5
interaction,upstream_cloud,Upstream cloud,z_media_sentiment,30,11,0.36666666666666664,30,0,1,4,1.0060798651752227,7.682423194568216e-6
main_effect,competitor,Direct competitor,NA,672,11,0.01636904761904762,327,345,0.5133928571428571,0,-0.010708742896013835,2.2011043660270132e-4
main_effect,downstream_enabler,Downstream enabler,NA,672,10,0.01488095238095238,277,395,0.5877976190476191,0,-0.08699990753818165,0.003103322980268679
main_effect,downstream_integrator,Downstream integrator,NA,672,7,0.010416666666666666,391,281,0.5818452380952381,0,0.1363825989794601,0.0011292653657499268
interaction,upstream_hardware,Upstream hardware,is_chinese_model,20,6,0.3,0,20,1,2,-2.747018106926723,2.985935425922613e-5
interaction,downstream_deployer,Downstream deployer,is_chinese_model,20,3,0.15,1,19,0.95,0,-0.9596454767829861,0.0013583477978315413
interaction,upstream_any,Any upstream,is_chinese_model,20,2,0.1,1,19,0.95,0,-2.000646642177785,9.674639025917499e-4
interaction,downstream_any,Any downstream,is_reasoning_model,30,1,0.03333333333333333,0,30,1,0,-1.604976160952801,0.0080613924784458
interaction,downstream_any,Any downstream,is_open_weight,30,1,0.03333333333333333,29,1,0.9666666666666667,0,1.6448136472473678,0.007677147231543602
