"set_type","role","role_label","spec","outcome","term","coef","se","p_value","ci_lo","ci_hi","n","events","r_squared","coef_pct","se_pct"
"flag","investor","主要投资者","controls_closed_intelligence","mkt_car_20","z_intelligence",0.00209115160748109,0.0262342587013951,0.93734686264122,-0.0530249807076651,0.0572072839226273,35,19,0.577054356359283,0.209115160748109,2.62342587013951
"flag","cloud","云服务方","controls_closed_intelligence","mkt_car_20","z_intelligence",-0.00653704008185183,0.0303750190692264,0.832022390834286,-0.0703525871171315,0.0572785069534278,27,19,0.591150378484934,-0.653704008185183,3.03750190692264
"flag","business_upstream","商业上游","controls_closed_intelligence","mkt_car_20","z_intelligence",0.0286880739954798,0.0173797408547567,0.107754282772407,-0.00659467570469812,0.0639708236956577,97,36,0.2734264019868,2.86880739954798,1.73797408547567
"flag","real_upstream","真实上游","controls_closed_intelligence","mkt_car_20","z_intelligence",0.0329078973375622,0.0159656037943667,0.0470001690617092,0.00046188668851832,0.065353907986606,91,35,0.304122390321386,3.29078973375622,1.59656037943667
"flag","broad_upstream","上游合并","controls_closed_intelligence","mkt_car_20","z_intelligence",0.0286880739954798,0.0173797408547567,0.107754282772407,-0.00659467570469812,0.0639708236956577,97,36,0.2734264019868,2.86880739954798,1.73797408547567
"flag","business_downstream","商业下游","controls_closed_intelligence","mkt_car_20","z_intelligence",0.0331842832524102,0.0091890528921672,0.000945188662197781,0.0145295141229098,0.0518390523819105,819,36,0.417249668554858,3.31842832524101,0.91890528921672
"flag","real_downstream","真实下游","controls_closed_intelligence","mkt_car_20","z_intelligence",0.0620183618456728,0.018027556333623,0.00291951514060754,0.0241438714126774,0.0998928522786682,52,19,0.449918195232189,6.20183618456728,1.8027556333623
"flag","broad_downstream","下游合并","controls_closed_intelligence","mkt_car_20","z_intelligence",0.0331842832524102,0.0091890528921672,0.000945188662197781,0.0145295141229098,0.0518390523819105,819,36,0.417249668554858,3.31842832524101,0.91890528921672
"flag","competitor","直接竞争者","controls_closed_intelligence","mkt_car_20","z_intelligence",0.0102098810709287,0.00307789446600574,0.00212836361330925,0.0039614231131726,0.0164583390286848,284,36,0.49892827744984,1.02098810709287,0.307789446600574
"flag","positive_exposure","正向商业暴露","controls_closed_intelligence","mkt_car_20","z_intelligence",0.0307742893083065,0.0110790966346119,0.00873952663984685,0.00828252739252923,0.0532660512240839,174,36,0.259985971277721,3.07742893083065,1.10790966346119
"flag","any_relation","任一关系","controls_closed_intelligence","mkt_car_20","z_intelligence",0.0282222820452405,0.00647800252294131,0.000109977935486305,0.0150712377641916,0.0413733263262894,1203,36,0.398962384961666,2.82222820452405,0.647800252294131
"exclusive","investor","互斥 主要投资者","controls_closed_intelligence","mkt_car_20","z_intelligence",0.00209115160748109,0.0262342587013951,0.93734686264122,-0.0530249807076651,0.0572072839226273,35,19,0.577054356359283,0.209115160748109,2.62342587013951
"exclusive","real_upstream","互斥 真实上游","controls_closed_intelligence","mkt_car_20","z_intelligence",0.0329078973375622,0.0159656037943667,0.0470001690617092,0.00046188668851832,0.065353907986606,91,35,0.304122390321386,3.29078973375622,1.59656037943667
"exclusive","competitor","互斥 直接竞争者","controls_closed_intelligence","mkt_car_20","z_intelligence",0.0101232026899517,0.00322086129510034,0.0033977116384256,0.00358450663897384,0.0166618987409296,257,36,0.50583824784716,1.01232026899517,0.322086129510034
"exclusive","real_downstream","互斥 真实下游","controls_closed_intelligence","mkt_car_20","z_intelligence",0.0353060732446284,0.0187184622882534,0.0886201836090229,-0.00640125982926882,0.0770134063185256,33,11,0.769474393303884,3.53060732446284,1.87184622882534
"exclusive","business_downstream","互斥 商业下游","controls_closed_intelligence","mkt_car_20","z_intelligence",0.0328340882861454,0.00970680324736114,0.00178078203767555,0.0131282300557113,0.0525399465165794,766,36,0.421922397723751,3.28340882861454,0.970680324736114
"exclusive","other_or_no_flag","互斥 其他或无关系旗标","controls_closed_intelligence","mkt_car_20","z_intelligence",0.0194649899193884,0.00682568430568574,0.00724785991967711,0.00560811409468182,0.0333218657440949,1681,36,0.294637878178974,1.94649899193884,0.682568430568574
