"set_type","role","role_label","spec","outcome","term","coef","se","p_value","ci_lo","ci_hi","n","events","r_squared"
"flag","owner","发布方或所有者","no_controls_intelligence","mkt_car_1","z_intelligence",-0.0206144794610136,0.0094451898992953,0.0411654283004835,-0.0403168003434284,-0.000912158578598887,21,21,0.121161992559916
"flag","owner","发布方或所有者","controls_intelligence","mkt_car_1","z_intelligence",-0.0316304547839861,0.00801692833409957,0.000799197731218789,-0.0483534742482678,-0.0149074353197044,21,21,0.461206620549446
"flag","owner","发布方或所有者","controls_open_interaction","mkt_car_1","z_intelligence",-0.00336249512881744,0.025554825390887,0.896631435399531,-0.0566689267954692,0.0499439365378344,21,21,0.508777823531771
"flag","owner","发布方或所有者","controls_open_interaction","mkt_car_1","is_open_weight_or_open_source",0.0282951680706236,0.045828351119391,0.543926505645409,-0.0673010972128917,0.123891433354139,21,21,0.508777823531771
"flag","owner","发布方或所有者","controls_open_interaction","mkt_car_1","z_intelligence:is_open_weight_or_open_source",-0.0220841135915145,0.0113067446807951,0.0649325608486268,-0.0456695697032208,0.00150134252019182,21,21,0.508777823531771
"flag","owner","发布方或所有者","controls_cost_speed","mkt_car_1","z_intelligence",-0.077900397144691,0.0211252331594348,0.00145889734692464,-0.121966861330241,-0.0338339329591413,21,21,0.627292381146886
"flag","owner","发布方或所有者","controls_cost_speed","mkt_car_1","z_low_price",-0.0121212977467208,0.0268420263197817,0.656431016615591,-0.0681127835003337,0.0438701880068921,21,21,0.627292381146886
"flag","owner","发布方或所有者","controls_cost_speed","mkt_car_1","z_speed",0.00180919678825896,0.0122295175319239,0.883873886509818,-0.0237011297610314,0.0273195233375493,21,21,0.627292381146886
"flag","owner","发布方或所有者","controls_cost_speed","mkt_car_1","z_low_ttft",-0.0533065640942159,0.0472945558178057,0.273034183475914,-0.151961278784834,0.0453481505964019,21,21,0.627292381146886
"flag","owner","发布方或所有者","no_controls_intelligence","mkt_car_5","z_intelligence",-0.0175095751513541,0.0139136836648577,0.222724626756771,-0.0465330106930675,0.0115138603903593,21,21,0.0386339289180148
"flag","owner","发布方或所有者","controls_intelligence","mkt_car_5","z_intelligence",-0.0303430545835109,0.009757857099872,0.00552325236143211,-0.0506975878174876,-0.00998852134953418,21,21,0.623240906150829
"flag","owner","发布方或所有者","controls_open_interaction","mkt_car_5","z_intelligence",0.00573725376990509,0.0309736175354018,0.854913929714386,-0.058872580238536,0.0703470877783462,21,21,0.652046687177873
"flag","owner","发布方或所有者","controls_open_interaction","mkt_car_5","is_open_weight_or_open_source",0.0680300018398743,0.0574429066445918,0.250175940357839,-0.0517938017254497,0.187853805405198,21,21,0.652046687177873
"flag","owner","发布方或所有者","controls_open_interaction","mkt_car_5","z_intelligence:is_open_weight_or_open_source",-0.0038092988454264,0.010835123617284,0.728838007277892,-0.0264109706576878,0.018792372966835,21,21,0.652046687177873
"flag","owner","发布方或所有者","controls_cost_speed","mkt_car_5","z_intelligence",-0.0876410167126952,0.0240841579212969,0.00163357173612143,-0.137879689794699,-0.0374023436306912,21,21,0.799382149290301
"flag","owner","发布方或所有者","controls_cost_speed","mkt_car_5","z_low_price",-0.068993344347071,0.0318274113582091,0.0424204122282751,-0.13538416106139,-0.00260252763275236,21,21,0.799382149290301
"flag","owner","发布方或所有者","controls_cost_speed","mkt_car_5","z_speed",0.0117441514061785,0.0108233905905147,0.290796808560642,-0.0108330457411164,0.0343213485534734,21,21,0.799382149290301
"flag","owner","发布方或所有者","controls_cost_speed","mkt_car_5","z_low_ttft",-0.0236837821326142,0.0574361308095818,0.68446942544368,-0.143493451553782,0.0961258872885541,21,21,0.799382149290301
"flag","owner","发布方或所有者","no_controls_intelligence","mkt_car_20","z_intelligence",0.0496033791292857,0.0349375598046924,0.171074189720687,-0.0232750935599677,0.122481851818539,21,21,0.0652548657499732
"flag","owner","发布方或所有者","controls_intelligence","mkt_car_20","z_intelligence",-0.000466047129931817,0.0266799080070941,0.986236275988808,-0.056119360009146,0.0551872657492823,21,21,0.60218300456035
"flag","owner","发布方或所有者","controls_open_interaction","mkt_car_20","z_intelligence",0.091961885252558,0.0467634842875188,0.0632693423661945,-0.00558503363799785,0.189508804143114,21,21,0.683076147885317
"flag","owner","发布方或所有者","controls_open_interaction","mkt_car_20","is_open_weight_or_open_source",0.00525845884747135,0.0861100559041109,0.951912199514052,-0.174363970210524,0.184880887905467,21,21,0.683076147885317
"flag","owner","发布方或所有者","controls_open_interaction","mkt_car_20","z_intelligence:is_open_weight_or_open_source",-0.138860660265848,0.033780283636824,0.000543061323473171,-0.209325097170536,-0.0683962233611599,21,21,0.683076147885317
"flag","owner","发布方或所有者","controls_cost_speed","mkt_car_20","z_intelligence",-0.189466511128738,0.0313611240727405,6.6145572308461e-06,-0.254884669609644,-0.124048352647831,21,21,0.906968585779738
"flag","owner","发布方或所有者","controls_cost_speed","mkt_car_20","z_low_price",-0.150678027391129,0.0785024134045501,0.0693142491217087,-0.314431192275174,0.0130751374929163,21,21,0.906968585779738
"flag","owner","发布方或所有者","controls_cost_speed","mkt_car_20","z_speed",-0.0105519662467327,0.0319714983488249,0.744799562395889,-0.0772433431567024,0.0561394106632369,21,21,0.906968585779738
"flag","owner","发布方或所有者","controls_cost_speed","mkt_car_20","z_low_ttft",-0.166609827923873,0.101242373192177,0.115460644638256,-0.377797717717205,0.0445780618694585,21,21,0.906968585779738
"flag","owner","发布方或所有者","no_controls_intelligence","ff3_car_20","z_intelligence",0.0532513862311964,0.0336927163054822,0.129678237064175,-0.017030388421138,0.123533160883531,21,21,0.0786440848963577
