"set_type","role","role_label","n","events","companies","n_intelligence","events_intelligence","mean_car20","open_share"
"flag","is_owner","发布方或所有者",29,29,4,21,21,0.0127603964827586,0.275862068965517
"flag","is_investor","主要投资者",39,23,4,38,22,-0.00189054941025641,0.0769230769230769
"flag","upstream_cloud","云服务方",300,60,5,235,47,0.00587156165666667,0.216666666666667
"flag","upstream_hardware","硬件上游",1200,60,20,940,47,0.0167292128966667,0.216666666666667
"flag","broad_upstream","上游合并",1500,60,25,1175,47,0.0145576826486667,0.216666666666667
"flag","downstream_integrator","下游集成者",1797,60,30,1407,47,-0.000139478421022737,0.215915414579855
"flag","downstream_deployer","下游部署者",1140,60,19,893,47,-0.0134540313155963,0.216666666666667
"flag","downstream_enabler","下游赋能者",480,60,8,376,47,-0.00269988094375,0.216666666666667
"flag","broad_downstream","下游合并",3417,60,57,2676,47,-0.00486676246486486,0.21627158326017
"flag","competitor","直接竞争者",511,60,9,402,47,-0.000233242705479449,0.213307240704501
"flag","positive_exposure","正向商业暴露",3662,60,62,2869,47,-0.00425075463216782,0.216821409066084
"flag","any_relation","任一关系",5040,60,84,3948,47,0.000807733947405587,0.216666666666667
"exclusive","is_owner","互斥 发布方或所有者",29,29,4,21,21,0.0127603964827586,0.275862068965517
"exclusive","is_investor","互斥 主要投资者",39,23,4,38,22,-0.00189054941025641,0.0769230769230769
"exclusive","upstream_cloud","互斥 云服务方",242,60,5,186,47,0.00508044733884297,0.227272727272727
"exclusive","upstream_hardware","互斥 硬件上游",1200,60,20,940,47,0.0167292128966667,0.216666666666667
"exclusive","competitor","互斥 直接竞争者",298,60,5,233,47,-0.000192404390939602,0.214765100671141
"exclusive","downstream_integrator","互斥 下游集成者",1732,60,29,1355,47,-0.000449203038348084,0.217667436489607
"exclusive","downstream_enabler","互斥 下游赋能者",360,60,6,282,47,-0.00587918824722222,0.216666666666667
"exclusive","downstream_deployer","互斥 下游部署者",1140,60,19,893,47,-0.0134540313155963,0.216666666666667
"exclusive","other_or_no_flag","互斥 其他或无关系旗标",120,60,2,94,47,-0.04703582686,0.216666666666667
