"set_type","role","role_label","spec","outcome","term","coef","se","p_value","ci_lo","ci_hi","n","events","r_squared"
"flag","is_owner","发布方或所有者","no_controls_intelligence","mkt_car_1","z_intelligence",-0.0206144794610136,0.0094451898992953,0.0411654283004835,-0.0403168003434284,-0.000912158578598887,21,21,0.121161992559916
"flag","is_owner","发布方或所有者","controls_intelligence","mkt_car_1","z_intelligence",-0.0316304547839861,0.00801692833409957,0.000799197731218789,-0.0483534742482678,-0.0149074353197044,21,21,0.461206620549446
"flag","is_owner","发布方或所有者","controls_open_interaction","mkt_car_1","z_intelligence",-0.00336249512881744,0.025554825390887,0.896631435399531,-0.0566689267954692,0.0499439365378344,21,21,0.508777823531771
"flag","is_owner","发布方或所有者","controls_open_interaction","mkt_car_1","is_open_weight_or_open_source",0.0282951680706236,0.045828351119391,0.543926505645409,-0.0673010972128917,0.123891433354139,21,21,0.508777823531771
"flag","is_owner","发布方或所有者","controls_open_interaction","mkt_car_1","z_intelligence:is_open_weight_or_open_source",-0.0220841135915145,0.0113067446807951,0.0649325608486268,-0.0456695697032208,0.00150134252019182,21,21,0.508777823531771
"flag","is_owner","发布方或所有者","controls_cost_speed","mkt_car_1","z_intelligence",-0.077900397144691,0.0211252331594348,0.00145889734692464,-0.121966861330241,-0.0338339329591413,21,21,0.627292381146886
"flag","is_owner","发布方或所有者","controls_cost_speed","mkt_car_1","z_low_price",-0.0121212977467208,0.0268420263197817,0.656431016615591,-0.0681127835003337,0.0438701880068921,21,21,0.627292381146886
"flag","is_owner","发布方或所有者","controls_cost_speed","mkt_car_1","z_speed",0.00180919678825896,0.0122295175319239,0.883873886509818,-0.0237011297610314,0.0273195233375493,21,21,0.627292381146886
"flag","is_owner","发布方或所有者","controls_cost_speed","mkt_car_1","z_low_ttft",-0.0533065640942159,0.0472945558178057,0.273034183475914,-0.151961278784834,0.0453481505964019,21,21,0.627292381146886
"flag","is_owner","发布方或所有者","no_controls_intelligence","mkt_car_5","z_intelligence",-0.0175095751513541,0.0139136836648577,0.222724626756771,-0.0465330106930675,0.0115138603903593,21,21,0.0386339289180148
"flag","is_owner","发布方或所有者","controls_intelligence","mkt_car_5","z_intelligence",-0.0303430545835109,0.009757857099872,0.00552325236143211,-0.0506975878174876,-0.00998852134953418,21,21,0.623240906150829
"flag","is_owner","发布方或所有者","controls_open_interaction","mkt_car_5","z_intelligence",0.00573725376990509,0.0309736175354018,0.854913929714386,-0.058872580238536,0.0703470877783462,21,21,0.652046687177873
"flag","is_owner","发布方或所有者","controls_open_interaction","mkt_car_5","is_open_weight_or_open_source",0.0680300018398743,0.0574429066445918,0.250175940357839,-0.0517938017254497,0.187853805405198,21,21,0.652046687177873
"flag","is_owner","发布方或所有者","controls_open_interaction","mkt_car_5","z_intelligence:is_open_weight_or_open_source",-0.0038092988454264,0.010835123617284,0.728838007277892,-0.0264109706576878,0.018792372966835,21,21,0.652046687177873
"flag","is_owner","发布方或所有者","controls_cost_speed","mkt_car_5","z_intelligence",-0.0876410167126952,0.0240841579212969,0.00163357173612143,-0.137879689794699,-0.0374023436306912,21,21,0.799382149290301
"flag","is_owner","发布方或所有者","controls_cost_speed","mkt_car_5","z_low_price",-0.068993344347071,0.0318274113582091,0.0424204122282751,-0.13538416106139,-0.00260252763275236,21,21,0.799382149290301
"flag","is_owner","发布方或所有者","controls_cost_speed","mkt_car_5","z_speed",0.0117441514061785,0.0108233905905147,0.290796808560642,-0.0108330457411164,0.0343213485534734,21,21,0.799382149290301
"flag","is_owner","发布方或所有者","controls_cost_speed","mkt_car_5","z_low_ttft",-0.0236837821326142,0.0574361308095818,0.68446942544368,-0.143493451553782,0.0961258872885541,21,21,0.799382149290301
"flag","is_owner","发布方或所有者","no_controls_intelligence","mkt_car_20","z_intelligence",0.0496033791292857,0.0349375598046924,0.171074189720687,-0.0232750935599677,0.122481851818539,21,21,0.0652548657499732
"flag","is_owner","发布方或所有者","controls_intelligence","mkt_car_20","z_intelligence",-0.000466047129931817,0.0266799080070941,0.986236275988808,-0.056119360009146,0.0551872657492823,21,21,0.60218300456035
"flag","is_owner","发布方或所有者","controls_open_interaction","mkt_car_20","z_intelligence",0.091961885252558,0.0467634842875188,0.0632693423661945,-0.00558503363799785,0.189508804143114,21,21,0.683076147885317
"flag","is_owner","发布方或所有者","controls_open_interaction","mkt_car_20","is_open_weight_or_open_source",0.00525845884747135,0.0861100559041109,0.951912199514052,-0.174363970210524,0.184880887905467,21,21,0.683076147885317
"flag","is_owner","发布方或所有者","controls_open_interaction","mkt_car_20","z_intelligence:is_open_weight_or_open_source",-0.138860660265848,0.033780283636824,0.000543061323473171,-0.209325097170536,-0.0683962233611599,21,21,0.683076147885317
"flag","is_owner","发布方或所有者","controls_cost_speed","mkt_car_20","z_intelligence",-0.189466511128738,0.0313611240727405,6.6145572308461e-06,-0.254884669609644,-0.124048352647831,21,21,0.906968585779738
"flag","is_owner","发布方或所有者","controls_cost_speed","mkt_car_20","z_low_price",-0.150678027391129,0.0785024134045501,0.0693142491217087,-0.314431192275174,0.0130751374929163,21,21,0.906968585779738
"flag","is_owner","发布方或所有者","controls_cost_speed","mkt_car_20","z_speed",-0.0105519662467327,0.0319714983488249,0.744799562395889,-0.0772433431567024,0.0561394106632369,21,21,0.906968585779738
"flag","is_owner","发布方或所有者","controls_cost_speed","mkt_car_20","z_low_ttft",-0.166609827923873,0.101242373192177,0.115460644638256,-0.377797717717205,0.0445780618694585,21,21,0.906968585779738
"flag","is_owner","发布方或所有者","no_controls_intelligence","ff3_car_20","z_intelligence",0.0532513862311964,0.0336927163054822,0.129678237064175,-0.017030388421138,0.123533160883531,21,21,0.0786440848963577
"flag","is_owner","发布方或所有者","controls_intelligence","ff3_car_20","z_intelligence",0.000616593247412073,0.0227808566656485,0.978675116150609,-0.0469034410545335,0.0481366275493577,21,21,0.61542152692334
"flag","is_owner","发布方或所有者","controls_open_interaction","ff3_car_20","z_intelligence",0.0781299490281963,0.0411680231991486,0.072248261968213,-0.00774504256142088,0.164004940617814,21,21,0.678772421048148
"flag","is_owner","发布方或所有者","controls_open_interaction","ff3_car_20","is_open_weight_or_open_source",0.00870834872417823,0.0800438548767236,0.914449455150573,-0.158260206726921,0.175676904175277,21,21,0.678772421048148
"flag","is_owner","发布方或所有者","controls_open_interaction","ff3_car_20","z_intelligence:is_open_weight_or_open_source",-0.115923005025859,0.0347752581567928,0.00331157064720199,-0.188462922410163,-0.0433830876415546,21,21,0.678772421048148
"flag","is_owner","发布方或所有者","controls_cost_speed","ff3_car_20","z_intelligence",-0.183759573046396,0.0331418584705432,1.99193430737902e-05,-0.252892278390408,-0.114626867702384,21,21,0.917148799703968
"flag","is_owner","发布方或所有者","controls_cost_speed","ff3_car_20","z_low_price",-0.153627134434746,0.078793395799626,0.0653665950743218,-0.317987277958718,0.0107330090892257,21,21,0.917148799703968
"flag","is_owner","发布方或所有者","controls_cost_speed","ff3_car_20","z_speed",-0.00056288978623729,0.0286634658488262,0.984526840824558,-0.0603538318188422,0.0592280522463676,21,21,0.917148799703968
"flag","is_owner","发布方或所有者","controls_cost_speed","ff3_car_20","z_low_ttft",-0.146675855038803,0.0984514913072736,0.151871288353619,-0.352042067234589,0.0586903571569824,21,21,0.917148799703968
"flag","is_investor","主要投资者","no_controls_intelligence","mkt_car_1","z_intelligence",-0.0078491314134389,0.00777821413855934,0.324405022349472,-0.0240248132232435,0.00832655039636568,38,22,0.0419290292993286
"flag","is_investor","主要投资者","controls_intelligence","mkt_car_1","z_intelligence",0.0152882094022946,0.00849218712936887,0.086201250990654,-0.00237226052395915,0.0329486793285483,38,22,0.300171897208012
"flag","is_investor","主要投资者","controls_closed_intelligence","mkt_car_1","z_intelligence",0.0185351751940894,0.0129004308573756,0.167933327498278,-0.00856762432277663,0.0456379747109554,35,19,0.304285505408439
"flag","is_investor","主要投资者","controls_open_interaction","mkt_car_1","z_intelligence",0.0184816648766554,0.0129065551518994,0.166872343079936,-0.00835898590497585,0.0453223156582867,38,22,0.310428157693689
"flag","is_investor","主要投资者","controls_open_interaction","mkt_car_1","is_open_weight_or_open_source",0.00462029577418642,0.0155204515914573,0.76886426065187,-0.0276562502318339,0.0368968417802067,38,22,0.310428157693689
"flag","is_investor","主要投资者","controls_open_interaction","mkt_car_1","z_intelligence:is_open_weight_or_open_source",-0.0325036156396089,0.0210146113947143,0.136870323964986,-0.0762058924376289,0.011198661158411,38,22,0.310428157693689
"flag","is_investor","主要投资者","controls_cost_speed","mkt_car_1","z_intelligence",-0.00207909007604073,0.0130545505711765,0.874984471382444,-0.0292275141805569,0.0250693340284755,38,22,0.417535386523513
"flag","is_investor","主要投资者","controls_cost_speed","mkt_car_1","z_low_price",0.000880949874328451,0.00355273783825302,0.806571055261203,-0.00650737292079043,0.00826927266944733,38,22,0.417535386523513
"flag","is_investor","主要投资者","controls_cost_speed","mkt_car_1","z_speed",-0.0160568755494256,0.00781065064761945,0.0524489511444347,-0.0323000127725462,0.000186261673695055,38,22,0.417535386523513
"flag","is_investor","主要投资者","controls_cost_speed","mkt_car_1","z_low_ttft",-0.0197270050166162,0.0106110600624302,0.0770837909087667,-0.041793912429683,0.00233990239645052,38,22,0.417535386523513
"flag","is_investor","主要投资者","controls_sentiment","mkt_car_1","z_intelligence",0.0186400039766167,0.00918028944320185,0.0582575056470393,-0.000728713699669325,0.0380087216529027,28,18,0.391167730770909
"flag","is_investor","主要投资者","controls_sentiment","mkt_car_1","z_sent_w5",-0.0179794315178619,0.0091905292674814,0.0670645900443569,-0.0373697533349271,0.0014108902992034,28,18,0.391167730770909
"flag","is_investor","主要投资者","controls_sentiment","mkt_car_1","z_intelligence:z_sent_w5",0.0182425336438727,0.0128974411203259,0.1752898623069,-0.00896868854597875,0.0454537558337242,28,18,0.391167730770909
"flag","is_investor","主要投资者","no_controls_intelligence","mkt_car_5","z_intelligence",-0.0189168648860126,0.0107610469502561,0.0933327188482329,-0.0412956871075299,0.00346195733550463,38,22,0.132929618711846
"flag","is_investor","主要投资者","controls_intelligence","mkt_car_5","z_intelligence",-0.00162958158197037,0.0127270264009333,0.89933476056449,-0.028096881887566,0.0248377187236253,38,22,0.218733050718096
"flag","is_investor","主要投资者","controls_closed_intelligence","mkt_car_5","z_intelligence",0.00413662006073667,0.0180269363525089,0.821091795955538,-0.0337365678402716,0.0420098079617449,35,19,0.215382483834801
