"relationship","outcome","spec","coef","se","p_value","stars","ci_lo","ci_hi","n","n_events","r2"
"competitor","car_1","base",0.000108,0.00011,0.3283,"",-0.000112,0.000329,454,47,0.0273
"competitor","car_1","base+VIX+news",0.00016,0.000106,0.138,"",-5.3e-05,0.000373,454,47,0.0401
"competitor","car_5","base",0.000274,0.000239,0.2574,"",-0.000207,0.000756,455,47,0.0315
"competitor","car_5","base+VIX+news",0.000387,0.000242,0.1164,"",-1e-04,0.000873,455,47,0.0584
"competitor","car_20","base",0.000409,0.000505,0.4223,"",-0.000607,0.001424,455,47,0.0645
"competitor","car_20","base+VIX+news",0.000571,0.000488,0.2486,"",-0.000412,0.001554,455,47,0.0931
"downstream","car_1","base",2e-04,0.000165,0.2321,"",-0.000132,0.000532,1849,47,0.0202
"downstream","car_1","base+VIX+news",0.000118,0.000163,0.4703,"",-0.000209,0.000446,1849,47,0.0311
"downstream","car_5","base",-0.000127,0.000364,0.7279,"",-0.00086,0.000605,1854,47,0.0177
"downstream","car_5","base+VIX+news",-0.000195,0.000377,0.6073,"",-0.000954,0.000564,1854,47,0.0209
"downstream","car_20","base",0.001438,0.000789,0.07475,"*",-0.000149,0.003026,1854,47,0.0897
"downstream","car_20","base+VIX+news",0.001258,0.000808,0.1264,"",-0.000369,0.002885,1854,47,0.0995
"biz_down","car_1","base",0.000206,0.000168,0.2259,"",-0.000132,0.000544,1819,47,0.0213
"biz_down","car_1","base+VIX+news",0.000127,0.000164,0.4449,"",-0.000204,0.000457,1819,47,0.0317
"biz_down","car_5","base",-7.6e-05,0.000367,0.837,"",-0.000814,0.000662,1824,47,0.0189
"biz_down","car_5","base+VIX+news",-0.00014,0.00038,0.7145,"",-0.000905,0.000625,1824,47,0.0219
"biz_down","car_20","base",0.001494,0.000781,0.06181,"*",-7.7e-05,0.003065,1824,47,0.0919
"biz_down","car_20","base+VIX+news",0.001332,0.000798,0.1018,"",-0.000274,0.002939,1824,47,0.1004
"real_down","car_1","base",0.000199,0.000185,0.287,"",-0.000173,0.000571,1052,47,0.0199
"real_down","car_1","base+VIX+news",0.000152,0.000178,0.3973,"",-0.000206,0.00051,1052,47,0.0249
"real_down","car_5","base",-0.000205,0.00042,0.6272,"",-0.001051,0.00064,1057,47,0.0228
"real_down","car_5","base+VIX+news",-0.000234,0.000424,0.584,"",-0.001088,0.00062,1057,47,0.0246
"real_down","car_20","base",0.001825,0.000934,0.05687,"*",-5.6e-05,0.003705,1057,47,0.0991
"real_down","car_20","base+VIX+news",0.001743,0.000951,0.07326,"*",-0.000171,0.003658,1057,47,0.1025
"upstream","car_1","base",0.000275,0.000399,0.494,"",-0.000528,0.001078,100,47,0.1274
"upstream","car_1","base+VIX+news",0.000232,0.000425,0.5872,"",-0.000623,0.001087,100,47,0.1309
"upstream","car_5","base",0.001399,0.000534,0.0119,"**",0.000324,0.002474,100,47,0.1878
"upstream","car_5","base+VIX+news",0.001376,0.000574,0.02051,"**",0.000222,0.002531,100,47,0.1883
"upstream","car_20","base",0.002151,0.001161,0.07039,"*",-0.000186,0.004489,100,47,0.2209
"upstream","car_20","base+VIX+news",0.002242,0.001125,0.05222,"*",-2.2e-05,0.004506,100,47,0.2234
"owner_invest","car_1","base",NA,NA,NA,"",NA,NA,NA,NA,NA
"owner_invest","car_1","base+VIX+news",NA,NA,NA,"",NA,NA,NA,NA,NA
"owner_invest","car_5","base",NA,NA,NA,"",NA,NA,NA,NA,NA
"owner_invest","car_5","base+VIX+news",NA,NA,NA,"",NA,NA,NA,NA,NA
"owner_invest","car_20","base",NA,NA,NA,"",NA,NA,NA,NA,NA
"owner_invest","car_20","base+VIX+news",NA,NA,NA,"",NA,NA,NA,NA,NA
