"outcome","coef","se","p_value","stars","ci_lo","ci_hi","n","n_events","r2"
"car_1",0.000315,0.000182,0.09047,"*",-5.2e-05,0.000682,3763,47,0.0154
"car_2",0.000408,0.000204,0.0519,"*",-4e-06,0.000819,3768,47,0.0217
"car_3",0.000298,0.000225,0.1932,"",-0.000156,0.000751,3776,47,0.0243
"car_5",0.000336,0.000285,0.244,"",-0.000237,0.00091,3778,47,0.0322
"car_10",0.000142,0.000449,0.7539,"",-0.000763,0.001046,3780,47,0.0623
"car_15",0.001036,0.000578,0.07989,"*",-0.000128,0.0022,3780,47,0.087
"car_20",0.001488,0.00065,0.02663,"**",0.00018,0.002796,3780,47,0.1088
"ff3_car_1",0.000231,0.000143,0.1122,"",-5.6e-05,0.000518,3765,47,0.0156
"ff3_car_5",0.000127,0.000184,0.4935,"",-0.000243,0.000498,3780,47,0.028
"ff3_car_20",0.001067,0.00042,0.01454,"**",0.000221,0.001913,3782,47,0.1056
