"group","outcome","spec","coef","se","p_value","stars","n","n_events","r2"
"open","car_1","base",0.000196,0.000251,0.4529,"",877,11,0.0453
"closed","car_1","base",0.00037,0.000249,0.1469,"",2886,36,0.0133
"open","car_1","base+VIX+news",-2.3e-05,0.000105,0.8272,"",877,11,0.0566
"closed","car_1","base+VIX+news",0.000361,0.000244,0.1477,"",2886,36,0.0146
"open","car_5","base",-0.000152,0.000737,0.841,"",879,11,0.0352
"closed","car_5","base",0.000602,0.000396,0.1377,"",2899,36,0.0357
"open","car_5","base+VIX+news",-0.000519,0.000541,0.3602,"",879,11,0.0449
"closed","car_5","base+VIX+news",0.000587,0.000376,0.1272,"",2899,36,0.0379
"open","car_20","base",-0.002097,0.000578,0.004618,"***",881,11,0.1503
"closed","car_20","base",0.002317,0.000618,0.00064,"***",2899,36,0.1016
"open","car_20","base+VIX+news",-0.002674,0.000422,8.445e-05,"***",881,11,0.1583
"closed","car_20","base+VIX+news",0.002315,0.000597,0.0004446,"***",2899,36,0.104
