"subsample","n_specs","n_sig_05","pct_sig_05","pct_positive","median_est","mean_est","sd_est"
"us_creator",42,20,47.6,100,0.00111,0.001352,0.000599
"open_source",42,16,38.1,7.1,-0.000599,-0.001242,0.001264
"owner",42,15,35.7,35.7,-0.001469,-0.000571,0.001966
"closed_source",42,11,26.2,88.1,0.000512,0.000652,0.000793
"investor",42,9,21.4,33.3,-0.000674,-0.000736,0.001597
"all",42,5,11.9,83.3,0.000342,0.000366,0.000504
"text_or_reason",42,5,11.9,83.3,0.000342,0.000366,0.000504
"competitor",42,3,7.1,50,-7.2e-05,-0.000147,0.000397
"downstream_comp",42,3,7.1,52.4,7e-06,0.000154,0.00052
"non_us_creator",42,3,7.1,35.7,-0.000185,1e-05,0.000591
"real_upstream",42,3,7.1,100,0.000559,0.000687,0.000293
"real_downstream",42,2,4.8,42.9,-5.8e-05,0.000217,0.000732
"business_upstream",42,1,2.4,100,0.000405,0.000533,0.000274
"business_downstream",42,0,0,50,2.3e-05,0.000192,0.000554
"cloud",42,0,0,42.9,-4.1e-05,-7.6e-05,0.000288
"positive_rel",42,0,0,100,0.000381,0.000508,0.000283
