"label","outcome","N","events","beta","se","p","stars"
"① 全样本","car_1",3763,47,0.000336,0.000177,0.0641,"*"
"① 全样本","car_20",3780,47,0.001521,0.000667,0.0271,"**"
"② 发布者 (owner)","car_1",21,21,NA,NA,NA,"(insuf.)"
"② 发布者 (owner)","car_20",21,21,NA,NA,NA,"(insuf.)"
"③ 投资方 (investor)","car_1",38,22,0.001095,0.000663,0.1137,""
"③ 投资方 (investor)","car_20",38,22,0.001093,0.001359,0.4301,""
"④ 云服务商 (cloud)","car_1",217,47,-4.4e-05,0.000173,0.7997,""
"④ 云服务商 (cloud)","car_20",217,47,0.000216,0.000526,0.6835,""
"⑤ 硬件上游 (real_upstream)","car_1",897,47,0.000464,0.000346,0.1864,""
"⑤ 硬件上游 (real_upstream)","car_20",907,47,0.001067,0.000756,0.1647,""
"⑥ 任意上游 (biz_upstream)","car_1",1114,47,0.000371,0.000293,0.2119,""
"⑥ 任意上游 (biz_upstream)","car_20",1124,47,0.000858,0.000648,0.1919,""
"⑦ AI核心整合商 (R3)","car_1",1368,47,0.00018,0.000201,0.3756,""
"⑦ AI核心整合商 (R3)","car_20",1373,47,0.001837,0.000981,0.0675,"*"
"⑧ AI效率部署商 (R4)","car_1",744,47,0.000121,1e-04,0.2345,""
"⑧ AI效率部署商 (R4)","car_20",745,47,0.000736,0.000541,0.1798,""
"⑨ IT服务使能商 (R5)","car_1",372,47,0.000257,0.000163,0.1211,""
"⑨ IT服务使能商 (R5)","car_20",372,47,0.000757,0.00069,0.2785,""
"⑩ 任意下游 (biz_downstream)","car_1",2484,47,0.000183,0.000133,0.1754,""
"⑩ 任意下游 (biz_downstream)","car_20",2490,47,0.001387,0.000729,0.0635,"*"
"⑪ 竞争者 (competitor)","car_1",401,47,9e-05,0.000133,0.5011,""
"⑪ 竞争者 (competitor)","car_20",402,47,0.000421,0.000467,0.3722,""
"⑫ 无关系 (no_relation)","car_1",51,47,0.01089,0.007582,0.1577,""
"⑫ 无关系 (no_relation)","car_20",51,47,0.019307,0.012276,0.1226,""
