"event_quarter","outcome","coef","se","p_value","ci_95_lo","ci_95_hi","n_events","n_obs","stars","specification"
"2024Q2","car_20",0.003935,0.000511,8.232e-10,0.002933,0.004936,2,166,"***","A_Baseline"
"2024Q3","car_20",0.001043,0.00091,0.258,-0.000742,0.002827,5,412,"","A_Baseline"
"2024Q4","car_20",-0.001295,0.00044,0.005053,-0.002157,-0.000433,9,740,"**","A_Baseline"
"2025Q1","car_20",-0.000492,0.000963,0.6114,-0.002379,0.001394,9,761,"","A_Baseline"
"2025Q2","car_20",4.8e-05,0.000116,0.6775,-0.000178,0.000275,8,685,"","A_Baseline"
"2025Q3","car_20",0.006348,0.000618,1.693e-13,0.005137,0.007558,6,511,"***","A_Baseline"
"2025Q4","car_20",0.000464,7.9e-05,4.279e-07,0.000309,0.000618,4,341,"***","A_Baseline"
"2026Q1","car_20",0.018361,0.011641,0.1216,-0.004456,0.041177,4,339,"","A_Baseline"
"2024Q2","car_20",-0.012823,0.006213,0.04469,-0.025,-0.000646,2,166,"*","B_WithCompositionControls"
"2024Q3","car_20",0.000366,0.001286,0.7772,-0.002154,0.002886,5,412,"","B_WithCompositionControls"
"2024Q4","car_20",-0.000997,0.000584,0.09454,-0.002142,0.000148,9,740,"+","B_WithCompositionControls"
"2025Q1","car_20",-0.000142,0.000825,0.864,-0.001759,0.001475,9,761,"","B_WithCompositionControls"
"2025Q2","car_20",-0.000864,0.000493,0.08601,-0.00183,0.000101,8,685,"+","B_WithCompositionControls"
"2025Q3","car_20",0.009502,0.000701,1.13e-17,0.008127,0.010876,6,511,"***","B_WithCompositionControls"
"2025Q4","car_20",0.000301,0.000441,0.4983,-0.000564,0.001166,4,341,"","B_WithCompositionControls"
"2026Q1","car_20",0.018669,0.01043,0.08006,-0.001775,0.039112,4,339,"+","B_WithCompositionControls"
"2024Q2","car_20",0.00433,0.001026,0.0001645,0.002319,0.006341,1,83,"***","C_ClosedSourceOnly"
"2024Q3","car_20",0.000847,0.000923,0.3653,-0.000963,0.002657,5,412,"","C_ClosedSourceOnly"
"2024Q4","car_20",-0.000944,0.000274,0.0015,-0.00148,-0.000407,8,658,"**","C_ClosedSourceOnly"
"2025Q1","car_20",3.8e-05,0.000668,0.9554,-0.001272,0.001347,7,593,"","C_ClosedSourceOnly"
"2025Q2","car_20",0.000384,0.000466,0.4148,-0.000529,0.001297,7,599,"","C_ClosedSourceOnly"
"2025Q3","car_20",0.000728,0.000223,0.002436,0.000291,0.001164,2,170,"**","C_ClosedSourceOnly"
"2025Q4","car_20",-4.5e-05,0.000293,0.8791,-0.00062,0.00053,2,171,"","C_ClosedSourceOnly"
"2026Q1","car_20",0.018033,0.011652,0.1307,-0.004804,0.040871,4,339,"","C_ClosedSourceOnly"
"2024Q2","car_20",0.003714,0.000689,3.63e-06,0.002363,0.005064,2,166,"***","D_ExcludeChina"
"2024Q3","car_20",0.000925,0.000925,0.3234,-0.000888,0.002738,5,412,"","D_ExcludeChina"
"2024Q4","car_20",-0.000941,0.00027,0.001247,-0.001472,-0.000411,8,658,"**","D_ExcludeChina"
"2025Q1","car_20",4.2e-05,0.000674,0.9507,-0.00128,0.001363,7,593,"","D_ExcludeChina"
"2025Q2","car_20",2.1e-05,1e-04,0.8368,-0.000175,0.000217,8,685,"","D_ExcludeChina"
"2025Q3","car_20",0.011511,0.000178,2.481e-41,0.011163,0.011859,2,171,"***","D_ExcludeChina"
"2025Q4","car_20",0.000441,9.6e-05,4.371e-05,0.000253,0.000628,4,341,"***","D_ExcludeChina"
"2026Q1","car_20",0.018179,0.011638,0.1263,-0.004631,0.040988,4,339,"","D_ExcludeChina"
"2024Q3","car_20",0.003594,0.002675,0.1966,-0.001648,0.008837,1,83,"","E_Tier1Only"
"2024Q4","car_20",-0.001138,0.000475,0.02831,-0.002069,-0.000207,4,329,"*","E_Tier1Only"
"2025Q1","car_20",-0.002414,0.001123,0.04624,-0.004614,-0.000213,5,422,"*","E_Tier1Only"
"2025Q2","car_20",0.002257,0.001565,0.1675,-0.000811,0.005324,3,256,"","E_Tier1Only"
"2025Q3","car_20",-0.052941,0.002097,6.438e-15,-0.05705,-0.048831,2,171,"***","E_Tier1Only"
"2025Q4","car_20",0.001568,0.000813,0.07058,-2.5e-05,0.003161,1,86,"+","E_Tier1Only"
"2026Q1","car_20",0.035433,0.001023,3.314e-17,0.033427,0.037439,2,169,"***","E_Tier1Only"
"2024Q2","car_20",0.00407,0.000556,9.042e-08,0.00298,0.005161,2,166,"***","F_Tier2Only"
"2024Q3","car_20",-9.9e-05,0.001429,0.9455,-0.0029,0.002702,4,329,"","F_Tier2Only"
"2024Q4","car_20",6.5e-05,0.00259,0.9801,-0.00501,0.005141,4,328,"","F_Tier2Only"
"2025Q1","car_20",0.00291,0.000161,2.893e-16,0.002595,0.003225,4,339,"***","F_Tier2Only"
"2025Q2","car_20",0.000863,0.000529,0.1152,-0.000175,0.0019,4,343,"","F_Tier2Only"
"2025Q3","car_20",0.006699,0.000173,1.654e-24,0.00636,0.007039,4,340,"***","F_Tier2Only"
"2025Q4","car_20",0.000707,0.000121,3.564e-06,0.00047,0.000943,3,255,"***","F_Tier2Only"
"2026Q1","car_20",-0.078822,0.000329,5.302e-45,-0.079467,-0.078177,2,170,"***","F_Tier2Only"
