term,estimate,std.error,statistic,p.value,conf.low,conf.high,df,outcome,y_var,n,n_events,r_squared,variable,variable_label,outcome_label,table_family
upstream_hardware,-0.013463560010859897,0.011946579707409855,-1.1269803023629548,0.26431353984947614,-0.037368610789350096,0.010441490767630303,59,car_10,car_10,4829,60,0.052428027403068955,upstream_hardware,Upstream hardware,"CAR[0,+10]",joint_positions
upstream_cloud,0.001484115798872177,0.005304972187511079,0.27975939296459834,0.7806405777934149,-0.009131109029224295,0.01209934062696865,59,car_10,car_10,4829,60,0.052428027403068955,upstream_cloud,Upstream cloud,"CAR[0,+10]",joint_positions
downstream_integrator,-0.019763837196086126,0.01122192040688195,-1.7611813735522277,0.0833891695035571,-0.04221884806353131,0.00269117367135906,59,car_10,car_10,4829,60,0.052428027403068955,downstream_integrator,Downstream integrator,"CAR[0,+10]",joint_positions
downstream_deployer,-0.027849360118295325,0.012254294871485976,-2.2726203678268653,0.02670721525298868,-0.05237014751786952,-0.003328572718721133,59,car_10,car_10,4829,60,0.052428027403068955,downstream_deployer,Downstream deployer,"CAR[0,+10]",joint_positions
downstream_enabler,-0.02653315272721926,0.008957948609804218,-2.961967508741844,0.004399840655778256,-0.04445796649258972,-0.008608338961848806,59,car_10,car_10,4829,60,0.052428027403068955,downstream_enabler,Downstream enabler,"CAR[0,+10]",joint_positions
competitor,-0.012433059726698956,0.007889614717729632,-1.575876664643616,0.12040162611126749,-0.028220142311773118,0.003354022858375204,59,car_10,car_10,4829,60,0.052428027403068955,competitor,Direct competitor,"CAR[0,+10]",joint_positions
upstream_hardware,-0.008572953358019227,0.01343061091069104,-0.6383144754193557,0.5257389888028898,-0.035447543715213845,0.018301636999175395,59,car_15,car_15,4829,60,0.07580970518221186,upstream_hardware,Upstream hardware,"CAR[0,+15]",joint_positions
upstream_cloud,0.007213796245317325,0.0060640562119453865,1.1895991714435468,0.23896926035221214,-0.0049203522072528375,0.01934794469788749,59,car_15,car_15,4829,60,0.07580970518221186,upstream_cloud,Upstream cloud,"CAR[0,+15]",joint_positions
downstream_integrator,-0.0248999025315951,0.012420605975072312,-2.00472525910316,0.04958811890624186,-0.049753477680770306,-4.632738241988968e-5,59,car_15,car_15,4829,60,0.07580970518221186,downstream_integrator,Downstream integrator,"CAR[0,+15]",joint_positions
downstream_deployer,-0.03414348990245532,0.013419063704051248,-2.544401804437914,0.013583960540077732,-0.060994974352533884,-0.007292005452376751,59,car_15,car_15,4829,60,0.07580970518221186,downstream_deployer,Downstream deployer,"CAR[0,+15]",joint_positions
downstream_enabler,-0.034879511240178816,0.0098119507318015,-3.5547988563712294,7.524528007271434e-4,-0.054513179304543406,-0.015245843175814226,59,car_15,car_15,4829,60,0.07580970518221186,downstream_enabler,Downstream enabler,"CAR[0,+15]",joint_positions
competitor,-0.01529048499314507,0.008214164005636895,-1.8614779279610334,0.06766043354008901,-0.0317269892032835,0.0011460192169933624,59,car_15,car_15,4829,60,0.07580970518221186,competitor,Direct competitor,"CAR[0,+15]",joint_positions
upstream_hardware,-0.008255324279496578,0.013847527330445062,-0.5961587280168416,0.5533496271315979,-0.03596416246566811,0.01945351390667495,59,car_20,car_20,4829,60,0.08952163209527841,upstream_hardware,Upstream hardware,"CAR[0,+20]",joint_positions
upstream_cloud,0.005357173482815693,0.007159595479809373,0.7482508610889186,0.45728126472811637,-0.008969143981264513,0.019683490946895896,59,car_20,car_20,4829,60,0.08952163209527841,upstream_cloud,Upstream cloud,"CAR[0,+20]",joint_positions
downstream_integrator,-0.030886408350822948,0.013308546577996032,-2.320794999650048,0.02377359782462766,-0.057516748542465426,-0.004256068159180466,59,car_20,car_20,4829,60,0.08952163209527841,downstream_integrator,Downstream integrator,"CAR[0,+20]",joint_positions
downstream_deployer,-0.042362004655415966,0.014452015999417755,-2.9312176693634058,0.00479733829703547,-0.07128042187430858,-0.013443587436523352,59,car_20,car_20,4829,60,0.08952163209527841,downstream_deployer,Downstream deployer,"CAR[0,+20]",joint_positions
downstream_enabler,-0.03251481763777133,0.011460921472347056,-2.8370160040118217,0.006231869998502657,-0.055448068532570366,-0.009581566742972294,59,car_20,car_20,4829,60,0.08952163209527841,downstream_enabler,Downstream enabler,"CAR[0,+20]",joint_positions
competitor,-0.023692152215039362,0.008722235983939808,-2.7162934204788263,0.008648543577857874,-0.04114530610549809,-0.006238998324580639,59,car_20,car_20,4829,60,0.08952163209527841,competitor,Direct competitor,"CAR[0,+20]",joint_positions
