,car_1,car_3,car_5,media_sent_1_mean,media_sent_3_mean,aa_intelligence_index,aa_coding_index,aa_math_index,price_1m_blended_3_to_1,median_output_tokens_per_second,aa_media_elo,size_log_assets,bm_ratio,volatility,momentum,trend_month_since_2022_11
car_1,1.0,0.7749644921440374,0.6526756732872704,-0.06285567285079635,-0.035200050793012784,0.008473691525795841,-0.02338746486776835,-0.010247693119280372,0.06793668003801509,0.013109913652636215,0.13155752516734032,-0.012940067327752356,-0.017645725637302316,0.017896968680947815,-0.08198009950086714,0.012036866827463051
car_3,0.7749644921440374,1.0,0.849541739714182,-0.05597213272463416,-0.04897156416681079,0.012864641683008621,-0.011897864705695383,-0.04958514868199618,0.04314532146241025,-0.0019550873215312403,0.022957842060342827,0.008607834634272333,-0.013590180706476225,0.0061233731856567145,-0.11570460691180139,0.0106804434766832
car_5,0.6526756732872704,0.849541739714182,1.0,-0.09247819237659803,-0.05127701388827357,-0.004787624787879601,-0.010566965589861527,-0.048422921569340874,0.046081594380995704,-0.03267874603599752,0.019305047137712254,0.012923997016161901,-0.004691384796763376,-0.003517137447335125,-0.11971048974994442,-0.000618954631222513
media_sent_1_mean,-0.06285567285079635,-0.05597213272463416,-0.09247819237659803,1.0,0.8581109250690968,-0.24155244939842582,-0.12915285296988188,0.20372284281311842,-0.3539212441329874,0.05640489099068278,0.09177748012801397,0.02085903929266089,0.00803948633488624,0.013585449104895616,0.047051955253928066,-0.15875399599293705
media_sent_3_mean,-0.035200050793012784,-0.04897156416681079,-0.05127701388827357,0.8581109250690968,1.0,-0.20665777149011022,-0.1699786520582838,0.1806175902130398,-0.26863720993712215,0.06309181837752553,-0.008761809253334814,0.015401912106031385,0.006040737596058092,-0.027002925500752024,0.05283001877066371,-0.06171150003819491
aa_intelligence_index,0.008473691525795841,0.012864641683008621,-0.004787624787879601,-0.24155244939842582,-0.20665777149011022,1.0,0.9327654699567972,0.8247129796857577,0.05363425643280084,0.44895801169055477,,0.010896295868023698,0.0042611722236124685,0.06128830010524501,-0.03782058240525885,0.7387050456860237
aa_coding_index,-0.02338746486776835,-0.011897864705695383,-0.010566965589861527,-0.12915285296988188,-0.1699786520582838,0.9327654699567972,1.0,0.7757529083489709,0.24563587830608827,0.07947244036059835,,0.004027314469058327,0.0015593563706362622,0.02033034136511285,-0.047626104547253294,0.6494526763990122
aa_math_index,-0.010247693119280372,-0.04958514868199618,-0.048422921569340874,0.20372284281311842,0.1806175902130398,0.8247129796857577,0.7757529083489709,1.0,0.15801339717339072,0.348409691713041,,0.01030131834947572,0.003946668679290687,0.05116880774033753,0.003860802273223849,0.08277857399122797
price_1m_blended_3_to_1,0.06793668003801509,0.04314532146241025,0.046081594380995704,-0.3539212441329874,-0.26863720993712215,0.05363425643280084,0.24563587830608827,0.15801339717339072,1.0,-0.1401270865208097,,-0.008669857092533005,-0.0034033962218972817,-0.012315831405363619,-0.0013019950145629754,-0.07857163073767481
median_output_tokens_per_second,0.013109913652636215,-0.0019550873215312403,-0.03267874603599752,0.05640489099068278,0.06309181837752553,0.44895801169055477,0.07947244036059835,0.348409691713041,-0.1401270865208097,1.0,,0.015889561536073744,0.0062126243321379195,0.08460690971965638,8.384104613012064e-05,0.4137165557791853
aa_media_elo,0.13155752516734032,0.022957842060342827,0.019305047137712254,0.09177748012801397,-0.008761809253334814,,,,,,1.0,0.02439683814782714,0.009930239546052965,0.09234187387819111,-0.06711667072630186,0.5803314829345804
size_log_assets,-0.012940067327752356,0.008607834634272333,0.012923997016161901,0.02085903929266089,0.015401912106031385,0.010896295868023698,0.004027314469058327,0.01030131834947572,-0.008669857092533005,0.015889561536073744,0.02439683814782714,1.0,0.3217021139850848,-0.39034314309624324,-0.186398798089042,0.026133609000761084
bm_ratio,-0.017645725637302316,-0.013590180706476225,-0.004691384796763376,0.00803948633488624,0.006040737596058092,0.0042611722236124685,0.0015593563706362622,0.003946668679290687,-0.0034033962218972817,0.0062126243321379195,0.009930239546052965,0.3217021139850848,1.0,-0.07783647115128503,-0.049675369625583714,0.010329193731113144
volatility,0.017896968680947815,0.0061233731856567145,-0.003517137447335125,0.013585449104895616,-0.027002925500752024,0.06128830010524501,0.02033034136511285,0.05116880774033753,-0.012315831405363619,0.08460690971965638,0.09234187387819111,-0.39034314309624324,-0.07783647115128503,1.0,0.37208680304230296,0.06241800434012043
momentum,-0.08198009950086714,-0.11570460691180139,-0.11971048974994442,0.047051955253928066,0.05283001877066371,-0.03782058240525885,-0.047626104547253294,0.003860802273223849,-0.0013019950145629754,8.384104613012064e-05,-0.06711667072630186,-0.186398798089042,-0.049675369625583714,0.37208680304230296,1.0,-0.02757273889697314
trend_month_since_2022_11,0.012036866827463051,0.0106804434766832,-0.000618954631222513,-0.15875399599293705,-0.06171150003819491,0.7387050456860237,0.6494526763990122,0.08277857399122797,-0.07857163073767481,0.4137165557791853,0.5803314829345804,0.026133609000761084,0.010329193731113144,0.06241800434012043,-0.02757273889697314,1.0
