variable,missing_n,missing_pct,nonmissing_n
final_event_id,0,0.0,5160
release_date,0,0.0,5160
event_name,0,0.0,5160
true_model_creator,0,0.0,5160
creator_country,0,0.0,5160
creator_type,0,0.0,5160
model_names,0,0.0,5160
company,0,0.0,5160
company_id,0,0.0,5160
relationship,5160,1.0,0
industry,0,0.0,5160
industry_2,0,0.0,5160
size_log_assets,3060,0.5930232558139535,2100
bm_ratio,3071,0.5951550387596899,2089
volatility,227,0.0439922480620155,4933
momentum,268,0.05193798449612403,4892
car_1,130,0.025193798449612403,5030
car_2,124,0.024031007751937984,5036
car_3,115,0.022286821705426358,5045
car_5,111,0.021511627906976746,5049
car_10,107,0.020736434108527133,5053
car_15,107,0.020736434108527133,5053
car_20,107,0.020736434108527133,5053
media_sent_1_mean,3096,0.6,2064
media_sent_1_sd,3268,0.6333333333333333,1892
media_sent_3_mean,1375,0.26647286821705424,3785
media_sent_3_sd,1548,0.3,3612
model_modality,0,0.0,5160
model_modalities,0,0.0,5160
is_open_weight_or_open_source,0,0.0,5160
is_chinese_model,0,0.0,5160
candidate_tier,0,0.0,5160
llm_capability_sample_flag,0,0.0,5160
media_capability_sample_flag,0,0.0,5160
aa_intelligence_index,1118,0.21666666666666667,4042
aa_coding_index,2150,0.4166666666666667,3010
aa_math_index,3182,0.6166666666666667,1978
price_1m_blended_3_to_1,1118,0.21666666666666667,4042
median_output_tokens_per_second,1118,0.21666666666666667,4042
aa_media_elo,4042,0.7833333333333333,1118
