final_event_id,release_date,release_date_norm,event_name,true_model_creator,company_id,company,car_1,car_3,car_5,car_10,car_20
FMR-0033,2025/4/16,2025-04-16,o3 full,OpenAI,CRWV,CareCloud,-0.393792443,-0.573265465,-0.866798601,-2.374584681,-3.080522251
FMR-0034,2025/4/16,2025-04-16,o4 mini,OpenAI,CRWV,CareCloud,-0.393792443,-0.573265465,-0.866798601,-2.374584681,-3.080522251
FMR-0032,2025/4/15,2025-04-15,Kling 2.0,Kuaishou,CRWV,CareCloud,-0.39462785,-0.573265465,-0.815946293,-2.374584681,-3.05126918
FMR-0031,2025/4/15,2025-04-15,Veo 2.0,Google,CRWV,CareCloud,-0.39462785,-0.573265465,-0.815946293,-2.374584681,-3.05126918
FMR-0026,2025/2/18,2025-02-18,Claude 3.7,Anthropic,QUBT,Quantum Computing（美国）,-0.104166156,-0.247919612,-0.401351584,-1.128144457,-2.180639489
FMR-0014,2024/11/12,2024-11-12,Qwen2.5 Coder 32B,Alibaba,QUBT,Quantum Computing（美国）,0.8646559,1.242409669,1.506011169,2.13949318,2.098481959
FMR-0025,2025/2/17,2025-02-17,Grok 3 family,xAI,QUBT,Quantum Computing（美国）,-0.12708449,-0.229161983,-0.401805618,-1.117486482,-2.086982263
FMR-0024,2025/2/5,2025-02-05,Gemini 2.0 family,Google,QUBT,Quantum Computing（美国）,-0.21132364,-0.388283586,-0.523803683,-1.139640362,-2.032573134
FMR-0022,2025/1/28,2025-01-28,Qwen2.5-Max,Alibaba,QUBT,Quantum Computing（美国）,-0.224279871,-0.303530849,-0.424128859,-0.769466041,-1.814101864
FMR-0016,2024/12/9,2024-12-09,SORA,OpenAI,QUBT,Quantum Computing（美国）,-0.094747784,-0.283261021,-0.171466884,0.824889042,1.783123921
FMR-0021,2025/1/22,2025-01-22,DeepSeek R1,DeepSeek,QUBT,Quantum Computing（美国）,0.006297597,-0.064421598,-0.356949971,-0.330344929,-1.719638335
FMR-0036,2025/5/6,2025-05-06,Gemini 2.5 Pro,Google,PONY,Pony.ai（中国）,0.489942436,0.689050766,0.808362965,1.198268171,1.634201684
FMR-0015,2024/12/6,2024-12-06,Llama 3.3 70B,Meta,QUBT,Quantum Computing（美国）,0.056712631,0.03569104,-0.35689879,0.042349396,1.576718415
FMR-0027,2025/2/25,2025-02-25,Gemini 2.0 Flash-Lite Preview,Google,QUBT,Quantum Computing（美国）,-0.220341401,-0.432172834,-0.572391841,-1.061207514,-1.40727693
FMR-0016,2024/12/9,2024-12-09,SORA,OpenAI,SOUN,SoundHound AI（美国）,-0.033535803,0.028643075,0.697061114,1.002446438,1.385295814
FMR-0035,2025/4/21,2025-04-21,Vidu Q1,ShengShu Technology,PONY,Pony.ai（中国）,-0.09960932,0.57487588,0.419876938,0.60210444,1.351391786
FMR-0023,2025/1/31,2025-01-31,o3 mini,OpenAI,QUBT,Quantum Computing（美国）,-0.081249246,-0.262267036,-0.51954008,-0.899488864,-1.343930241
FMR-0015,2024/12/6,2024-12-06,Llama 3.3 70B,Meta,SOUN,SoundHound AI（美国）,0.431509228,0.554715319,0.382557283,0.91348246,1.330190017
FMR-0028,2025/2/26,2025-02-26,Phi-4 mini / multimodal family,Microsoft,QUBT,Quantum Computing（美国）,-0.226062645,-0.431773066,-0.684722595,-1.060226918,-1.321885062
FMR-0017,2024/12/11,2024-12-11,Gemini-2.0-Flash-Thinking,Google,SOUN,SoundHound AI（美国）,-0.108319027,0.139056118,0.39836572,0.945840741,1.18330596
