spec,cluster,n,events,firms,r2,note,term,beta,se,t,p,stars
baseline_no_firm_fe_all,event,3780,47,85,0.10645689676416041,,intel_c,0.001521424593746037,6.744692985615556e-4,2.255735875585127,0.02888627706355507,*
firm_fe_all,event,3780,47,85,0.16594669000106543,,intel_c,0.0015368146532762602,6.67199751803107e-4,2.3033801333454025,0.02582835811690712,*
firm_fe_all,firm,3780,47,85,0.16594669000106543,,intel_c,0.0015368146532762602,4.821544325233324e-4,3.187390905510115,0.002016830963005381,**
firm_fe_all,two_way,3780,47,85,0.16594669000106543,,intel_c,0.0015368146532762602,7.703751395924331e-4,1.994891286457286,0.05199896465968957,+
firm_fe_closed,event,2899,36,85,0.17252172820630957,,intel_c,0.0022599551977217033,6.316106151553905e-4,3.57808298894043,0.0010371848713699892,**
firm_fe_closed,firm,2899,36,85,0.17252172820630957,,intel_c,0.0022599551977217033,7.009391801428894e-4,3.224181586283994,0.001799968203475616,**
firm_fe_closed,two_way,2899,36,85,0.17252172820630957,,intel_c,0.0022599551977217033,8.715194700431951e-4,2.59312072237433,0.013790387652994767,*
firm_fe_interaction_closed_slope,event,3780,47,85,0.17182297000918617,,intel_c,0.002280947558377579,0.00060971191918184715,3.7410250425123874,5.070461819349724e-4,***
firm_fe_interaction_open_interaction,event,3780,47,85,0.17182297000918617,,intel_c:is_open_weight,-0.003657546510927333,0.0011729689868519037,-3.118195410045505,0.00313554064466094,**
firm_fe_interaction_open_interaction,two_way,3780,47,85,0.17182297000918617,,intel_c:is_open_weight,-0.003657546510927333,0.0012883668534004378,-2.8389014365542122,0.006717067644197739,**
ff3_firm_fe_all,event,3782,47,85,0.1489910134838149,,intel_c,0.0010178783621295467,4.405232736746221e-4,2.310611999313727,0.025390369276800218,*
ff3_firm_fe_closed,event,2901,36,85,0.1519545398743578,,intel_c,0.0011759542031031182,5.106893898421289e-4,2.302679919523382,0.027359895130012267,*
pre_event_car_firm_fe_all,event,3762,47,84,0.044443921715434064,,intel_c,1.5523852436513547e-4,2.7588485193799704e-4,0.5626931789644765,0.576376102001128,
pre_event_car_firm_fe_closed,event,2884,36,84,0.05985756880144837,,intel_c,4.7440761684364305e-4,2.971546462328372e-4,1.5965007542635503,0.11936793410128664,
us_like_tickers_firm_fe_all,event,2857,47,64,0.1900786007228658,,intel_c,0.0019322189342098177,7.980791411664047e-4,2.4210868754016683,0.019477516249956573,*
us_like_tickers_firm_fe_closed,event,2191,36,64,0.19124585930516783,,intel_c,0.002708626022478228,7.199562181923731e-4,3.7622093594509103,6.174127608501803e-4,***
