"event_quarter","outcome","coef","se","p_value","ci_95_lo","ci_95_hi","n_events","n_obs","stars"
"2024Q2","car_20",0.003935,0.000511,8.232e-10,0.002933,0.004936,2,166,"***"
"2024Q3","car_20",0.001043,0.00091,0.258,-0.000742,0.002827,5,412,""
"2024Q4","car_20",-0.001295,0.00044,0.005053,-0.002157,-0.000433,9,740,"**"
"2025Q1","car_20",-0.000492,0.000963,0.6114,-0.002379,0.001394,9,761,""
"2025Q2","car_20",4.8e-05,0.000116,0.6775,-0.000178,0.000275,8,685,""
"2025Q3","car_20",0.006348,0.000618,1.693e-13,0.005137,0.007558,6,511,"***"
"2025Q4","car_20",0.000464,7.9e-05,4.279e-07,0.000309,0.000618,4,341,"***"
"2026Q1","car_20",0.018361,0.011641,0.1216,-0.004456,0.041177,4,339,""
"2024Q2","car_1",-0.00243,1e-04,7.76e-28,-0.002626,-0.002233,2,166,"***"
"2024Q3","car_1",0.000357,0.000457,0.4388,-0.000539,0.001254,5,412,""
"2024Q4","car_1",0.000164,0.000659,0.8051,-0.001128,0.001455,9,738,""
"2025Q1","car_1",0.000458,0.000386,0.241,-0.000298,0.001214,9,748,""
"2025Q2","car_1",0.000326,0.000137,0.02111,5.9e-05,0.000594,8,685,"*"
"2025Q3","car_1",1.8e-05,0.000243,0.9427,-0.000458,0.000493,6,511,""
"2025Q4","car_1",-0.000235,0.000157,0.1421,-0.000542,7.3e-05,4,341,""
"2026Q1","car_1",0.003755,0.000208,1.707e-22,0.003347,0.004163,4,334,"***"
"2024Q2","car_15",0.000605,0.000402,0.1392,-0.000183,0.001393,2,166,""
"2024Q3","car_15",0.002195,0.000944,0.0245,0.000345,0.004046,5,412,"*"
"2024Q4","car_15",-0.001026,5e-04,0.04584,-0.002005,-4.6e-05,9,740,"*"
"2025Q1","car_15",-6.6e-05,0.00122,0.9569,-0.002458,0.002326,9,761,""
"2025Q2","car_15",9.3e-05,0.000172,0.589,-0.000243,0.00043,8,685,""
"2025Q3","car_15",0.003492,0.000791,6.105e-05,0.001941,0.005043,6,511,"***"
"2025Q4","car_15",-0.000346,0.000162,0.03876,-0.000664,-2.7e-05,4,341,"*"
"2026Q1","car_15",0.015288,0.009803,0.1258,-0.003927,0.034502,4,339,""
