term,estimate,std.error,statistic,p.value,conf.low,conf.high,df,outcome,y_var,n,n_events,r_squared,variable,variable_label,outcome_label,table_family
downstream_any,-0.012218553523075467,0.0053867015021736315,-2.26828115835731,0.02698657749275314,-0.02299731833206603,-0.001439788714084905,59,car_10,car_10,4829,60,0.05108849454824338,downstream_any,Any downstream,"CAR[0,+10]",bundle_position
downstream_any,-0.021460850431882547,0.006683429723066297,-3.2110535041335786,0.0021420103011334807,-0.03483436241751595,-0.00808733844624914,59,car_15,car_15,4829,60,0.07462242785843787,downstream_any,Any downstream,"CAR[0,+15]",bundle_position
downstream_any,-0.0249871043340417,0.008201435118463865,-3.046674633539234,0.0034575828932220205,-0.04139813809977869,-0.008576070568304707,59,car_20,car_20,4829,60,0.08822720806361617,downstream_any,Any downstream,"CAR[0,+20]",bundle_position
downstream_deployer,-0.009851033769000811,0.0035710818213252195,-2.758557283726733,0.007718659668882963,-0.016996751988247606,-0.0027053155497540164,59,car_10,car_10,4829,60,0.049940616742535804,downstream_deployer,Downstream deployer,"CAR[0,+10]",bundle_position
downstream_deployer,-0.014291175785333614,0.004306722091504974,-3.3183417647317,0.0015551206109905556,-0.0229089067851457,-0.005673444785521526,59,car_15,car_15,4829,60,0.07162226604953537,downstream_deployer,Downstream deployer,"CAR[0,+15]",bundle_position
downstream_deployer,-0.019015616763014366,0.005069484620130385,-3.7509960455359446,4.03839450563957e-4,-0.02915963205718482,-0.008871601468843911,59,car_20,car_20,4829,60,0.08569108947997861,downstream_deployer,Downstream deployer,"CAR[0,+20]",bundle_position
strategic_any,0.008279712315212791,0.005214665736217182,1.5877743146043053,0.11768261063274821,-0.002154809721233039,0.018714234351658622,59,car_10,car_10,4829,60,0.049836664497511896,strategic_any,Strategic/upstream,"CAR[0,+10]",bundle_position
strategic_any,0.017528473480966596,0.0065678094659374865,2.668846222149745,0.009814067187572174,0.004386317095461317,0.030670629866471875,59,car_15,car_15,4829,60,0.07294813480947093,strategic_any,Strategic/upstream,"CAR[0,+15]",bundle_position
strategic_any,0.02170198657633163,0.00763421464446528,2.842726801251957,0.006134705439016576,0.006425958357422844,0.03697801479524042,59,car_20,car_20,4829,60,0.086926464352034,strategic_any,Strategic/upstream,"CAR[0,+20]",bundle_position
upstream_any,0.00820411936892869,0.005283745720868015,1.552708968663412,0.12584081281050224,-0.0023686313975218656,0.018776870135379247,59,car_10,car_10,4829,60,0.04981030335958925,upstream_any,Any upstream,"CAR[0,+10]",bundle_position
upstream_any,0.018034668127603525,0.00665524879492851,2.7098413122205827,0.008799214824462118,0.0047175460489240675,0.03135179020628298,59,car_15,car_15,4829,60,0.07308106348770171,upstream_any,Any upstream,"CAR[0,+15]",bundle_position
upstream_any,0.02221992787958668,0.00782199919895445,2.84069677257916,0.006169083322181144,0.006568143635068701,0.03787171212410466,59,car_20,car_20,4829,60,0.08704384912422514,upstream_any,Any upstream,"CAR[0,+20]",bundle_position
