term,estimate,std.error,p.value,conf.low,conf.high,variable,variable_label,y_var,outcome_label,n,n_events,table_family
Closed/proprietary,0.03067504261256384,0.009959997697271792,0.0020712276480831407,0.011153447125911126,0.05019663809921655,upstream_hardware,Upstream hardware,car_20,"CAR[0,+20]",4829,60,open_interaction
Open-weight,-0.005905713978180661,0.011245118733112295,0.5994579109859886,-0.02794614669508076,0.016134718738719436,upstream_hardware,Upstream hardware,car_20,"CAR[0,+20]",4829,60,open_interaction
Open minus closed,-0.0365807565907445,0.015010095357352366,0.014806530396228186,-0.06600054349115514,-0.007160969690333866,upstream_hardware,Upstream hardware,car_20,"CAR[0,+20]",4829,60,open_interaction
Closed/proprietary,0.010932575027545136,0.007106170440202364,0.12393562964654717,-0.002995519035251498,0.02486066909034177,upstream_cloud,Upstream cloud,car_20,"CAR[0,+20]",4829,60,open_interaction
Open-weight,0.01242800670278812,0.01759249274431524,0.4799157500469643,-0.02205327907606975,0.046909292481645985,upstream_cloud,Upstream cloud,car_20,"CAR[0,+20]",4829,60,open_interaction
Open minus closed,0.001495431675242983,0.020262745963867044,0.9411679160563079,-0.03821955041393642,0.04121041376442239,upstream_cloud,Upstream cloud,car_20,"CAR[0,+20]",4829,60,open_interaction
Closed/proprietary,-0.02129603723658011,0.005783504455612223,2.312272062800589e-4,-0.032631705969580066,-0.009960368503580152,downstream_deployer,Downstream deployer,car_20,"CAR[0,+20]",4829,60,open_interaction
Open-weight,-0.010671124022418564,0.009267247533266678,0.24953154277355977,-0.028834929187621254,0.007492681142784126,downstream_deployer,Downstream deployer,car_20,"CAR[0,+20]",4829,60,open_interaction
Open minus closed,0.010624913214161546,0.01079826879065082,0.3251420722452372,-0.010539693615514063,0.03178952004383716,downstream_deployer,Downstream deployer,car_20,"CAR[0,+20]",4829,60,open_interaction
Closed/proprietary,-0.012852685064152923,0.008536220015990942,0.13215327273708666,-0.029583676295495166,0.003878306167189321,downstream_enabler,Downstream enabler,car_20,"CAR[0,+20]",4829,60,open_interaction
Open-weight,-0.002764020787581806,0.012699945046204838,0.8277093246636951,-0.027655913078143288,0.022127871502979672,downstream_enabler,Downstream enabler,car_20,"CAR[0,+20]",4829,60,open_interaction
Open minus closed,0.010088664276571117,0.016752156245037158,0.547020523544316,-0.022745561963701713,0.04292289051684395,downstream_enabler,Downstream enabler,car_20,"CAR[0,+20]",4829,60,open_interaction
Closed/proprietary,-0.005406190936571025,0.008280629246552465,0.5138388046308553,-0.021636224259813857,0.01082384238667181,competitor,Direct competitor,car_20,"CAR[0,+20]",4829,60,open_interaction
Open-weight,0.01728417688270695,0.013157709972888816,0.18897549897819804,-0.008504934664155129,0.043073288429569034,competitor,Direct competitor,car_20,"CAR[0,+20]",4829,60,open_interaction
Open minus closed,0.022690367819277975,0.016643747978639052,0.1727890003594711,-0.009931378218854564,0.055312113857410514,competitor,Direct competitor,car_20,"CAR[0,+20]",4829,60,open_interaction
