AI Timeline 模型名,AA 模型名,AI Timeline 时间,AA 发布时间
Midjourney v1,Midjourney V1,2022-02,2025-06
DALL-E 2,DALLE 2,2022-04,2022-09
Stable Diffusion 1.5,Stable Diffusion 1.5,2022-10,2022-10
Stable Diffusion 2.1,Stable Diffusion 2.1,2022-12,2022-12
GPT-4,GPT-4,2023-03,2023-03-14
PaLM 2,PALM-2,2023-05,2023-05-10
Stable Diffusion XL 1.0,Stable Diffusion XL 1.0,2023-07,2023-07
DALL-E 3,DALLE 3,2023-10,2023-09
Midjourney v6,Midjourney v6,2023-12,2023-12
Sora,Sora,2024-02,2024-12
Stable Audio 2.0,Stable Audio 2.0,2024-04,
GPT-4o model,GPT-4o (May '24),2024-05,2024-05-13
DeepSeekCoderV2,DeepSeek-Coder-V2,2024-06,2024-06-17
GPT-4o mini,GPT-4o mini,2024-07,2024-07-18
Mistral Large 2,Mistral Large 2 (Jul '24),2024-07,2024-07-24
Midjourney v6.1,Midjourney v6.1,2024-07,2024-07
Grok 2,Grok 2,2024-08,2024-12
Gemini 1.5 Flash8B,Gemini 1.5 Flash-8B,2024-08,2024-10-03
Gemini 1.5 Pro,Gemini 1.5 Pro (May '24),2024-08,2024-05-15
Gemini 1.5 Flash,Gemini 1.5 Flash (May '24),2024-08,2024-05-14
o1 preview,o1-preview,2024-09,2024-09-12
o1 mini,o1-mini,2024-09,2024-09-12
Moshi,Moshi,2024-09,
Mistral Small,Mistral Small (Sep '24),2024-09,2024-09-17
Flux 1.1 Pro,FLUX1.1 [pro],2024-10,2024-10
Claude 3.5 Haiku,Claude 3.5 Haiku,2024-10,2024-10-22
Recraft v3,Recraft V3,2024-10,2024-10
QwQ 32B Preview,QwQ 32B-Preview,2024-11,2024-11-27
Pixtral Large,Pixtral Large,2024-11,2024-11-18
Claude 3.5 Haiku,Claude 3.5 Haiku,2024-11,2024-10-22
SORA,Sora,2024-12,2024-12
o1,o1,2024-12,2024-12-05
o1 Pro,o1-pro,2024-12,2025-03-19
GPT 4o,GPT-4o (May '24),2024-12,2024-05-13
Gemini 2.0 Flash,Gemini 2.0 Flash (Feb '25),2024-12,2025-02-05
Gemini 2.0 Flash,Gemini 2.0 Flash (Feb '25),2024-12,2025-02-05
Veo 2,Veo 2,2024-12,2024-12
SORA,Sora,2024-12,2024-12
Phi4,Phi-4,2024-12,2024-12-12
Deepseek V3,DeepSeek V3 (Dec '24),2024-12,2024-12-26
o3,o3,2024-12,2025-04-16
o3 Mini,o3-mini,2024-12,2025-01-31
o1,o1,2024-12,2024-12-05
o1,o1,2025-01,2024-12-05
Qwen2.5-Max,Qwen2.5 Max,2025-01,2025-01-28
DeepSeek-V3,DeepSeek V3 (Dec '24),2025-01,2024-12-26
GPT-4o,GPT-4o (May '24),2025-01,2024-05-13
o3 mini,o3-mini,2025-01,2025-01-31
Grok 3,Grok 3,2025-02,2025-02-19
Gemini 2.0 Flash,Gemini 2.0 Flash (Feb '25),2025-02,2025-02-05
Gemini 2.0 Flash-Lite Preview,Gemini 2.0 Flash-Lite (Preview),2025-02,2025-02-05
Gemini 2.0 Pro Experimental,Gemini 2.0 Pro Experimental (Feb '25),2025-02,2025-02-05
Gemini 2.5 Pro,Gemini 2.5 Pro (Dec 2025),2025-03,
Gemini 2.0 Flash Experimental,Gemini 2.0 Flash Experimental,2025-03,2025-03
QwQ-32B,QwQ 32B,2025-03,2025-03-05
DeepSeek-V3-0324,DeepSeek V3 0324,2025-03,2025-03-25
GPT-4.1,GPT-4.1,2025-04,2025-04-14
Runway Gen-4,Runway Gen 4,2025-04,2025-03
Vidu Q1,Vidu Q1,2025-04,2025-04
Kling 2.0,Kling 2.0,2025-04,2025-04
Veo 3,Veo 3,2025-05,2025-07
Gemini 2.5 Pro,Gemini 2.5 Pro (Dec 2025),2025-05,
o3,o3,2025-05,2025-04-16
Gemini 2.5 Pro,Gemini 2.5 Pro,2025-06,2025-06-05
o3 pro,o3-pro,2025-06,2025-06-10
Grok 4,Grok 4,2025-07,2025-07-10
Kimi K2,Kimi K2,2025-07,2025-07-11
Seedream 4.0,Seedream 4.0,2025-09,2025-09
Suno v5,Suno V5,2025-09,
Qwen-3-Max,Qwen3 Max,2025-09,2025-09-23
Kimi K2 Thinking,Kimi K2 Thinking,2025-11,2025-11-06
Devstral 2,Devstral 2,2025-12,2025-12-09
Z-Image-Turbo,Z-Image Turbo,2025-12,2025-12
MiniMax-M2.1,MiniMax-M2.1,2025-12,2025-12-23
Gemini 3 Deep Think,Gemini 3 Deep Think,2026-02,2026-02-05
Suno v5.5,Suno V5.5,2026-03,
