"ticker","company","gics_sector","index"
"AAPL","Apple Inc.","Technology","NASDAQ-100"
"ABNB","Airbnb","Consumer Discretionary","NASDAQ-100"
"ADBE","Adobe Inc.","Technology","NASDAQ-100"
"ADI","Analog Devices","Technology","NASDAQ-100 + SOX (via SOXX ETF holdings)"
"ADP","Automatic Data Processing","Industrials","NASDAQ-100"
"ADSK","Autodesk","Technology","NASDAQ-100"
"AEP","American Electric Power","Utilities","NASDAQ-100"
"ALAB","Astera Labs","Technology","NASDAQ-100 + SOX (via SOXX ETF holdings)"
"ALNY","Alnylam Pharmaceuticals","Health Care","NASDAQ-100"
"AMAT","Applied Materials","Technology","NASDAQ-100 + SOX (via SOXX ETF holdings)"
"AMD","Advanced Micro Devices","Technology","NASDAQ-100 + SOX (via SOXX ETF holdings)"
"AMGN","Amgen","Health Care","NASDAQ-100"
"AMZN","Amazon","Consumer Discretionary","NASDAQ-100"
"APP","AppLovin","Technology","NASDAQ-100"
"ARM","Arm Holdings","Technology","NASDAQ-100"
"ASML","ASML Holding","Technology","NASDAQ-100 + SOX (via SOXX ETF holdings)"
"ASX","ASE Technology Holding Co., Ltd.","Semiconductors","SOX (via SOXX ETF holdings)"
"AVGO","Broadcom","Technology","NASDAQ-100 + SOX (via SOXX ETF holdings)"
"AXON","Axon Enterprise","Industrials","NASDAQ-100"
"BKNG","Booking Holdings","Consumer Discretionary","NASDAQ-100"
"BKR","Baker Hughes","Energy","NASDAQ-100"
"CCEP","Coca-Cola Europacific Partners","Consumer Staples","NASDAQ-100"
"CDNS","Cadence Design Systems","Technology","NASDAQ-100"
"CEG","Constellation Energy","Utilities","NASDAQ-100"
"CMCSA","Comcast","Telecommunications","NASDAQ-100"
"COST","Costco","Consumer Discretionary","NASDAQ-100"
"CPRT","Copart","Consumer Discretionary","NASDAQ-100"
"CRDO","Credo Technology Group Holding Ltd","Semiconductors","SOX (via SOXX ETF holdings)"
"CRWD","CrowdStrike","Technology","NASDAQ-100"
"CRWV","CoreWeave","Technology","NASDAQ-100"
"CSCO","Cisco","Telecommunications","NASDAQ-100"
"CSX","CSX Corporation","Industrials","NASDAQ-100"
"CTAS","Cintas","Industrials","NASDAQ-100"
"DASH","DoorDash","Technology","NASDAQ-100"
"DDOG","Datadog","Technology","NASDAQ-100"
"DXCM","DexCom","Health Care","NASDAQ-100"
