"ticker","company","creator","r1_upstream_hardware","r1_upstream_hardware_conf","r2_upstream_cloud","r2_upstream_cloud_conf","r3_downstream_integrator","r3_downstream_integrator_conf","r4_downstream_deployer","r4_downstream_deployer_conf","r5_downstream_enabler","r5_downstream_enabler_conf","r6_competitor","r6_competitor_conf","f2_is_owner","f2_is_owner_conf","f1_is_investor","f1_is_investor_conf","justification","coder","coded_at"
"AAPL","Apple Inc.","OpenAI","0","","0","","0","","1","M","0","","1","M","0","","0","","r4_downstream_deployer: Apple Intelligence 嵌入设备生态，核心是消费硬件; r6: 竞争模态 ['llm'] 与发布方 OpenAI 重叠; 备注: 端侧自研模型，新兴竞争者（codebook 原表 M）","A","2026-07-03"
"AAPL","Apple Inc.","Google","0","","0","","0","","1","M","0","","1","M","0","","0","","r4_downstream_deployer: Apple Intelligence 嵌入设备生态，核心是消费硬件; r6: 竞争模态 ['llm'] 与发布方 Google 重叠; 备注: 端侧自研模型，新兴竞争者（codebook 原表 M）","A","2026-07-03"
"AAPL","Apple Inc.","Anthropic","0","","0","","0","","1","M","0","","1","M","0","","0","","r4_downstream_deployer: Apple Intelligence 嵌入设备生态，核心是消费硬件; r6: 竞争模态 ['llm'] 与发布方 Anthropic 重叠; 备注: 端侧自研模型，新兴竞争者（codebook 原表 M）","A","2026-07-03"
"AAPL","Apple Inc.","DeepSeek","0","","0","","0","","1","M","0","","1","M","0","","0","","r4_downstream_deployer: Apple Intelligence 嵌入设备生态，核心是消费硬件; r6: 竞争模态 ['llm'] 与发布方 DeepSeek 重叠; 备注: 端侧自研模型，新兴竞争者（codebook 原表 M）","A","2026-07-03"
"AAPL","Apple Inc.","Alibaba","0","","0","","0","","1","M","0","","1","M","0","","0","","r4_downstream_deployer: Apple Intelligence 嵌入设备生态，核心是消费硬件; r6: 竞争模态 ['llm'] 与发布方 Alibaba 重叠; 备注: 端侧自研模型，新兴竞争者（codebook 原表 M）","A","2026-07-03"
"AAPL","Apple Inc.","xAI","0","","0","","0","","1","M","0","","1","M","0","","0","","r4_downstream_deployer: Apple Intelligence 嵌入设备生态，核心是消费硬件; r6: 竞争模态 ['llm'] 与发布方 xAI 重叠; 备注: 端侧自研模型，新兴竞争者（codebook 原表 M）","A","2026-07-03"
"AAPL","Apple Inc.","Meta","0","","0","","0","","1","M","0","","1","M","0","","0","","r4_downstream_deployer: Apple Intelligence 嵌入设备生态，核心是消费硬件; r6: 竞争模态 ['llm'] 与发布方 Meta 重叠; 备注: 端侧自研模型，新兴竞争者（codebook 原表 M）","A","2026-07-03"
"AAPL","Apple Inc.","Mistral","0","","0","","0","","1","M","0","","1","M","0","","0","","r4_downstream_deployer: Apple Intelligence 嵌入设备生态，核心是消费硬件; r6: 竞争模态 ['llm'] 与发布方 Mistral 重叠; 备注: 端侧自研模型，新兴竞争者（codebook 原表 M）","A","2026-07-03"
"AAPL","Apple Inc.","Microsoft","0","","0","","0","","1","M","0","","1","M","0","","0","","r4_downstream_deployer: Apple Intelligence 嵌入设备生态，核心是消费硬件; r6: 竞争模态 ['llm'] 与发布方 Microsoft 重叠; 备注: 端侧自研模型，新兴竞争者（codebook 原表 M）","A","2026-07-03"
"AAPL","Apple Inc.","Kimi","0","","0","","0","","1","M","0","","1","M","0","","0","","r4_downstream_deployer: Apple Intelligence 嵌入设备生态，核心是消费硬件; r6: 竞争模态 ['llm'] 与发布方 Kimi 重叠; 备注: 端侧自研模型，新兴竞争者（codebook 原表 M）","A","2026-07-03"
"AAPL","Apple Inc.","Z AI","0","","0","","0","","1","M","0","","1","M","0","","0","","r4_downstream_deployer: Apple Intelligence 嵌入设备生态，核心是消费硬件; r6: 竞争模态 ['llm'] 与发布方 Z AI 重叠; 备注: 端侧自研模型，新兴竞争者（codebook 原表 M）","A","2026-07-03"
"AAPL","Apple Inc.","Amazon","0","","0","","0","","1","M","0","","1","M","0","","0","","r4_downstream_deployer: Apple Intelligence 嵌入设备生态，核心是消费硬件; r6: 竞争模态 ['llm'] 与发布方 Amazon 重叠; 备注: 端侧自研模型，新兴竞争者（codebook 原表 M）","A","2026-07-03"
"AAPL","Apple Inc.","MiniMax","0","","0","","0","","1","M","0","","1","M","0","","0","","r4_downstream_deployer: Apple Intelligence 嵌入设备生态，核心是消费硬件; r6: 竞争模态 ['llm'] 与发布方 MiniMax 重叠; 备注: 端侧自研模型，新兴竞争者（codebook 原表 M）","A","2026-07-03"
"AAPL","Apple Inc.","Stability.ai","0","","0","","0","","1","M","0","","0","","0","","0","","r4_downstream_deployer: Apple Intelligence 嵌入设备生态，核心是消费硬件; 备注: 端侧自研模型，新兴竞争者（codebook 原表 M）","A","2026-07-03"
"AAPL","Apple Inc.","Midjourney","0","","0","","0","","1","M","0","","0","","0","","0","","r4_downstream_deployer: Apple Intelligence 嵌入设备生态，核心是消费硬件; 备注: 端侧自研模型，新兴竞争者（codebook 原表 M）","A","2026-07-03"
"AAPL","Apple Inc.","Runway","0","","0","","0","","1","M","0","","0","","0","","0","","r4_downstream_deployer: Apple Intelligence 嵌入设备生态，核心是消费硬件; 备注: 端侧自研模型，新兴竞争者（codebook 原表 M）","A","2026-07-03"
"AAPL","Apple Inc.","Black Forest Labs","0","","0","","0","","1","M","0","","0","","0","","0","","r4_downstream_deployer: Apple Intelligence 嵌入设备生态，核心是消费硬件; 备注: 端侧自研模型，新兴竞争者（codebook 原表 M）","A","2026-07-03"
"AAPL","Apple Inc.","Suno","0","","0","","0","","1","M","0","","0","","0","","0","","r4_downstream_deployer: Apple Intelligence 嵌入设备生态，核心是消费硬件; 备注: 端侧自研模型，新兴竞争者（codebook 原表 M）","A","2026-07-03"
"AAPL","Apple Inc.","Udio","0","","0","","0","","1","M","0","","0","","0","","0","","r4_downstream_deployer: Apple Intelligence 嵌入设备生态，核心是消费硬件; 备注: 端侧自研模型，新兴竞争者（codebook 原表 M）","A","2026-07-03"
"AAPL","Apple Inc.","Kyutai","0","","0","","0","","1","M","0","","0","","0","","0","","r4_downstream_deployer: Apple Intelligence 嵌入设备生态，核心是消费硬件; 备注: 端侧自研模型，新兴竞争者（codebook 原表 M）","A","2026-07-03"
"AAPL","Apple Inc.","Recraft","0","","0","","0","","1","M","0","","0","","0","","0","","r4_downstream_deployer: Apple Intelligence 嵌入设备生态，核心是消费硬件; 备注: 端侧自研模型，新兴竞争者（codebook 原表 M）","A","2026-07-03"
"AAPL","Apple Inc.","KlingAI","0","","0","","0","","1","M","0","","0","","0","","0","","r4_downstream_deployer: Apple Intelligence 嵌入设备生态，核心是消费硬件; 备注: 端侧自研模型，新兴竞争者（codebook 原表 M）","A","2026-07-03"
"AAPL","Apple Inc.","Vidu","0","","0","","0","","1","M","0","","0","","0","","0","","r4_downstream_deployer: Apple Intelligence 嵌入设备生态，核心是消费硬件; 备注: 端侧自研模型，新兴竞争者（codebook 原表 M）","A","2026-07-03"
"AAPL","Apple Inc.","ElevenLabs","0","","0","","0","","1","M","0","","0","","0","","0","","r4_downstream_deployer: Apple Intelligence 嵌入设备生态，核心是消费硬件; 备注: 端侧自研模型，新兴竞争者（codebook 原表 M）","A","2026-07-03"
"AAPL","Apple Inc.","ByteDance Seed","0","","0","","0","","1","M","0","","0","","0","","0","","r4_downstream_deployer: Apple Intelligence 嵌入设备生态，核心是消费硬件; 备注: 端侧自研模型，新兴竞争者（codebook 原表 M）","A","2026-07-03"
"ABNB","Airbnb","OpenAI","0","","0","","0","","1","M","0","","0","","0","","0","","r4_downstream_deployer: AI 搜索/客服，核心是住宿平台","A","2026-07-03"
"ABNB","Airbnb","Google","0","","0","","0","","1","M","0","","0","","0","","0","","r4_downstream_deployer: AI 搜索/客服，核心是住宿平台","A","2026-07-03"
