company_id,company,industry,industry_2
005930 KS,三星电子,信息技术,半导体和半导体设备
000660 KS,SK海力士,信息技术,半导体和半导体设备
700 HK,腾讯控股,通信服务,互联网服务和基础设施
SIE GR,西门子（德国）,工业,工业集团
3690 HK,美团,非必需消费品,互联网零售
IFX GR,英飞凌（德国）,信息技术,半导体和半导体设备
5803 JP,三菱电机（日本）,工业,电气设备
3443 TT,创见资讯（台湾）,信息技术,技术硬件、存储和外围设备
6702 JP,富士通（日本）,信息技术,IT服务
6701 JP,NEC（日本）,信息技术,IT服务
6954 JP,松下（日本）,非必需消费品,家用电器
TIETO FH,Tietoevry（芬兰）,信息技术,IT服务
EXPN LN,Experian（英国）,工业,专业服务
4755 JP,乐天集团（日本）,非必需消费品,互联网零售
TEMN SW,Temenos Group（瑞士）,信息技术,软件
6588 JP,东芝（日本）,工业,工业集团
WKL NA,Wolters Kluwer（荷兰）,工业,专业服务
2395 TT,研华科技（台湾）,信息技术,技术硬件、存储和外围设备
2353 TT,宏基（台湾）,信息技术,技术硬件、存储和外围设备
6758 JP,索尼（日本）,通信服务,娱乐
AMP IM,Amplifon（意大利）,医疗保健,医疗保健设备
